"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context"
"13","Ofen",4,"A","auf 180 Grad.",0,1,0,6,2.7,6.6,"den","Ofen","Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat, den"
"14","Ofen",4,"B","auf 180 Grad.",0,0.75,0,2.4,1.3,6.6,"den","Ofen","Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat, den"
"15","Ofen",4,"C","auf 180 Grad.",0,0,0,6,2.7,1.3,"den","Ofen","Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat, den"
"16","Ofen",4,"D","auf 180 Grad.",0,0.08,0,2.4,1.3,1.3,"den","Ofen","Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat, den"
"17","Weinflasche",5,"A","für die Weinprobe.",0,1,1,5.9,1.7,6.8,"die","Weinflasche","Zufrieden entkorkt der Winzer, der die Reben geschnitten hat, die"
"18","Weinflasche",5,"B","für die Weinprobe.",0,1,1,2,2.7,6.8,"die","Weinflasche","Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat, die"
"19","Weinflasche",5,"C","für die Weinprobe.",0,0.08,1,5.9,1.7,1,"die","Weinflasche","Zufrieden glättet der Winzer, der die Reben geschnitten hat, die"
"20","Weinflasche",5,"D","für die Weinprobe.",0,0,1,2,2.7,1,"die","Weinflasche","Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat, die"
"21","Ticket",6,"A","für die Fahrt.",0,0.33,1,6.7,2.3,6.3,"das","Ticket","Umgehend löst der Fahrgast, der den Automaten bedient, das"
"22","Ticket",6,"B","für die Fahrt.",0,0.33,1,1.3,1.3,6.3,"das","Ticket","Umgehend löst der Fahrgast, der die Einkaufstasche abstellt, das"
"23","Ticket",6,"C","für die Fahrt.",0,0,1,6.7,2.3,1.2,"das","Ticket","Umgehend knotet der Fahrgast, der den Automaten bedient, das"
"24","Ticket",6,"D","für die Fahrt.",0,0,1,1.3,1.3,1.2,"das","Ticket","Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt, das"
"25","Sieg",7,"A","mit einer Party.",0,0.5,0,6.8,4.4,6.2,"den","Sieg","Am Abend feiert der Gewinner, der den Pokal erhält, den"
"26","Sieg",7,"B","mit einer Party.",0,0.75,0,1.8,2,6.2,"den","Sieg","Am Abend feiert der Gewinner, der das Eis isst, den"
"27","Sieg",7,"C","mit einer Party.",0,0,0,6.8,4.4,1.8,"den","Sieg","Am Abend knabbert der Gewinner, der den Pokal erhält, den"
"28","Sieg",7,"D","mit einer Party.",0,0,0,1.8,2,1.8,"den","Sieg","Am Abend knabbert der Gewinner, der das Eis isst, den"
"29","Fisch",8,"A","für das Abendessen.",1,0.83,1,7,4.9,6.9,"den","Fisch","Endlich fängt der Angler, der den Köder auswarf, den"
"30","Fisch",8,"B","für das Abendessen.",1,0.83,1,2,1.2,6.9,"den","Fisch","Endlich fängt der Angler, der die Zeitung las, den"
"31","Fisch",8,"C","für das Abendessen.",1,0,1,7,4.9,1.3,"den","Fisch","Endlich baut der Angler, der den Köder auswarf, den"
"32","Fisch",8,"D","für das Abendessen.",1,0,1,2,1.2,1.3,"den","Fisch","Endlich baut der Angler, der die Zeitung las, den"
"33","Unkraut",9,"A","und leerte den Kompost.",0,0.83,0,6.7,3.3,6.9,"das","Unkraut","Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte, das"
"34","Unkraut",9,"B","und leerte den Kompost.",0,0.67,0,3.3,1.4,6.9,"das","Unkraut","Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss, das"
"35","Unkraut",9,"C","und leerte den Kompost.",0,0,0,6.7,3.3,1.2,"das","Unkraut","Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte, das"
"36","Unkraut",9,"D","und leerte den Kompost.",0,0,0,3.3,1.4,1.2,"das","Unkraut","Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss, das"
"37","Klassenzimmer",10,"A","und nimmt ein Stück Kreide.",1,0.75,1,6.8,3.7,5.5,"das","Klassenzimmer","Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt, das"
"38","Klassenzimmer",10,"B","und nimmt ein Stück Kreide.",1,0.75,1,1.9,2.6,5.5,"das","Klassenzimmer","Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt, das"
"39","Klassenzimmer",10,"C","und nimmt ein Stück Kreide.",1,0,1,6.8,3.7,4.7,"das","Klassenzimmer","Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt, das"
"40","Klassenzimmer",10,"D","und nimmt ein Stück Kreide.",1,0,1,1.9,2.6,4.7,"das","Klassenzimmer","Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt, das"
"41","Käse",11,"A","und gibt Öl in die Pfanne.",0,0.5,1,5.2,4.6,6.4,"den","Käse","Schnell reibt der Chefkoch, während er die Nudeln kocht, den"
"42","Käse",11,"B","und gibt Öl in die Pfanne.",0,0.58,1,1.7,1.2,6.4,"den","Käse","Schnell reibt der Chefkoch, während er die Nachrichten hört, den"
"43","Käse",11,"C","und gibt Öl in die Pfanne.",0,0,1,5.2,4.6,1.1,"den","Käse","Schnell flickt der Chefkoch, während er die Nudeln kocht, den"
"44","Käse",11,"D","und gibt Öl in die Pfanne.",0,0,1,1.7,1.2,1.1,"den","Käse","Schnell flickt der Chefkoch, während er die Nachrichten hört, den"
"45","Bier",12,"A","das zuvor gebraut wurde.",0,0.67,1,3.9,1.2,5,"das","Bier","Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das"
"46","Bier",12,"B","das zuvor gebraut wurde.",0,0.58,1,1.8,2.3,5,"das","Bier","Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte, das"
"47","Bier",12,"C","das zuvor gebraut wurde.",0,0,1,3.9,1.2,1.1,"das","Bier","Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das"
"48","Bier",12,"D","das zuvor gebraut wurde.",0,0,1,1.8,2.3,1.1,"das","Bier","Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte, das"
"49","Rasen",13,"A","hinter der Villa.",0,0.92,1,7,5.6,6.8,"den","Rasen","Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den"
"50","Rasen",13,"B","hinter der Villa.",0,0.92,1,2.2,1.9,6.8,"den","Rasen","Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den"
"51","Rasen",13,"C","hinter der Villa.",0,0,1,7,5.6,1.4,"den","Rasen","Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den"
"52","Rasen",13,"D","hinter der Villa.",0,0,1,2.2,1.9,1.4,"den","Rasen","Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den"
"53","Straße",14,"A","und den Bürgersteig.",1,0.42,1,6.5,5.1,6.8,"die","Straße","Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging, die"
"54","Straße",14,"B","und den Bürgersteig.",1,0.42,1,5.7,2,6.8,"die","Straße","Achtsam pflasterte der Bauarbeiter, der die Steine schleppte, die"
"55","Straße",14,"C","und den Bürgersteig.",1,0.08,1,6.5,5.1,2,"die","Straße","Achtsam salzte der Bauarbeiter, der die Absperrungen umging, die"
"56","Straße",14,"D","und den Bürgersteig.",1,0,1,5.7,2,2,"die","Straße","Achtsam salzte der Bauarbeiter, der die Steine schleppte, die"
"57","Glocken",15,"A","und freute sich.",0,1,1,6.7,1.1,7,"die","Glocken","Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte, die"
"58","Glocken",15,"B","und freute sich.",0,0.92,1,2.2,1.1,7,"die","Glocken","Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die"
"59","Glocken",15,"C","und freute sich.",0,0,1,6.7,1.1,1,"die","Glocken","Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte, die"
"60","Glocken",15,"D","und freute sich.",0,0,1,2.2,1.1,1,"die","Glocken","Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die"
"61","Wunde",16,"A","mit fünf Stichen.",0,0.92,1,6.7,3.3,5.8,"die","Wunde","Rasch näht der Notarzt, der den Verletzten betreut, die"
"62","Wunde",16,"B","mit fünf Stichen.",0,0.92,1,3.2,1.8,5.8,"die","Wunde","Rasch näht der Notarzt, der den Ohrring trägt, die"
"63","Wunde",16,"C","mit fünf Stichen.",0,0,1,6.7,3.3,2,"die","Wunde","Rasch versteckt der Notarzt, der den Verletzten betreut, die"
"64","Wunde",16,"D","mit fünf Stichen.",0,0,1,3.2,1.8,2,"die","Wunde","Rasch versteckt der Notarzt, der den Ohrring trägt, die"
"65","Hemd",17,"A","und die Hose.",0,0.75,1,6.4,1.5,6.9,"das","Hemd","Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das"
"66","Hemd",17,"B","und die Hose.",0,0.67,1,1.4,1.2,6.9,"das","Hemd","Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das"
"67","Hemd",17,"C","und die Hose.",0,0,1,6.4,1.5,1,"das","Hemd","Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das"
"68","Hemd",17,"D","und die Hose.",0,0,1,1.4,1.2,1,"das","Hemd","Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das"
"69","Auto",18,"A","und übergibt es an den Kunden.",1,0.58,0,7,3.5,6.3,"das","Auto","Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das"
"70","Auto",18,"B","und übergibt es an den Kunden.",1,0.75,0,5,3.1,6.3,"das","Auto","Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat, das"
"71","Auto",18,"C","und übergibt es an den Kunden.",1,0,0,7,3.5,1.1,"das","Auto","Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das"
"72","Auto",18,"D","und übergibt es an den Kunden.",1,0,0,5,3.1,1.1,"das","Auto","Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat, das"
"73","Teig",19,"A","für das Brot.",2,1,1,6.9,6.9,6.6,"den","Teig","Am Morgen knetet die Bäckerin, die den Kuchen backt, den"
"74","Teig",19,"B","für das Brot.",2,1,1,1.5,1,6.6,"den","Teig","Am Morgen knetet die Bäckerin, die den Stammgast begrüßt, den"
"75","Teig",19,"C","für das Brot.",2,0,1,6.9,6.9,1.2,"den","Teig","Am Morgen hört die Bäckerin, die den Kuchen backt, den"
"76","Teig",19,"D","für das Brot.",2,0,1,1.5,1,1.2,"den","Teig","Am Morgen hört die Bäckerin, die den Stammgast begrüßt, den"
"77","Steak",20,"A","und die Beilagen.",0,0.67,0,4.7,2.4,6.5,"das","Steak","Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet, das"
"78","Steak",20,"B","und die Beilagen.",0,0.83,0,1.4,1.1,6.5,"das","Steak","Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht, das"
"79","Steak",20,"C","und die Beilagen.",0,0,0,4.7,2.4,1.4,"das","Steak","Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet, das"
"80","Steak",20,"D","und die Beilagen.",0,0,0,1.4,1.1,1.4,"das","Steak","Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht, das"
"81","Feuer",21,"A","und rennt weg.",0,0.58,0,6.6,1.5,6.8,"das","Feuer","Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat, das"
"82","Feuer",21,"B","und rennt weg.",0,1,0,3.3,3,6.8,"das","Feuer","Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist, das"
"83","Feuer",21,"C","und rennt weg.",0,0,0,6.6,1.5,1.6,"das","Feuer","Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat, das"
"84","Feuer",21,"D","und rennt weg.",0,0,0,3.3,3,1.6,"das","Feuer","Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist, das"
"85","Haare",22,"A","und holt den Föhn.",0,0.92,1,6.5,3.9,6.8,"die","Haare","Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat, die"
"86","Haare",22,"B","und holt den Föhn.",0,1,1,1,1,6.8,"die","Haare","Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat, die"
"87","Haare",22,"C","und holt den Föhn.",0,0.17,1,6.5,3.9,1.2,"die","Haare","Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat, die"
"88","Haare",22,"D","und holt den Föhn.",0,0,1,1,1,1.2,"die","Haare","Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat, die"
"89","Bleistift",23,"A","und machte sich wieder an die Arbeit.",0,1,1,6,3.3,6.7,"den","Bleistift","Flink spitzte der Zeichner, der die Karikatur entwarf, den"
"90","Bleistift",23,"B","und machte sich wieder an die Arbeit.",0,1,1,2.3,1.6,6.7,"den","Bleistift","Flink spitzte der Zeichner, der den Atlas öffnete, den"
"91","Bleistift",23,"C","und machte sich wieder an die Arbeit.",0,0,1,6,3.3,1.3,"den","Bleistift","Flink knotete der Zeichner, der die Karikatur entwarf, den"
"92","Bleistift",23,"D","und machte sich wieder an die Arbeit.",0,0,1,2.3,1.6,1.3,"den","Bleistift","Flink knotete der Zeichner, der den Atlas öffnete, den"
"93","Patienten",24,"A","gegen Tetanus.",0,0.25,0,6.7,2,6.5,"den","Patienten","Heute impft der Arzt, nachdem er die Spritze befüllt hat, den"
"94","Patienten",24,"B","gegen Tetanus.",0,0.42,0,2.1,1.3,6.5,"den","Patienten","Heute impft der Arzt, nachdem er die Schublade geschlossen hat, den"
"95","Patienten",24,"C","gegen Tetanus.",0,0,0,6.7,2,1.5,"den","Patienten","Heute feuert der Arzt, nachdem er die Spritze befüllt hat, den"
"96","Patienten",24,"D","gegen Tetanus.",0,0,0,2.1,1.3,1.5,"den","Patienten","Heute feuert der Arzt, nachdem er die Schublade geschlossen hat, den"
"97","Leiche",25,"A","in der Leichenhalle.",0,0.75,1,6.6,1.5,7,"die","Leiche","Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat, die"
"98","Leiche",25,"B","in der Leichenhalle.",0,0.75,1,2.6,1.2,7,"die","Leiche","Unverzüglich obduziert der Pathologe, nachdem er das Dokument unterschrieben hat, die"
"99","Leiche",25,"C","in der Leichenhalle.",0,0,1,6.6,1.5,1.2,"die","Leiche","Unverzüglich pfeffert der Pathologe, nachdem er die Mordakte gelesen hat, die"
"100","Leiche",25,"D","in der Leichenhalle.",0,0,1,2.6,1.2,1.2,"die","Leiche","Unverzüglich pfeffert der Pathologe, nachdem er das Dokument unterschrieben hat, die"
"101","Buch",26,"A","für den Fan.",1,1,1,6.7,3.3,6.7,"das","Buch","Am Nachmittag signiert der Autor, der die Geschichte erfunden hat, das"
"102","Buch",26,"B","für den Fan.",1,0.92,1,1.8,1.5,6.7,"das","Buch","Am Nachmittag signiert der Autor, der den Vorhang zugezogen hat, das"
"103","Buch",26,"C","für den Fan.",1,0,1,6.7,3.3,1.3,"das","Buch","Am Nachmittag schluckt der Autor, der die Geschichte erfunden hat, das"
"104","Buch",26,"D","für den Fan.",1,0,1,1.8,1.5,1.3,"das","Buch","Am Nachmittag schluckt der Autor, der den Vorhang zugezogen hat, das"
"105","Gäste",27,"A","und überreichte ihnen die Schlüssel.",2,1,1,4.7,1.4,6.5,"die","Gäste","Sofort begrüßte der Hotelier, der die Koffer stapelte, die"
"106","Gäste",27,"B","und überreichte ihnen die Schlüssel.",2,0.92,1,1.4,1.6,6.5,"die","Gäste","Sofort begrüßte der Hotelier, der die Fische räucherte, die"
"107","Gäste",27,"C","und überreichte ihnen die Schlüssel.",2,0,1,4.7,1.4,1.9,"die","Gäste","Sofort feuerte der Hotelier, der die Koffer stapelte, die"
"108","Gäste",27,"D","und überreichte ihnen die Schlüssel.",2,0,1,1.4,1.6,1.9,"die","Gäste","Sofort feuerte der Hotelier, der die Fische räucherte, die"
"109","Baum",28,"A","neben der Schule.",0,0.92,1,5.9,1.3,7,"den","Baum","Vorsichtig fällt der Holzarbeiter, der die Säge gestartet hat, den"
"110","Baum",28,"B","neben der Schule.",0,0.83,1,2.8,1.9,7,"den","Baum","Vorsichtig fällt der Holzarbeiter, der den Transporter geparkt hat, den"
"111","Baum",28,"C","neben der Schule.",0,0,1,5.9,1.3,1.3,"den","Baum","Vorsichtig durchwühlt der Holzarbeiter, der die Säge gestartet hat, den"
"112","Baum",28,"D","neben der Schule.",0,0,1,2.8,1.9,1.3,"den","Baum","Vorsichtig durchwühlt der Holzarbeiter, der den Transporter geparkt hat, den"
"113","Zigarre",29,"A","und schlenderte über den Marktplatz.",2,1,1,6.2,3.2,6.9,"die","Zigarre","Langsam paffte der Kubaner, der den Rauchring blies, die"
"114","Zigarre",29,"B","und schlenderte über den Marktplatz.",2,1,1,2,1.3,6.9,"die","Zigarre","Langsam paffte der Kubaner, der die Straßenbahn verpasste, die"
"115","Zigarre",29,"C","und schlenderte über den Marktplatz.",2,0.08,1,6.2,3.2,1.5,"die","Zigarre","Langsam öffnete der Kubaner, der den Rauchring blies, die"
"116","Zigarre",29,"D","und schlenderte über den Marktplatz.",2,0.08,1,2,1.3,1.5,"die","Zigarre","Langsam öffnete der Kubaner, der die Straßenbahn verpasste, die"
"117","Schnitzel",30,"A","für das Gericht.",0,0.58,0,6,1.2,6.5,"das","Schnitzel","Fröhlich paniert der Koch, nachdem er die Bratkartoffeln geschält hat, das"
"118","Schnitzel",30,"B","für das Gericht.",0,0.83,0,1.3,1.5,6.5,"das","Schnitzel","Fröhlich paniert der Koch, nachdem er die Ärmel hochgekrempelt hat, das"
"119","Schnitzel",30,"C","für das Gericht.",0,0,0,6,1.2,1,"das","Schnitzel","Fröhlich baut der Koch, nachdem er die Bratkartoffeln geschält hat, das"
"120","Schnitzel",30,"D","für das Gericht.",0,0,0,1.3,1.5,1,"das","Schnitzel","Fröhlich baut der Koch, nachdem er die Ärmel hochgekrempelt hat, das"
"121","Kuchen",31,"A","für die Geburtstagsfeier.",1,0.92,0,6.9,5.3,5.9,"den","Kuchen","Umsichtig glasiert der Konditor, der die Backform eingefettet hat, den"
"122","Kuchen",31,"B","für die Geburtstagsfeier.",1,0.42,0,5.4,1.6,5.9,"den","Kuchen","Umsichtig glasiert der Konditor, der den Tisch abgewischt hat, den"
"123","Kuchen",31,"C","für die Geburtstagsfeier.",1,0,0,6.9,5.3,1.2,"den","Kuchen","Umsichtig durchsucht der Konditor, der die Backform eingefettet hat, den"
"124","Kuchen",31,"D","für die Geburtstagsfeier.",1,0,0,5.4,1.6,1.2,"den","Kuchen","Umsichtig durchsucht der Konditor, der den Tisch abgewischt hat, den"
"125","Kette",32,"A","und die Bremsen.",0,0.83,0,4.9,2,6.8,"die","Kette","Gestern ölte der Fahrradfahrer, bevor er die Bremse einstellte, die"
"126","Kette",32,"B","und die Bremsen.",0,0.58,0,1.2,1.1,6.8,"die","Kette","Gestern ölte der Fahrradfahrer, bevor er die Limonade trank, die"
"127","Kette",32,"C","und die Bremsen.",0,0,0,4.9,2,1.4,"die","Kette","Gestern beheizte der Fahrradfahrer, bevor er die Bremse einstellte, die"
"128","Kette",32,"D","und die Bremsen.",0,0,0,1.2,1.1,1.4,"die","Kette","Gestern beheizte der Fahrradfahrer, bevor die Limonade trank, die"
"129","Brief",33,"A","an die Agentur.",0,0.92,1,6.8,1.3,6.6,"den","Brief","Hastig frankiert der Postbeamte, der das Postamt aufgeschlossen hat, den"
"130","Brief",33,"B","an die Agentur.",0,1,1,1.5,3.7,6.6,"den","Brief","Hastig frankiert der Postbeamte, der das Mittagessen bestellt hat, den"
"131","Brief",33,"C","an die Agentur.",0,0,1,6.8,1.3,2.2,"den","Brief","Hastig umgeht der Postbeamte, der das Postamt aufgeschlossen hat, den"
"132","Brief",33,"D","an die Agentur.",0,0,1,1.5,3.7,2.2,"den","Brief","Hastig umgeht der Postbeamte, der das Mittagessen bestellt hat, den"
"133","Berg",34,"A","und stellt sein Zelt auf.",1,0.75,0,6.4,3.2,6.8,"den","Berg","Fröhlich erklimmt der Wanderer, nachdem er das Tal durchquert hat, den"
"134","Berg",34,"B","und stellt sein Zelt auf.",1,0.92,0,1.4,1.5,6.8,"den","Berg","Fröhlich erklimmt der Wanderer, nachdem er die Stoppuhr gestartet hat, den"
"135","Berg",34,"C","und stellt sein Zelt auf.",1,0,0,6.4,3.2,1.5,"den","Berg","Fröhlich kauft der Wanderer, nachdem er das Tal durchquert hat, den"
"136","Berg",34,"D","und stellt sein Zelt auf.",1,0,0,1.4,1.5,1.5,"den","Berg","Fröhlich kauft der Wanderer, nachdem er die Stoppuhr gestartet hat, den"
"137","Befehl",35,"A","zum Abmarsch.",0,0.92,0,6,7,6.6,"den","Befehl","Bedächtig erteilt der General, der die Rekruten kommandiert, den"
"138","Befehl",35,"B","zum Abmarsch.",0,0.75,0,1.7,2.4,6.6,"den","Befehl","Bedächtig erteilt der General, der die Getränke einschenkt, den"
"139","Befehl",35,"C","zum Abmarsch.",0,0,0,6,7,1.4,"den","Befehl","Bedächtig biegt der General, der die Rekruten kommandiert, den"
"140","Befehl",35,"D","zum Abmarsch.",0,0,0,1.7,2.4,1.4,"den","Befehl","Bedächtig biegt der General, der die Getränke einschenkt, den"
"141","Wand",36,"A","des Büros.",0,0.5,0,7,5.5,6.4,"die","Wand","Sofort streicht der Maler, nachdem er die Tapete angebracht hat, die"
"142","Wand",36,"B","des Büros.",0,0.67,0,1.5,1.3,6.4,"die","Wand","Sofort streicht der Maler, nachdem er den Hund gefüttert hat, die"
"143","Wand",36,"C","des Büros.",0,0.08,0,7,5.5,1.1,"die","Wand","Sofort lenkt der Maler, nachdem er die Tapete angebracht hat, die"
"144","Wand",36,"D","des Büros.",0,0,0,1.5,1.3,1.1,"die","Wand","Sofort lenkt der Maler, nachdem er den Hund gefüttert hat, die"
"145","Hammer",37,"A","auf das Metall.",0,1,0,6.5,1.9,5.6,"den","Hammer","Direkt schwingt der Schmied, der den Amboss aufgestellt hat, den"
"146","Hammer",37,"B","auf das Metall.",0,0.83,0,2.9,3.8,5.6,"den","Hammer","Direkt schwingt der Schmied, der den Stuhl weggestellt hat, den"
"147","Hammer",37,"C","auf das Metall.",0,0,0,6.5,1.9,1.2,"den","Hammer","Direkt speichert der Schmied, der den Amboss aufgestellt hat, den"
"148","Hammer",37,"D","auf das Metall.",0,0,0,2.9,3.8,1.2,"den","Hammer","Direkt speichert der Schmied, der den Stuhl weggestellt hat, den"
"149","Land",38,"A","im Norden.",1,0.33,0,6.6,2.5,7,"das","Land","Vor langer Zeit regierte der König, der die Reise unternahm, das"
"150","Land",38,"B","im Norden.",1,0.5,0,2.4,2.5,7,"das","Land","Vor langer Zeit regierte der König, der den Gesang vernahm, das"
"151","Land",38,"C","im Norden.",1,0,0,6.6,2.5,1.2,"das","Land","Vor langer Zeit briet der König, der die Reise unternahm, das"
"152","Land",38,"D","im Norden.",1,0,0,2.4,2.5,1.2,"das","Land","Vor langer Zeit briet der König, der den Gesang vernahm, das"
"153","Stab",39,"A","und gab den Takt an.",0,0.42,1,1.9,1.6,3,"den","Stab","Zügig hob der Dirigent, der das Tempo wechselte, den"
"154","Stab",39,"B","und gab den Takt an.",0,0.5,1,1,1.6,3,"den","Stab","Zügig hob der Dirigent, der das Gähnen unterdrückte, den"
"155","Stab",39,"C","und gab den Takt an.",0,0,1,1.9,1.6,1.3,"den","Stab","Zügig verdrückte der Dirigent, der das Tempo wechselte, den"
"156","Stab",39,"D","und gab den Takt an.",0,0,1,1,1.6,1.3,"den","Stab","Zügig verdrückte der Dirigent, der das Gähnen unterdrückte, den"
"157","Bart",40,"A","des Mannes.",2,0.58,0,5.4,1.3,6.8,"den","Bart","Direkt trimmt der Herrenfriseur, nachdem er die Klinge ausgepackt hat, den"
"158","Bart",40,"B","des Mannes.",2,0.25,0,1.2,1,6.8,"den","Bart","Direkt trimmt der Herrenfriseur, nachdem er das Wasserglas abgestellt hat, den"
"159","Bart",40,"C","des Mannes.",2,0,0,5.4,1.3,1.7,"den","Bart","Direkt hört der Herrenfriseur, nachdem er die Klinge ausgepackt hat, den"
"160","Bart",40,"D","des Mannes.",2,0,0,1.2,1,1.7,"den","Bart","Direkt hört der Herrenfriseur, nachdem er das Wasserglas abgestellt hat, den"
"161","Geschirr",41,"A","und die Brettchen.",0,0.5,1,6.7,4.7,6.9,"das","Geschirr","Gestern spülte der Tellerwäscher, bevor er den Tisch wischte, das"
"162","Geschirr",41,"B","und die Brettchen.",0,0.42,1,1.2,1.2,6.9,"das","Geschirr","Gestern spülte der Tellerwäscher, bevor er das Taxi rief, das"
"163","Geschirr",41,"C","und die Brettchen.",0,0,1,6.7,4.7,1.1,"das","Geschirr","Gestern glättete der Tellerwäscher, bevor er den Tisch wischte, das"
"164","Geschirr",41,"D","und die Brettchen.",0,0,1,1.2,1.2,1.1,"das","Geschirr","Gestern glättete der Tellerwäscher, bevor er das Taxi rief, das"
"165","Schloss",42,"A","und stiehlt die Wertsachen.",0,0.25,0,7,1.8,6.4,"das","Schloss","Im Handumdrehen knackt der Einbrecher, der den Zahlencode erraten hat, das"
"166","Schloss",42,"B","und stiehlt die Wertsachen.",0,0.5,0,2.6,1.5,6.4,"das","Schloss","Im Handumdrehen knackt der Einbrecher, der die Akte durchblättert hat, das"
