"","ItemNum","Condition","context","target","continuation"
"20",7,"script-related","Peter verliet het theater. Even later liep hij naar de","loge","en ging zitten."
"21",7,"script-unrelated","Peter bereikte de supermarkt. Even later liep hij naar de","loge","en ging zitten."
"22",8,"control","Lisa betrad het station. Even later was ze op het","perron","en wachtte op de trein."
"23",8,"script-related","Lisa verliet het station. Even later was ze op het","perron","en wachtte op de trein."
"24",8,"script-unrelated","Lisa betrad het huis. Even later was ze op het","perron","en wachtte op de trein."
"25",9,"control","Tim begon in de sportschool te trainen. Meteen stapte hij op de","loopband","en rende als een gek."
"26",9,"script-related","Tim stopte in de sportschool met trainen. Meteen stapte hij op de","loopband","en rende als een gek."
"27",9,"script-unrelated","Tim begon zijn rijles. Meteen stapte hij op de","loopband","en rende als een gek."
"28",10,"control","Maria bereikte het vliegveld. Ze liep meteen naar de","check-in","om de koffer af te geven."
"29",10,"script-related","Maria verliet het vliegveld. Ze liep meteen naar de","check-in","om de koffer af te geven."
"30",10,"script-unrelated","Maria bereikte het winkelcentrum. Ze liep meteen naar de","check-in","om de koffer af te geven."
"31",11,"control","Lukas kwam naar het verjaardagsfeest. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige."
"32",11,"script-related","Lukas verliet het verjaardagsfeest. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige."
"33",11,"script-unrelated","Lukas kwam naar de les. Na een tijdje overhandigde hij de","taart","en feliciteerde hij de jarige."
"34",12,"control","Marie ging naar de kapper. Even later vroeg ze de","styliste","om een nieuwe coupe."
"35",12,"script-related","Marie verliet de kapper. Even later vroeg ze de","styliste","om een nieuwe coupe."
"36",12,"script-unrelated","Marie ging naar de uni. Even later vroeg ze de","styliste","om een nieuwe coupe."
"37",13,"control","Thorsten begon te douchen. Als eerste gebruikte hij de","shampoo","en daarna de douchegel."
"38",13,"script-related","Thorsten stopte met douchen. Als eerste gebruikte hij de","shampoo","en daarna de douchegel."
"39",13,"script-unrelated","Thorsten begon te barbecueën. Als eerste gebruikte hij de","shampoo","en daarna de douchegel."
"40",14,"control","Claudia betrad de bloemenwinkel. Snel vroeg ze om een","roos","voor een vriendin."
"41",14,"script-related","Claudia verliet de bloemenwinkel. Snel vroeg ze om een","roos","voor een vriendin."
"42",14,"script-unrelated","Claudia betrad de dierenwinkel. Snel vroeg ze om een","roos","voor een vriendin."
"43",15,"control","Jonathan ging naar de begraafplaats. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit."
"44",15,"script-related","Jonathan verliet de begraafplaats. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit."
"45",15,"script-unrelated","Jonathan ging naar de keuken. Peinzend bekeek hij de","grafsteen","en sprak een gebed uit."
"46",16,"control","Lara ging de tuin in. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water."
"47",16,"script-related","Lara verliet de tuin. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water."
"48",16,"script-unrelated","Lara ging naar het fornuis. Aandachtig onderzocht ze de","aarde","en gaf toen de bloemen water."
"49",17,"control","Roman ging naar het museum. Nauwkeurig bekeek hij de","sculpturen","en was enthousiast."
"50",17,"script-related","Roman verliet het museum.  Nauwkeurig bekeek hij de","sculpturen","en was enthousiast."
"51",17,"script-unrelated","Roman ging naar de boekhandel. Nauwkeurig bekeek hij de","sculpturen","en was enthousiast."
"52",18,"control","Annika ging naar de banketbakker. Snel vroeg ze om een","taart","en betaalde meteen."
"53",18,"script-related","Annika verliet de banketbakker. Snel vroeg ze om een","taart","en betaalde meteen."
"54",18,"script-unrelated","Annika ging naar de boetiek. Snel vroeg ze om een","taart","en betaalde meteen."
"55",19,"control","Emil betrad de spa. Na een tijdje kreeg hij een","massage","en genoot ervan."
"56",19,"script-related","Emil verliet de spa. Na een tijdje kreeg hij een","massage","en genoot ervan."
"57",19,"script-unrelated","Emil betrad de apotheek. Na een tijdje kreeg hij een","massage","en genoot ervan."
"58",20,"control","Susanne betrad de manege. Snel legde ze het","zadel","op en reed weg."
"59",20,"script-related","Susanne verliet de manege. Snel legde ze het","zadel","op en reed weg."
"60",20,"script-unrelated","Susanne betrad de badkamer. Snel legde ze het","zadel","op en reed weg."
"61",21,"control","Martin kwam bij de veiligheidscontrole. Vlot opende hij de","koffer","en werd doorgelaten."
"62",21,"script-related","Martin verliet de veiligheidscontrole. Vlot opende hij de","koffer","en werd doorgelaten."
"63",21,"script-unrelated","Martin kwam bij de garage. Vlot opende hij de","koffer","en werd doorgelaten."
"64",22,"control","Jutta ging naar de hotelreceptie. Direct kreeg ze een","kamer","en bedankte vriendelijk."
"65",22,"script-related","Jutta verliet de hotelreceptie. Direct kreeg ze een","kamer","en bedankte vriendelijk."
"66",22,"script-unrelated","Jutta ging naar het postkantoor. Direct kreeg ze een","kamer","en bedankte vriendelijk."
"67",23,"control","Jens ging naar de tandarts. Angstig liep hij naar de","röntgen","en liet zich behandelen."
"68",23,"script-related","Jens verliet de tandarts. Angstig liep hij naar de","röntgen","en liet zich behandelen."
"69",23,"script-unrelated","Jens ging naar de douane. Angstig liep hij naar de","röntgen","en liet zich behandelen."
"70",24,"control","Elena begon te pokeren. Snel zette ze haar","geld","in en won."
"71",24,"script-related","Elena stopte met pokeren. Snel zette ze haar","geld","in en won."
"72",24,"script-unrelated","Elena begon te tekenen. Snel zette ze haar","geld","in en won."
"73",25,"control","Bruno begon zijn vakantie. Eindelijk kwam hij bij de","zee","aan en genoot van het weer."
"74",25,"script-related","Bruno beëindigde zijn vakantie. Eindelijk kwam hij bij de","zee","aan en genoot van het weer."
"75",25,"script-unrelated","Bruno begon zijn filmavond. Eindelijk kwam hij bij de","zee","aan en genoot van het weer."
"76",26,"control","Jana betrad het gemeentehuis. Meteen toonde ze haar","visum","en diende een aanvraag in."
"77",26,"script-related","Jana verliet het gemeentehuis. Meteen toonde ze haar","visum","en diende een aanvraag in."
"78",26,"script-unrelated","Jana betrad het tuincentrum. Meteen toonde ze haar","visum","en diende een aanvraag in."
"79",27,"control","Nico ging naar de kermis. Direct liep hij naar de","botsauto's","en reed een rondje."
"80",27,"script-related","Nico verliet de kermis. Direct liep hij naar de","botsauto's","en reed een rondje."
"81",27,"script-unrelated","Nico ging naar de pizzeria. Direct liep hij naar de","botsauto's","en reed een rondje."
"82",28,"control","Beate ging wandelen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam."
"83",28,"script-related","Beate kwam terug van het wandelen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam."
"84",28,"script-unrelated","Beate ging zwemmen. Na een tijdje zag ze een","edelweiss","die ze meteen meenam."
"85",29,"control","Hubert nam een taxi. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming."
"86",29,"script-related","Hubert verliet de taxi. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming."
"87",29,"script-unrelated","Hubert nam een vliegtuig. Vriendelijk begroette hij de","chauffeur","en noemde zijn bestemming."
"88",30,"control","Jenni begon te baden. Ze verdeelde meteen het","schuim","over haar lichaam."
"89",30,"script-related","Jenni stopte met baden. Ze verdeelde meteen het","schuim","over haar lichaam."
"90",30,"script-unrelated","Jenni begon de hoorcollege. Ze verdeelde meteen het","schuim","over haar lichaam."
"91",31,"control","Hans betrad de ijshal. Hij trok vlot zijn","schaatsen","aan en ging de baan op."
"92",31,"script-related","Hans verliet de ijshal. Hij trok vlot zijn","schaatsen","aan en ging de baan op."
"93",31,"script-unrelated","Hans betrad de klimhal. Hij trok vlot zijn","schaatsen","aan en ging de baan op."
"94",32,"control","Clara begon te bowlen. Vakkundig behaalde ze een","strike","en won het spel."
"95",32,"script-related","Clara stopte met bowlen. Vakkundig behaalde ze een","strike","en won het spel."
"96",32,"script-unrelated","Clara ging naar de schietbaan. Vakkundig behaalde ze een","strike","en won het spel."
"97",33,"control","Georg nam deel aan een brandweerinzet. Hij gebruikte meteen de","slang","en bluste het vuur."
"98",33,"script-related","Georg beëindigde een brandweerinzet. Hij gebruikte meteen de","slang","en bluste het vuur."
"99",33,"script-unrelated","Georg nam deel aan yoga. Hij gebruikte meteen de","slang","en bluste het vuur."
"100",34,"control","Johanna begon de voetbalwedstrijd. Na korte tijd maakte ze een","doelpunt","en juichte luid."
"101",34,"script-related","Johanna beëindigde de voetbalwedstrijd. Na korte tijd maakte ze een","doelpunt","en juichte luid."
"102",34,"script-unrelated","Johanna begon de jacht. Na korte tijd maakte ze een","doelpunt","en juichte luid."
"103",35,"control","Jürgen betrad de slagerij. Hij vroeg meteen om een","steak","en betaalde."
"104",35,"script-related","Jürgen verliet de slagerij. Hij vroeg meteen om een","steak","en betaalde."
"105",35,"script-unrelated","Jürgen betrad de bakkerij. Hij vroeg meteen om een","steak","en betaalde."
"106",36,"control","Frauke betrad de dierentuin. Even later fotografeerde ze een","zebra","die aan het drinken was."
"107",36,"script-related","Frauke verliet de dierentuin. Even later fotografeerde ze een","zebra","die aan het drinken was."
"108",36,"script-unrelated","Frauke ging naar het stadion. Even later fotografeerde ze een","zebra","die aan het drinken was."
"109",37,"control","Bernd betrad de wasserette. Snel koos hij het","wasprogramma","en zette de machine aan."
"110",37,"script-related","Bernd verliet de wasserette. Snel koos hij het","wasprogramma","en zette de machine aan."
"111",37,"script-unrelated","Bernd betrad de kiosk. Snel koos hij het","wasprogramma","en zette de machine aan."
"112",38,"control","Nicole ging naar het circus. Al snel ging ze op de","tribune","zitten en bekeek het spektakel."
"113",38,"script-related","Nicole verliet het circus. Al snel ging ze op de","tribune","zitten en bekeek het spektakel."
"114",38,"script-unrelated","Nicole ging naar het kantoor. Al snel ging ze op de","tribune","zitten en bekeek het spektakel."
"115",39,"control","Viktor ging naar de sauna. Na een tijdje maakte hij een","opgieting","en ging liggen."
"116",39,"script-related","Viktor verliet de sauna. Na een tijdje maakte hij een","opgieting","en ging liggen."
"117",39,"script-unrelated","Viktor ging naar het lab. Na een tijdje maakte hij een","opgieting","en ging liggen."
"118",40,"control","Gabi ging naar de dierenarts. Een moment later vroeg ze de","assistente","om medicijnen."
"119",40,"script-related","Gabi verliet de dierenarts. Een moment later vroeg ze de","assistente","om medicijnen."
"120",40,"script-unrelated","Gabi ging naar de kleedkamer. Een moment later vroeg ze de","assistente","om medicijnen."
"121",41,"control","Jakob betrad de plaats delict. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd."
"122",41,"script-related","Jakob verliet de plaats delict. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd."
"123",41,"script-unrelated","Jakob betrad het tankstation. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd."
"124",42,"control","Peter begon bomen te kappen. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam."
"125",42,"script-related","Peter stopte met bomen kappen. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam."
"126",42,"script-unrelated","Peter begon de koets te rijden. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam."
"127",43,"control","Tom begon een kampvuur. Meteen stapelde hij het","hout","en stak het aan."
"128",43,"script-related","Tom beëindigde het kampvuur. Meteen stapelde hij het","hout","en stak het aan."
"129",43,"script-unrelated","Tom begon ontbijt te maken. Meteen stapelde hij het","hout","en stak het aan."
"130",44,"control","Kim ging naar de kerstmarkt. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus."
"131",44,"script-related","Kim verliet de kerstmarkt. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus."
"132",44,"script-unrelated","Kim ging naar het ziekenhuis. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus."
"133",45,"control","Michael begon zijn lunch te koken. Snel sneed hij de","groenten","en gooide het in de pot."
"134",45,"script-related","Michael was klaar met zijn lunch koken. Snel sneed hij de","groenten","en gooide het in de pot."
"135",45,"script-unrelated","Michael begon een taart te bakken. Snel sneed hij de","groenten","en gooide het in de pot."
"136",46,"control","Johan betrad het appartement. Meteen ging hij op het","bed","zitten en dacht na over de dag."
"137",46,"script-related","Johan verliet het appartement. Meteen ging hij op het","bed","zitten en dacht na over de dag."
"138",46,"script-unrelated","Johan betrad de bioscoop. Meteen ging hij op het","bed","zitten en dacht na over de dag."
"139",47,"control","Sabine betrad de school. Snel liep ze naar het","klaslokaal","en groette de leerlingen."
"140",47,"script-related","Sabine verliet de school. Snel liep ze naar het","klaslokaal","en groette de leerlingen."
"141",47,"script-unrelated","Sabine betrad de boerderij. Snel liep ze naar het","klaslokaal","en groette de leerlingen."
"142",48,"control","Kevin betrad de kerk. Voorzichtig pakte hij een","kaars","en stak hem aan."
"143",48,"script-related","Kevin verliet de kerk. Voorzichtig pakte hij een","kaars","en stak hem aan."
"144",48,"script-unrelated","Kevin betrad de huisartsenpraktijk. Voorzichtig pakte hij een","kaars","en stak hem aan."
"145",49,"control","Susi betrad het verblijf. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen."
"146",49,"script-related","Susi verliet het verblijf. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen."
"147",49,"script-unrelated","Susi betrad de bibliotheek. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen."
"148",50,"control","Thomas betrad de kroeg. Haastig riep hij de","ober","en bestelde een biertje."
"149",50,"script-related","Thomas verliet de kroeg. Haastig riep hij de","ober","en bestelde een biertje."
"150",50,"script-unrelated","Thomas begon spaghetti te koken. Haastig riep hij de","ober","en bestelde een biertje."
"151",51,"control","Lea begon de muren te verven. Ze koos snel een","kwast","uit en begon te verven."
"152",51,"script-related","Lea was klaar met de muren verven. Ze koos snel een","kwast","uit en begon te verven."
"153",51,"script-unrelated","Lea bereikte het theater. Ze koos snel een","kwast","uit en begon te verven."
"154",52,"control","Peter bereikte de supermarkt. Snel kocht hij wat","groenten","om 's avonds te koken."
"155",52,"script-related","Peter verliet de supermarkt. Snel kocht hij wat","groenten","om 's avonds te koken."
"156",52,"script-unrelated","Peter bereikte het station. Snel kocht hij wat","groenten","om 's avonds te koken."
"157",53,"control","Lisa betrad het huis. Kort daarna checkte ze de","koelkast","en zocht iets te eten."
"158",53,"script-related","Lisa verliet het huis. Kort daarna checkte ze de","koelkast","en zocht iets te eten."
"159",53,"script-unrelated","Lisa begon in de sportschool te trainen. Kort daarna checkte ze de","koelkast","en zocht iets te eten."
"160",54,"control","Tim begon zijn rijles. Gejaagd drukte hij op het","gaspedaal","en reed weg."
"161",54,"script-related","Tim beëindigde zijn rijles. Gejaagd drukte hij op het","gaspedaal","en reed weg."
"162",54,"script-unrelated","Tim ging naar het vliegveld. Gejaagd drukte hij op het","gaspedaal","en reed weg."
"163",55,"control","Maria bereikte het winkelcentrum. Meteen begroette ze de","verkoopster","en koos iets uit."
"164",55,"script-related","Maria verliet het winkelcentrum. Meteen begroette ze de","verkoopster","en koos iets uit."
"165",55,"script-unrelated","Maria bereikte het verjaardagsfeest. Meteen begroette ze de","verkoopster","en koos iets uit."
"166",56,"control","Lukas begon het college. Haastig begroette hij zijn","studenten","en begon."
"167",56,"script-related","Lukas beëindigde het college. Haastig begroette hij zijn","studenten","en begon."
"168",56,"script-unrelated","Lukas ging naar de kapper. Haastig begroette hij zijn","studenten","en begon."
"169",57,"control","Marie ging naar de uni. Haastig betrad ze de","collegezaal","en opende haar boek."
"170",57,"script-related","Marie verliet de uni. Haastig betrad ze de","collegezaal","en opende haar boek."
"171",57,"script-unrelated","Marie ging douchen. Haastig betrad ze de","collegezaal","en opende haar boek."
"172",58,"control","Thorsten begon te barbecueën. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang."
"173",58,"script-related","Thorsten stopte met barbecueën. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang."
"174",58,"script-unrelated","Thorsten betrad de bloemenwinkel. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang."
"175",59,"control","Claudia betrad de dierenwinkel. Een tijdje stond ze bij de","kooi","en dacht na over de koop."
"176",59,"script-related","Claudia verliet de dierenwinkel. Een tijdje stond ze bij de","kooi","en dacht na over de koop."
"177",59,"script-unrelated","Claudia betrad de begraafplaats. Een tijdje stond ze bij de","kooi","en dacht na over de koop."
"178",60,"control","Jonathan ging naar de keuken. Eerst reinigde hij de","oven","en daarna de koelkast."
"179",60,"script-related","Jonathan verliet de keuken. Eerst reinigde hij de","oven","en daarna de koelkast."
"180",60,"script-unrelated","Jonathan ging de tuin in. Eerst reinigde hij de","oven","en daarna de koelkast."
"181",61,"control","Lara liep naar het fornuis. Snel reinigde ze de","kookplaat","en daarna de afzuigkap."
"182",61,"script-related","Lara liep weg van het fornuis. Snel reinigde ze de","kookplaat","en daarna de afzuigkap."
"183",61,"script-unrelated","Lara ging naar het museum. Snel reinigde ze de","kookplaat","en daarna de afzuigkap."
"184",62,"control","Roman ging naar de boekhandel. Snel zocht hij een","roman","voor zijn vrouw."
"185",62,"script-related","Roman verliet de boekhandel. Snel zocht hij een","roman","voor zijn vrouw."
"186",62,"script-unrelated","Roman ging naar de banketbakker. Snel zocht hij een","roman","voor zijn vrouw."
"187",63,"control","Annika ging naar de boetiek. Ze zocht een tijdje naar","laarzen","en kocht ze toen."
"188",63,"script-related","Annika verliet de boetiek. Ze zocht een tijdje naar","laarzen","en kocht ze toen."
"189",63,"script-unrelated","Annika ging naar de spa. Ze zocht een tijdje naar","laarzen","en kocht ze toen."
"190",64,"control","Emil betrad de apotheek. Snel kocht hij het","medicijn","en ging toen naar huis."
"191",64,"script-related","Emil verliet de apotheek. Snel kocht hij het","medicijn","en ging toen naar huis."
"192",64,"script-unrelated","Emil betrad de manege. Snel kocht hij het","medicijn","en ging toen naar huis."
"193",65,"control","Susanne betrad de badkamer. Direct verwijderde ze haar","make-up","en poetste haar tanden."
"194",65,"script-related","Susanne verliet de badkamer. Direct verwijderde ze haar","make-up","en poetste haar tanden."
"195",65,"script-unrelated","Susanne ging naar de veiligheidscontrole. Direct verwijderde ze haar","make-up","en poetste haar tanden."
"196",66,"control","Martin kwam bij de garage. Meteen vroeg hij naar","banden","voor de winter."
"197",66,"script-related","Martin verliet de garage. Meteen vroeg hij naar","banden","voor de winter."
"198",66,"script-unrelated","Martin kwam bij de hotelreceptie. Meteen vroeg hij naar","banden","voor de winter."
"199",67,"control","Jutta ging naar het postkantoor. Meteen kreeg ze het","pakket","waarop ze had gewacht."
"200",67,"script-related","Jutta verliet het postkantoor. Meteen kreeg ze het","pakket","waarop ze had gewacht."
"201",67,"script-unrelated","Jutta ging naar de tandarts. Meteen kreeg ze het","pakket","waarop ze had gewacht."
"202",68,"control","Jens ging naar de douane. Snel toonde hij zijn","formulier","en keek de beambte aan."
"203",68,"script-related","Jens verliet de douane. Snel toonde hij zijn","formulier","en keek de beambte aan."
"204",68,"script-unrelated","Jens begon te pokeren. Snel toonde hij zijn","formulier","en keek de beambte aan."
"205",69,"control","Elena begon te tekenen. Meteen pakte ze het","potlood","en tekende een bloem."
"206",69,"script-related","Elena stopte met tekenen. Meteen pakte ze het","potlood","en tekende een bloem."
"207",69,"script-unrelated","Elena begon de vakantie. Meteen pakte ze het","potlood","en tekende een bloem."
"208",70,"control","Bruno begon zijn filmavond. Snel haalde hij de","popcorn","uit de keuken."
"209",70,"script-related","Bruno beëindigde zijn filmavond. Snel haalde hij de","popcorn","uit de keuken."
"210",70,"script-unrelated","Bruno betrad het gemeentehuis. Snel haalde hij de","popcorn","uit de keuken."
"211",71,"control","Jana betrad het tuincentrum. Na een tijdje vroeg ze om een","palmboom","voor het balkon."
"212",71,"script-related","Jana verliet het tuincentrum. Na een tijdje vroeg ze om een","palmboom","voor het balkon."
"213",71,"script-unrelated","Jana ging naar de kermis. Na een tijdje vroeg ze om een","palmboom","voor het balkon."
"214",72,"control","Nico ging naar de pizzeria. Hij greep meteen de","menukaart","en bestelde een margherita."
"215",72,"script-related","Nico verliet de pizzeria. Hij greep meteen de","menukaart","en bestelde een margherita."
"216",72,"script-unrelated","Nico ging wandelen. Hij greep meteen de","menukaart","en bestelde een margherita."
"217",73,"control","Beate ging zwemmen. Snel controleerde ze het","bassin","en zwom weg."
"218",73,"script-related","Beate kwam terug van het zwemmen. Snel controleerde ze het","bassin","en zwom weg."
"219",73,"script-unrelated","Beate ging met de taxi. Snel controleerde ze het","bassin","en zwom weg."
"220",74,"control","Hubert nam een vliegtuig. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen."
"221",74,"script-related","Hubert verliet het vliegtuig. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen."
"222",74,"script-unrelated","Hubert begon te baden. Vol enthousiasme genoot hij van de","hoogte","want hij hield van vliegen."
"223",75,"control","Jenni begon de les. Direct opende ze het","schoolbord","en begon te schrijven."
"224",75,"script-related","Jenni stopte de les. Direct opende ze het","schoolbord","en begon te schrijven."
"225",75,"script-unrelated","Jenni betrad de ijshal. Direct opende ze het","schoolbord","en begon te schrijven."
"226",76,"control","Hans betrad de klimhal. Even later greep hij het","touw","en spande het."
"227",76,"script-related","Hans verliet de klimhal. Even later greep hij het","touw","en spande het."
"228",76,"script-unrelated","Hans begon te bowlen. Even later greep hij het","touw","en spande het."
"229",77,"control","Clara ging naar de schietbaan. Ze kreeg meteen een","revolver","en begon op het doel te schieten."
"230",77,"script-related","Clara verliet de schietbaan. Ze kreeg meteen een","revolver","en begon op het doel te schieten."
"231",77,"script-unrelated","Clara ging op een brandweerinzet. Ze kreeg meteen een","revolver","en begon op het doel te schieten."
"232",78,"control","Georg nam deel aan de yogales. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening."
"233",78,"script-related","Georg kwam terug van de yogales. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening."
"234",78,"script-unrelated","Georg nam deel aan de voetbalwedstrijd. Na een tijdje ging hij op zijn","yogamat","zitten en deed een oefening."
"235",79,"control","Johanna begon de jacht. Na een tijdje zag ze de","jachthut","en liep erop af."
"236",79,"script-related","Johanna kwam terug van de jacht. Na een tijdje zag ze de","jachthut","en liep erop af."
"237",79,"script-unrelated","Johanna betrad de slagerij. Na een tijdje zag ze de","jachthut","en liep erop af."
"238",80,"control","Jürgen betrad de bakkerij. Even later wees hij naar de","croissant","en maakte zijn keuze."
"239",80,"script-related","Jürgen verliet de bakkerij. Even later wees hij naar de","croissant","en maakte zijn keuze."
"240",80,"script-unrelated","Jürgen betrad de dierentuin. Even later wees hij naar de","croissant","en maakte zijn keuze."
"241",81,"control","Frauke ging naar het stadion. Snel koos ze een","tribune","en ging zitten."
"242",81,"script-related","Frauke verliet het stadion. Snel koos ze een","tribune","en ging zitten."
"243",81,"script-unrelated","Frauke ging naar de wasserette. Snel koos ze een","tribune","en ging zitten."
"244",82,"control","Bernd betrad de kiosk. Hij kocht meteen een","krant","en ging weer naar huis."
"245",82,"script-related","Bernd verliet de kiosk. Hij kocht meteen een","krant","en ging weer naar huis."
"246",82,"script-unrelated","Bernd betrad het circus. Hij kocht meteen een","krant","en ging weer naar huis."
"247",83,"control","Nicole betrad het kantoor. Eerst liep ze naar het","bureau","en zette toen de computer aan."
"248",83,"script-related","Nicole verliet het kantoor. Eerst liep ze naar het","bureau","en zette toen de computer aan."
"249",83,"script-unrelated","Nicole betrad de sauna. Eerst liep ze naar het","bureau","en zette toen de computer aan."
"250",84,"control","Viktor ging naar het lab. Snel begon hij het","experiment","en maakte aantekeningen."
"251",84,"script-related","Viktor verliet het lab. Snel begon hij het","experiment","en maakte aantekeningen."
"252",84,"script-unrelated","Viktor ging naar de dierenarts. Snel begon hij het","experiment","en maakte aantekeningen."
"253",85,"control","Gabi ging naar de paskamer. Snel paste ze de","kleding","en ging naar de kassa."
"254",85,"script-related","Gabi verliet de paskamer. Snel paste ze de","kleding","en ging naar de kassa."
"255",85,"script-unrelated","Gabi betrad de plaats delict. Snel paste ze de","kleding","en ging naar de kassa."
"256",86,"control","Jakob betrad het tankstation. Hij zei meteen zijn","nummer","en betaalde."
"257",86,"script-related","Jakob verliet het tankstation. Hij zei meteen zijn","nummer","en betaalde."
"258",86,"script-unrelated","Jakob begon bomen te kappen. Hij zei meteen zijn","nummer","en betaalde."
"259",87,"control","Hilde begon de koets te besturen. Snel beklom ze de","koets","en daar ging ze."
"260",87,"script-related","Hilde was klaar met de koets besturen. Snel beklom ze de","koets","en daar ging ze."
"261",87,"script-unrelated","Hilde begon een kampvuur. Snel beklom ze de","koets","en daar ging ze."
"262",88,"control","Tom begon ontbijt te maken. Hij opende meteen de","boter","en maakte een boterham."
"263",88,"script-related","Tom stopte met ontbijt maken. Hij opende meteen de","boter","en maakte een boterham."
"264",88,"script-unrelated","Tom ging naar de kerstmarkt. Hij opende meteen de","boter","en maakte een boterham."
"265",89,"control","Kim ging naar het ziekenhuis. Meteen liep ze naar de","receptie","en vroeg de weg."
"266",89,"script-related","Kim verliet het ziekenhuis. Meteen liep ze naar de","receptie","en vroeg de weg."
"267",89,"script-unrelated","Kim begon haar lunch te koken. Meteen liep ze naar de","receptie","en vroeg de weg."
"268",90,"control","Michael begon een taart te bakken. Als eerste pakte hij een","garde","en klopte het eiwit stijf."
"269",90,"script-related","Michael was klaar met een taart bakken. Als eerste pakte hij een","garde","en klopte het eiwit stijf."
"270",90,"script-unrelated","Michael betrad het restaurant. Als eerste pakte hij een","garde","en klopte het eiwit stijf."
