target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context
young,BC,169,1.7,0.8275862068965517,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were"
business,BC,172,1.25,0.625,"In the window, they posted the hours they were open for business","In the window, they posted the hours they were open for"
contagious,BC,173,1.61,0.5517241379310345,They sent the kids with measles home from school because they were contagious,They sent the kids with measles home from school because they were
water,BC,174,1.5,0.6896551724137931,"Outside, Cora could hear the running water","Outside, Cora could hear the running"
walk,BC,177,1.64,0.4642857142857143,At night they often took a short walk,At night they often took a short
published,BC,182,1.36,0.5483870967741935,The wealthy author always points out that she wrote four novels before one was published,The wealthy author always points out that she wrote four novels before one was
mouse,BC,185,1.48,0.9285714285714286,The kitten waited patiently because behind the refrigerator was a mouse,The kitten waited patiently because behind the refrigerator was a
cold,BC,187,1.33,0.7931034482758621,Norton hates getting up on winter mornings because it is always cold,Norton hates getting up on winter mornings because it is always
soil,BC,190,1.09,0.8620689655172413,The fertilizer enriched the soil,The fertilizer enriched the
note,BC,193,1.09,0.6333333333333333,The young girl passed her friend a note,The young girl passed her friend a
perfect,BC,196,1.3,0.4827586206896552,He tinkered with the engine every weekend until it was absolutely perfect,He tinkered with the engine every weekend until it was absolutely
shore,BC,197,1.36,0.5625,"When Diane heard the shark warning, she swam as fast as she could for shore","When Diane heard the shark warning, she swam as fast as she could for"
church,BC,198,1.42,0.7241379310344828,Michael could hear the bells ringing in the tower of the church,Michael could hear the bells ringing in the tower of the
dirty,BC,200,1.12,0.875,"When he got home from work on the construction site, his clothes were always dirty","When he got home from work on the construction site, his clothes were always"
sun,BC,201,1.68,0.7666666666666667,Kevin propped his head up with a pillow as he basked in the hot sun,Kevin propped his head up with a pillow as he basked in the hot
price,BC,203,1.38,0.5357142857142857,He bought it without even asking the price,He bought it without even asking the
ready,BC,204,1.3,0.6206896551724138,"Barry has considered proposing to his girlfriend, but he wants to wait until he is ready","Barry has considered proposing to his girlfriend, but he wants to wait until he is"
car,BC,205,1.26,0.71875,John was disappointed to discover a scratch on his new car,John was disappointed to discover a scratch on his new
brain,BC,206,1.31,0.6666666666666666,He was afraid that doing drugs would damage his brain,He was afraid that doing drugs would damage his
married,BC,207,1.53,0.3448275862068966,"They've been living together for a long time, but don't think they're actually married","They've been living together for a long time, but don't think they're actually"
trouble,BC,208,1.32,0.65625,Dennis the Menance was known for making trouble,Dennis the Menance was known for making
cover,BC,211,1.03,0.65625,When the shooting started they ran for cover,When the shooting started they ran for
real,BC,212,1.59,0.4482758620689655,The federal agents examined the hundred dollar bill with a microscope to see if it was real,The federal agents examined the hundred dollar bill with a microscope to see if it was
simmer,BC,213,1.33,0.6551724137931034,Eva turned down the heat and left the sauce on the stove to simmer,Eva turned down the heat and left the sauce on the stove to
shadow,BC,215,1.31,0.8214285714285714,"Alone in the canyon, he was so spooked he was scared by his own shadow","Alone in the canyon, he was so spooked he was scared by his own"
lie,BC,220,2.03,0.8571428571428571,Betsy could never tell a lie,Betsy could never tell a
room,BC,221,1.27,0.84375,The bad boy was sent to his room,The bad boy was sent to his
scars,BC,223,1.39,0.7241379310344828,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his scars","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his"
fear,BC,226,1.33,0.65625,"Trying to evade their captors, the escaped prisoners of war lived in constant fear","Trying to evade their captors, the escaped prisoners of war lived in constant"
sharp,BC,228,1.11,0.6551724137931034,The tip of the knife was sharp,The tip of the knife was
stretch,BC,230,1.25,0.5,The little girl pulled on the rubber band to see how far it would stretch,The little girl pulled on the rubber band to see how far it would
enemy,BC,232,1.24,0.34375,The soldiers had special night vision goggles so they could see the enemy,The soldiers had special night vision goggles so they could see the
poor,BC,233,1.09,0.9,George was born into a wealthy family and has no idea what it's like to be poor,George was born into a wealthy family and has no idea what it's like to be
cave,BC,237,1.71,0.7586206896551724,"Looking for bats, Karen descended into the depths of the cave","Looking for bats, Karen descended into the depths of the"
antenna,BC,239,1.44,0.6071428571428571,We finally got a decent picture on the TV after an hour of adjusting the antenna,We finally got a decent picture on the TV after an hour of adjusting the
stock,BC,240,1.12,0.7241379310344828,It took a week to get his car fixed because the parts were out of stock,It took a week to get his car fixed because the parts were out of
party,BC,242,1.16,0.875,The dispute was settled by a third party,The dispute was settled by a third
soon,BC,244,1.24,0.8333333333333334,Our guests should be arriving soon,Our guests should be arriving
oven,BC,245,1.3,0.896551724137931,The dough was put in the hot oven,The dough was put in the hot
short,BC,250,1.03,0.5625,Andrew was glad that the meeting was very short,Andrew was glad that the meeting was very
bus,BC,252,2.07,0.9,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour bus","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour"
shore,BC,254,1.78,0.9,Most shark attacks occur very close to shore,Most shark attacks occur very close to
deal,BC,255,1.3,0.8620689655172413,He didn't have to spend much money on the car because he found an incredible deal,He didn't have to spend much money on the car because he found an incredible
school,BC,256,1.0,0.875,The wealthy child went to a private school,The wealthy child went to a private
lights,BC,260,1.0,0.65625,"When you go to bed, turn off the lights","When you go to bed, turn off the"
leash,BC,261,1.18,0.90625,George must keep his pet on a leash,George must keep his pet on a
piles,BC,263,1.36,0.7241379310344828,"He didn't have time to file everything on his desk, so he organized it into two piles","He didn't have time to file everything on his desk, so he organized it into two"
speak,BC,265,1.25,0.8571428571428571,The whole town came to hear their mayor speak,The whole town came to hear their mayor
arm,BC,273,1.16,0.9642857142857144,Josie found she could not bend the elbow of her broken arm,Josie found she could not bend the elbow of her broken
wrong,BC,275,1.18,0.6428571428571429,It's hard to admit when one is wrong,It's hard to admit when one is
said,BC,276,1.36,0.8666666666666667,Vic asked her to repeat what she had said,Vic asked her to repeat what she had
palace,BC,281,1.39,0.8275862068965517,When they were in London they visited Buckingham palace,When they were in London they visited Buckingham
mission,BC,282,1.54,0.8620689655172413,The agent was sent to South America on a secret mission,The agent was sent to South America on a secret
air,BC,283,1.55,0.9310344827586208,Sam knew that rain was coming because he could smell it in the air,Sam knew that rain was coming because he could smell it in the
raise,BC,286,1.03,0.9333333333333332,His boss refused to give him a raise,His boss refused to give him a
sleep,BC,287,1.07,0.9642857142857144,She flew in late last night and really didn't get much sleep,She flew in late last night and really didn't get much
search,BC,288,1.41,0.8620689655172413,"After a week, they gave up on the missing hikers and called off the search","After a week, they gave up on the missing hikers and called off the"
bonus,Rel,1,2.78,0.0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major bonus","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major"
sofa,Rel,8,1.25,0.03125,The cigar burned a hole in the sofa,The cigar burned a hole in the
effort,Rel,11,1.39,0.0,"His first film was a failure, but he learned some techniques in that first effort","His first film was a failure, but he learned some techniques in that first"
image,Rel,17,1.71,0.0,He was hired for the job because of his fresh new image,He was hired for the job because of his fresh new
press,Rel,18,2.04,0.0344827586206896,The journal issue that has the new article about diseases of the eye is still in press,The journal issue that has the new article about diseases of the eye is still in
dance,Rel,22,1.0,0.0,Every spring they held the annual dance,Every spring they held the annual
tires,Rel,23,1.96,0.0625,"Penelope started to assemble her new bicycle, but was missing the tires","Penelope started to assemble her new bicycle, but was missing the"
ownership,Rel,24,1.15,0.0,The restaurant will reopen with new ownership,The restaurant will reopen with new
insects,Rel,28,1.39,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of insects,Jennifer disliked walking under the trees at the edge of the park because they were always full of
attractive,Rel,36,1.48,0.0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or attractive","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or"
ink,Rel,37,1.79,0.0344827586206896,I don't know why people like to see their initials in ink,I don't know why people like to see their initials in
unique,Rel,38,1.63,0.0,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very unique,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very
shrine,Rel,39,1.79,0.0,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's shrine,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's
military,Rel,40,1.52,0.0,He took a job training dogs for the military,He took a job training dogs for the
choir,Rel,41,1.32,0.0,The conductor gave detailed instructions to the choir,The conductor gave detailed instructions to the
poker,Rel,45,1.3,0.09375,"Down in the basement, Steve and Robert were playing poker","Down in the basement, Steve and Robert were playing"
business,Rel,47,1.15,0.0,"After the most recent price increase, the small business owner decided to order his office supplies from another business","After the most recent price increase, the small business owner decided to order his office supplies from another"
puppy,Rel,48,1.06,0.09375,Sharon was sad that she had lost her puppy,Sharon was sad that she had lost her
fighting,Rel,50,2.81,0.0689655172413793,"All of armed services will admit women, but females are barred from fighting","All of armed services will admit women, but females are barred from"
affordable,Rel,51,1.19,0.1034482758620689,"After the divorce, she had to move out of the expensive house to an apartment that was affordable","After the divorce, she had to move out of the expensive house to an apartment that was"
values,Rel,52,1.75,0.0689655172413793,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his values","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his"
humorous,Rel,53,1.25,0.0,"Some of his jokes were crummy, but those one-liners were humorous","Some of his jokes were crummy, but those one-liners were"
cafe,Rel,60,1.47,0.0,The inspector from the health department found a roach in a very expensive cafe,The inspector from the health department found a roach in a very expensive
convict,Rel,61,1.3,0.0357142857142857,The conductor had no idea that the train had been boarded by a known convict,The conductor had no idea that the train had been boarded by a known
pills,Rel,64,1.52,0.0625,The nurse brought him a glass of juice and his pills,The nurse brought him a glass of juice and his
classes,Rel,65,1.5,0.0,The teacher was not looking forward to another year of classes,The teacher was not looking forward to another year of
month,Rel,67,2.46,0.0,Steve skipped his annual checkup for another month,Steve skipped his annual checkup for another
ambiguous,Rel,72,1.3,0.0689655172413793,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately ambiguous","The candidate wanted to please everyone without making any commitments, so his speech was deliberately"
roses,Rel,74,1.24,0.0,She poured water on the roses,She poured water on the
contemporary,Rel,81,1.06,0.0333333333333333,"Mark liked the older houses, but Susan wanted to buy one that was new and contemporary","Mark liked the older houses, but Susan wanted to buy one that was new and"
physician,Rel,82,1.64,0.0,"In an old sitcom, he was the wise family physician","In an old sitcom, he was the wise family"
screened,Rel,83,1.43,0.0,"The government controlled the news media, so most of the reports from the war zone were screened","The government controlled the news media, so most of the reports from the war zone were"
trophy,Rel,84,1.35,0.03125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold trophy","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold"
lake,Rel,85,1.15,0.0,"During the summer, the children hung out at the lake","During the summer, the children hung out at the"
courageous,Rel,86,1.93,0.0,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be courageous","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be"
journal,Rel,88,1.5,0.0,The little girl kept a lock on her journal,The little girl kept a lock on her
jet,Rel,89,2.41,0.0333333333333333,"Flying low above her, Bernice could hear the jet","Flying low above her, Bernice could hear the"
engine,Rel,97,1.23,0.1,Perry heard a grinding noise coming from his engine,Perry heard a grinding noise coming from his
argue,Rel,98,2.58,0.0,"If Jim's manager is incompetent, he has a legitimate right to argue","If Jim's manager is incompetent, he has a legitimate right to"
criminal,Rel,101,1.67,0.0666666666666666,"In the best part of the movie, the hero has to impersonate the criminal","In the best part of the movie, the hero has to impersonate the"
hat,Rel,103,1.5,0.0,The princess wore a hat,The princess wore a
pans,Rel,106,1.55,0.0,Jason was disappointed when the other scouts scared off the elk by loudly beating the pans,Jason was disappointed when the other scouts scared off the elk by loudly beating the
destroyed,Rel,107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was destroyed","After the flood, the house smelled of mildew and everything in it was"
crash,Rel,109,1.18,0.0,Everyone on the scene gathered around to look at the crash,Everyone on the scene gathered around to look at the
even,Rel,115,2.22,0.0,The final score of the game was even,The final score of the game was
beat,Rel,117,1.08,0.0,"After swimming the English Channel, Bonita was cold and completely beat","After swimming the English Channel, Bonita was cold and completely"
composure,Rel,120,1.13,0.0,"She had the data to back up everything she said, so the hostile questions did not shake her composure","She had the data to back up everything she said, so the hostile questions did not shake her"
material,Rel,125,1.44,0.1071428571428571,"The new dress was very pretty, but it was cut from an unusual material","The new dress was very pretty, but it was cut from an unusual"
flee,Rel,128,1.3,0.0,"When the little girl saw the big dog lumbering towards her, she began to flee","When the little girl saw the big dog lumbering towards her, she began to"
stands,Rel,132,1.39,0.0344827586206896,"From her house a half mile away, Diana could still hear the loud cheers coming from the stands","From her house a half mile away, Diana could still hear the loud cheers coming from the"
tsunami,Rel,133,1.3,0.0666666666666666,Five ships did not survive the tsunami,Five ships did not survive the
wreck,Rel,135,1.09,0.0357142857142857,The paramedics on the scene helped the passengers after the big car wreck,The paramedics on the scene helped the passengers after the big car
collision,Rel,136,1.22,0.0,The pilot spoke to an air traffic controller just before the collision,The pilot spoke to an air traffic controller just before the
dinner,Rel,140,1.71,0.0,The boy scouts started a long hike through the forest after having a big dinner,The boy scouts started a long hike through the forest after having a big
streets,Rel,143,1.18,0.0,"When traveling, Roger prefers to stick to major streets","When traveling, Roger prefers to stick to major"
pin,Rel,147,1.24,0.0357142857142857,"While hemming a pair of pants, Bridget accidentally dropped her pin","While hemming a pair of pants, Bridget accidentally dropped her"
cub,Rel,148,1.48,0.0,The rangers say that somewhere in the state park is a cub,The rangers say that somewhere in the state park is a
tension,Rel,153,1.41,0.0,The doctor told him his headaches were due to tension,The doctor told him his headaches were due to
arms,Rel,156,1.39,0.0,"The groups in the parade walked by slowly, each waving their arms","The groups in the parade walked by slowly, each waving their"
remedy,Rel,158,1.78,0.0625,"The little girl was very sick, but unfortunately there was no remedy","The little girl was very sick, but unfortunately there was no"
sight,Rel,161,1.5,0.0,"The meteor shower should have been spectacular, but the city lights blocked the sight","The meteor shower should have been spectacular, but the city lights blocked the"
conclude,Rel,162,1.3,0.0,She was unsure how the book would conclude,She was unsure how the book would
solicitation,Rel,166,1.88,0.0,"He was desperate for a job, so finally took something doing door to door solicitation","He was desperate for a job, so finally took something doing door to door"
words,Rel,168,1.59,0.0,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical words,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical
older,Rel,169,1.72,0.0,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were older","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were"
service,Rel,172,1.03,0.03125,"In the window, they posted the hours they were open for service","In the window, they posted the hours they were open for"
infectious,Rel,173,1.24,0.0,They sent the kids with measles home from school because they were infectious,They sent the kids with measles home from school because they were
river,Rel,174,1.32,0.0,"Outside, Cora could hear the running river","Outside, Cora could hear the running"
stroll,Rel,177,1.3,0.1071428571428571,At night they often took a short stroll,At night they often took a short
printed,Rel,182,1.4,0.0,The wealthy author always points out that she wrote four novels before one was printed,The wealthy author always points out that she wrote four novels before one was
rat,Rel,185,1.85,0.0,The kitten waited patiently because behind the refrigerator was a rat,The kitten waited patiently because behind the refrigerator was a
chilly,Rel,187,1.21,0.0344827586206896,Norton hates getting up on winter mornings because it is always chilly,Norton hates getting up on winter mornings because it is always
dirt,Rel,190,1.11,0.0,The fertilizer enriched the dirt,The fertilizer enriched the
letter,Rel,193,1.03,0.0,The young girl passed her friend a letter,The young girl passed her friend a
correct,Rel,196,2.29,0.0,He tinkered with the engine every weekend until it was absolutely correct,He tinkered with the engine every weekend until it was absolutely
land,Rel,197,1.11,0.09375,"When Diane heard the shark warning, she swam as fast as she could for land","When Diane heard the shark warning, she swam as fast as she could for"
cathedral,Rel,198,1.12,0.1034482758620689,Michael could hear the bells ringing in the tower of the cathedral,Michael could hear the bells ringing in the tower of the
filthy,Rel,200,1.29,0.03125,"When he got home from work on the construction site, his clothes were always filthy","When he got home from work on the construction site, his clothes were always"
lamp,Rel,201,2.86,0.0,Kevin propped his head up with a pillow as he basked in the hot lamp,Kevin propped his head up with a pillow as he basked in the hot
cost,Rel,203,1.65,0.0,He bought it without even asking the cost,He bought it without even asking the
prepared,Rel,204,1.15,0.0,"Barry has considered proposing to his girlfriend, but he wants to wait until he is prepared","Barry has considered proposing to his girlfriend, but he wants to wait until he is"
truck,Rel,205,1.0,0.0,John was disappointed to discover a scratch on his new truck,John was disappointed to discover a scratch on his new
mind,Rel,206,1.03,0.0,He was afraid that doing drugs would damage his mind,He was afraid that doing drugs would damage his
engaged,Rel,207,1.89,0.0,"They've been living together for a long time, but don't think they're actually engaged","They've been living together for a long time, but don't think they're actually"
mischief,Rel,208,1.54,0.0625,Dennis the Menance was known for making mischief,Dennis the Menance was known for making
shelter,Rel,211,1.67,0.0,When the shooting started they ran for shelter,When the shooting started they ran for
genuine,Rel,212,1.76,0.0,The federal agents examined the hundred dollar bill with a microscope to see if it was genuine,The federal agents examined the hundred dollar bill with a microscope to see if it was
cook,Rel,213,1.26,0.1034482758620689,Eva turned down the heat and left the sauce on the stove to cook,Eva turned down the heat and left the sauce on the stove to
reflection,Rel,215,1.78,0.0,"Alone in the canyon, he was so spooked he was scared by his own reflection","Alone in the canyon, he was so spooked he was scared by his own"
fib,Rel,220,1.61,0.0,Betsy could never tell a fib,Betsy could never tell a
bedroom,Rel,221,1.26,0.0,The bad boy was sent to his bedroom,The bad boy was sent to his
wounds,Rel,223,1.74,0.0689655172413793,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his wounds","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his"
terror,Rel,226,1.09,0.03125,"Trying to evade their captors, the escaped prisoners of war lived in constant terror","Trying to evade their captors, the escaped prisoners of war lived in constant"
pointed,Rel,228,1.27,0.0344827586206896,The tip of the knife was pointed,The tip of the knife was
extend,Rel,230,1.09,0.0,The little girl pulled on the rubber band to see how far it would extend,The little girl pulled on the rubber band to see how far it would
invaders,Rel,232,1.33,0.0,The soldiers had special night vision goggles so they could see the invaders,The soldiers had special night vision goggles so they could see the
needy,Rel,233,1.47,0.0,George was born into a wealthy family and has no idea what it's like to be needy,George was born into a wealthy family and has no idea what it's like to be
cavern,Rel,237,1.5,0.1034482758620689,"Looking for bats, Karen descended into the depths of the cavern","Looking for bats, Karen descended into the depths of the"
wires,Rel,239,1.39,0.0,We finally got a decent picture on the TV after an hour of adjusting the wires,We finally got a decent picture on the TV after an hour of adjusting the
supply,Rel,240,1.93,0.0,It took a week to get his car fixed because the parts were out of supply,It took a week to get his car fixed because the parts were out of
person,Rel,242,1.19,0.03125,The dispute was settled by a third person,The dispute was settled by a third
shortly,Rel,244,1.26,0.0666666666666666,Our guests should be arriving shortly,Our guests should be arriving
stove,Rel,245,1.89,0.0,The dough was put in the hot stove,The dough was put in the hot
brief,Rel,250,1.29,0.09375,Andrew was glad that the meeting was very brief,Andrew was glad that the meeting was very
van,Rel,252,1.84,0.0,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour van","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour"
land,Rel,254,1.53,0.0666666666666666,Most shark attacks occur very close to land,Most shark attacks occur very close to
bargain,Rel,255,1.47,0.0,He didn't have to spend much money on the car because he found an incredible bargain,He didn't have to spend much money on the car because he found an incredible
college,Rel,256,1.22,0.0,The wealthy child went to a private college,The wealthy child went to a private
lamp,Rel,260,1.37,0.0,"When you go to bed, turn off the lamp","When you go to bed, turn off the"
chain,Rel,261,1.38,0.0,George must keep his pet on a chain,George must keep his pet on a
stacks,Rel,263,1.5,0.0344827586206896,"He didn't have time to file everything on his desk, so he organized it into two stacks","He didn't have time to file everything on his desk, so he organized it into two"
talk,Rel,265,1.57,0.0357142857142857,The whole town came to hear their mayor talk,The whole town came to hear their mayor
