item,sentence,condition,e1,e2,context,target
7,The firewood had been chopped by Jen's grandfather.,Passive Control,1,1,The firewood had been,chopped
7,Jen's grandfather had been chopping the firewood.,Active Control,1,0,Jen's grandfather had been,chopping
7,Mark's wrinkly shirts were chopping vegetables.,No-Attraction Violation,0,1,Mark's wrinkly shirts were,chopping
8,Lisa's phone had been disconnecting last month.,Attraction Violation,1,1,Lisa's phone had been,disconnecting
8,Lisa's phone had been disconnected last month.,Passive Control,1,1,Lisa's phone had been,disconnected
8,The electrician had been disconnecting the machine's power source.,Active Control,1,0,The electrician had been,disconnecting
8,Mother Theresa's death was disconnecting the two cables.,No-Attraction Violation,0,1,Mother Theresa's death was,disconnecting
9,Wendy's muddy car was washing the boys.,Attraction Violation,1,1,Wendy's muddy car was,washing
9,Wendy's muddy car was washed wearily.,Passive Control,1,1,Wendy's muddy car was,washed
9,Wendy and Harriet were washing the muddy car.,Active Control,1,0,Wendy and Harriet were,washing
9,Frank's loan application had been washing the used pencil.,No-Attraction Violation,0,1,Frank's loan application had been,washing
10,The library books had been borrowing the graduate student.,Attraction Violation,1,1,The library books had been,borrowing
10,The library books had been borrowed by the graduate student.,Passive Control,1,1,The library books had been,borrowed
10,Katie and Lara had been borrowing dozens of books about botany from the library.,Active Control,1,0,Katie and Lara had been,borrowing
10,The tragic mistake was borrowing in a hurry.,No-Attraction Violation,0,1,The tragic mistake was,borrowing
11,"The dark, underwater cave was exploring by the divers.",Attraction Violation,1,1,"The dark, underwater cave was",exploring
11,"The dark, underwater cave was explored by the divers.",Passive Control,1,1,"The dark, underwater cave was",explored
11,The cautious scuba divers were exploring the underwater cave.,Active Control,1,0,The cautious scuba divers were,exploring
11,The phone bill had been exploring at the zoo.,No-Attraction Violation,0,1,The phone bill had been,exploring
12,The unpleasant cough syrup was swallowing the boy.,Attraction Violation,1,1,The unpleasant cough syrup was,swallowing
12,The unpleasant cough syrup was swallowed by the boy.,Passive Control,1,1,The unpleasant cough syrup was,swallowed
12,The huge adult alligator had been swallowing fish by the bucket.,Active Control,1,0,The huge adult alligator had been,swallowing
12,The murder had been swallowing with disgust.,No-Attraction Violation,0,1,The murder had been,swallowing
13,The pizza had been delivering once more.,Attraction Violation,1,1,The pizza had been,delivering
13,The pizza had been delivered by Antonio himself.,Passive Control,1,1,The pizza had been,delivered
13,The exhausted messenger had been delivering packages all over town.,Active Control,1,0,The exhausted messenger had been,delivering
13,A genetic mutation was delivering once more.,No-Attraction Violation,0,1,A genetic mutation was,delivering
14,Frank's loan application had been approving by the bank.,Attraction Violation,1,1,Frank's loan application had been,approving
14,Frank's loan application had been approved anyways.,Passive Control,1,1,Frank's loan application had been,approved
14,The board of directors had been approving too many expensive projects.,Active Control,1,0,The board of directors had been,approving
14,Wendy's muddy car was approving the boy's request.,No-Attraction Violation,0,1,Wendy's muddy car was,approving
15,The cheap products had been manufacturing a Belgian firm.,Attraction Violation,1,1,The cheap products had been,manufacturing
15,The cheap products had been manufactured by a Belgian firm.,Passive Control,1,1,The cheap products had been,manufactured
15,The auto company had been manufacturing parts in China.,Active Control,1,0,The auto company had been,manufacturing
15,A drawing of the house had been manufacturing at a factory.,No-Attraction Violation,0,1,A drawing of the house had been,manufacturing
16,Their secret conversation had been overhearing by a surprised neighbor.,Attraction Violation,1,1,Their secret conversation had been,overhearing
16,Their secret conversation had been overheard by a surprised neighbor.,Passive Control,1,1,Their secret conversation had been,overheard
16,The annoyed resident had been overhearing his neighbor's phone conversations through the wall.,Active Control,1,0,The annoyed resident had been,overhearing
16,A wet snowball had been overhearing despite the precautions.,No-Attraction Violation,0,1,A wet snowball had been,overhearing
17,The rough part of the wood was sanding to perfection.,Attraction Violation,1,1,The rough part of the wood was,sanding
17,The rough part of the wood was sanded by the carpenter.,Passive Control,1,1,The rough part of the wood was,sanded
17,The skillful carpenter was sanding the rough edge of the wood.,Active Control,1,0,The skillful carpenter was,sanding
17,Three more martinis were sanding the chair.,No-Attraction Violation,0,1,Three more martinis were,sanding
18,A package had been receiving by the secretary in the office.,Attraction Violation,1,1,A package had been,receiving
18,A package had been received by the secretary in the office.,Passive Control,1,1,A package had been,received
18,The secretary had been receiving flowers all day.,Active Control,1,0,The secretary had been,receiving
18,The noises in the attic had been receiving assistance from the government.,No-Attraction Violation,0,1,The noises in the attic had been,receiving
19,The club's rules had been violating Richard.,Attraction Violation,1,1,The club's rules had been,violating
19,The club's rules had been violated only twice.,Passive Control,1,1,The club's rules had been,violated
19,The rebel had been violating the rules.,Active Control,1,0,The rebel had been,violating
19,Thirty pounds of potatoes had been violating only twice.,No-Attraction Violation,0,1,Thirty pounds of potatoes had been,violating
20,A new medication had been prescribing the physician.,Attraction Violation,1,1,A new medication had been,prescribing
20,A new medication had been prescribed by the physician.,Passive Control,1,1,A new medication had been,prescribed
20,The new doctor had been prescribing powerful painkillers for Jelena's sore knee.,Active Control,1,0,The new doctor had been,prescribing
20,The portrait of Napoleon had been prescribing with caution.,No-Attraction Violation,0,1,The portrait of Napoleon had been,prescribing
21,The wheat crops had been harvesting by the local farmers.,Attraction Violation,1,1,The wheat crops had been,harvesting
21,The wheat crops had been harvested after the rain.,Passive Control,1,1,The wheat crops had been,harvested
21,The local farmers had been harvesting the corn all week.,Active Control,1,0,The local farmers had been,harvesting
21,The elevator button had been harvesting after the rain.,No-Attraction Violation,0,1,The elevator button had been,harvesting
22,The musical piece was composing by Beethoven in 1799.,Attraction Violation,1,1,The musical piece was,composing
22,The musical piece was composed in a dream.,Passive Control,1,1,The musical piece was,composed
22,Ludwig von Beethoven was composing symphonies as a teenager.,Active Control,1,0,Ludwig von Beethoven was,composing
22,The bank had been composing in a dream.,No-Attraction Violation,0,1,The bank had been,composing
23,The old lady's purse had been snatching a kid.,Attraction Violation,1,1,The old lady's purse had been,snatching
23,The old lady's purse had been snatched with speed.,Passive Control,1,1,The old lady's purse had been,snatched
23,The clever dog had been snatching cookies from the table.,Active Control,1,0,The clever dog had been,snatching
23,The quality of Karla's work was snatching victory from the jaws of defeat.,No-Attraction Violation,0,1,The quality of Karla's work was,snatching
24,Olson's bulging suitcase had been packing his assistant.,Attraction Violation,1,1,Olson's bulging suitcase had been,packing
24,Olson's bulging suitcase had been packed for the trip.,Passive Control,1,1,Olson's bulging suitcase had been,packed
24,The excited vacationers had been packing their suitcases when the hurricane hit.,Active Control,1,0,The excited vacationers had been,packing
24,Stormy weather had been packing for the trip.,No-Attraction Violation,0,1,Stormy weather had been,packing
25,Several spelling errors were noticing the careful editor.,Attraction Violation,1,1,Several spelling errors were,noticing
25,Several spelling errors were noticed by the careful editor.,Passive Control,1,1,Several spelling errors were,noticed
25,Brittany's close friends were noticing changes in her personality.,Active Control,1,0,Brittany's close friends were,noticing
25,The final destination had been noticing too late.,No-Attraction Violation,0,1,The final destination had been,noticing
26,An illegal weapon had been smuggling only once.,Attraction Violation,1,1,An illegal weapon had been,smuggling
26,An illegal weapon had been smuggled only once.,Passive Control,1,1,An illegal weapon had been,smuggled
26,The drug dealer had been smuggling heroin into Canada.,Active Control,1,0,The drug dealer had been,smuggling
26,Cleopatra's beauty was smuggling only once.,No-Attraction Violation,0,1,Cleopatra's beauty was,smuggling
27,The leftover food was discarding wastefully.,Attraction Violation,1,1,The leftover food was,discarding
27,The leftover food was discarded wastefully.,Passive Control,1,1,The leftover food was,discarded
27,The campers were discarding the leftover food.,Active Control,1,0,The campers were,discarding
27,The sleek new building was discarding wastefully.,No-Attraction Violation,0,1,The sleek new building was,discarding
28,Thirty pounds of potatoes had been peeling by the cooks.,Attraction Violation,1,1,Thirty pounds of potatoes had been,peeling
28,Thirty pounds of potatoes had been peeled carefully.,Passive Control,1,1,Thirty pounds of potatoes had been,peeled
28,The bored looking cooks had been peeling potatoes for hours.,Active Control,1,0,The bored looking cooks had been,peeling
28,The club's rules had been peeling the sticker off the box.,No-Attraction Violation,0,1,The club's rules had been,peeling
29,The grimy pots and pans had been scrubbing the dishwashers.,Attraction Violation,1,1,The grimy pots and pans had been,scrubbing
29,The grimy pots and pans had been scrubbed by the dishwashers.,Passive Control,1,1,The grimy pots and pans had been,scrubbed
29,The guys in the kitchen had been scrubbing the pots and pans.,Active Control,1,0,The guys in the kitchen had been,scrubbing
29,The stolen artwork had been scrubbing with vigor.,No-Attraction Violation,0,1,The stolen artwork had been,scrubbing
30,The roast lamb had been carving by a servant.,Attraction Violation,1,1,The roast lamb had been,carving
30,The roast lamb had been carved by a servant.,Passive Control,1,1,The roast lamb had been,carved
30,The butcher had been carving the meat.,Active Control,1,0,The butcher had been,carving
30,Janet's houseplants were carving before dinner.,No-Attraction Violation,0,1,Janet's houseplants were,carving
31,Cleopatra's beauty was admiring many people.,Attraction Violation,1,1,Cleopatra's beauty was,admiring
31,Cleopatra's beauty was admired always.,Passive Control,1,1,Cleopatra's beauty was,admired
31,The men were admiring the beautiful woman from a distance.,Active Control,1,0,The men were,admiring
31,An illegal weapon had been admiring always.,No-Attraction Violation,0,1,An illegal weapon had been,admiring
32,A wet snowball had been tossing by the girls through the window.,Attraction Violation,1,1,A wet snowball had been,tossing
32,A wet snowball had been tossed in anger.,Passive Control,1,1,A wet snowball had been,tossed
32,The baseball players had been tossing the ball around the infield.,Active Control,1,0,The baseball players had been,tossing
32,Their secret conversation had been tossing a steak on the grill.,No-Attraction Violation,0,1,Their secret conversation had been,tossing
33,The sealed envelope was opening the judge.,Attraction Violation,1,1,The sealed envelope was,opening
33,The sealed envelope was opened without permission.,Passive Control,1,1,The sealed envelope was,opened
33,Tuxedoed waiters were opening bottles of champagne for the toast.,Active Control,1,0,Tuxedoed waiters were,opening
33,The men's faces had been opening without permission.,No-Attraction Violation,0,1,The men's faces had been,opening
34,The man's beard had been shaving twice a day.,Attraction Violation,1,1,The man's beard had been,shaving
34,The man's beard had been shaved twice a day.,Passive Control,1,1,The man's beard had been,shaved
34,His uncle Ralph had been shaving his beard off.,Active Control,1,0,His uncle Ralph had been,shaving
34,The popular amusement park is shaving twice a day.,No-Attraction Violation,0,1,The popular amusement park is,shaving
35,The elevator button had been pressing slowly.,Attraction Violation,1,1,The elevator button had been,pressing
35,The elevator button had been pressed by the attendant.,Passive Control,1,1,The elevator button had been,pressed
35,The attendant had been pressing the buttons.,Active Control,1,0,The attendant had been,pressing
35,The wheat crops had been pressing slowly.,No-Attraction Violation,0,1,The wheat crops had been,pressing
36,The winning lottery numbers had been announcing the TV news.,Attraction Violation,1,1,The winning lottery numbers had been,announcing
36,The winning lottery numbers had been announced by the TV news.,Passive Control,1,1,The winning lottery numbers had been,announced
36,The flight attendant had been announcing the reason for the delay.,Active Control,1,0,The flight attendant had been,announcing
36,The tarnished silverware was announcing on the television.,No-Attraction Violation,0,1,The tarnished silverware was,announcing
37,The victim's body had been identifying at the morgue.,Attraction Violation,1,1,The victim's body had been,identifying
37,The victim's body had been identified by the family members.,Passive Control,1,1,The victim's body had been,identified
37,The laboratory technicians had been identifying the chemical.,Active Control,1,0,The laboratory technicians had been,identifying
37,The movie was identifying rare fish for the divers.,No-Attraction Violation,0,1,The movie was,identifying
38,The hearty meal was devouring by the kids.,Attraction Violation,1,1,The hearty meal was,devouring
38,The hearty meal was devoured with gusto.,Passive Control,1,1,The hearty meal was,devoured
38,The hungry boys were devouring the plate of cookies when Jack arrived.,Active Control,1,0,The hungry boys were,devouring
38,The dusty tabletops were devouring with gusto.,No-Attraction Violation,0,1,The dusty tabletops were,devouring
39,The overgrown shrubs were trimming regularly.,Attraction Violation,1,1,The overgrown shrubs were,trimming
39,The overgrown shrubs were trimmed by a gardener.,Passive Control,1,1,The overgrown shrubs were,trimmed
39,A gardener was trimming the overgrown shrubbery.,Active Control,1,0,A gardener was,trimming
39,The alarm clock had been trimming regularly.,No-Attraction Violation,0,1,The alarm clock had been,trimming
40,Wilson's unreasonable proposal was rejecting by the boss.,Attraction Violation,1,1,Wilson's unreasonable proposal was,rejecting
40,Wilson's unreasonable proposal was rejected at the hospital.,Passive Control,1,1,Wilson's unreasonable proposal was,rejected
40,The admissions committee was rejecting nearly every application.,Active Control,1,0,The admissions committee was,rejecting
40,The rare bird's behavior was rejecting all offers.,No-Attraction Violation,0,1,The rare bird's behavior was,rejecting
41,Hathaway's gigantic fortune had been inheriting by his daughters.,Attraction Violation,1,1,Hathaway's gigantic fortune had been,inheriting
41,Hathaway's gigantic fortune had been inherited by his daughters.,Passive Control,1,1,Hathaway's gigantic fortune had been,inherited
41,Generations of aristocratic Englishmen have been inheriting their fortunes.,Active Control,1,0,Generations of aristocratic Englishmen have been,inheriting
41,The strange mystery had been inheriting the estate from her grandmother.,No-Attraction Violation,0,1,The strange mystery had been,inheriting
42,All of her money had been spending before the wedding.,Attraction Violation,1,1,All of her money had been,spending
42,All of her money had been spent before the wedding.,Passive Control,1,1,All of her money had been,spent
42,The shopping fanatic had been spending all her money in Bloomingdales.,Active Control,1,0,The shopping fanatic had been,spending
42,Patty's overgrown lawn was spending its time on the beach.,No-Attraction Violation,0,1,Patty's overgrown lawn was,spending
43,An appointment was scheduling by the secretary.,Attraction Violation,1,1,An appointment was,scheduling
43,An appointment was scheduled by the secretary.,Passive Control,1,1,An appointment was,scheduled
43,The secretary was scheduling new appointments for the afternoon.,Active Control,1,0,The secretary was,scheduling
43,The legal contract had been scheduling for next week.,No-Attraction Violation,0,1,The legal contract had been,scheduling
44,The men's faces had been photographing by a security camera.,Attraction Violation,1,1,The men's faces had been,photographing
44,The men's faces had been photographed by a security camera.,Passive Control,1,1,The men's faces had been,photographed
44,The intrusive reporter had been photographing the celebrities at the party.,Active Control,1,0,The intrusive reporter had been,photographing
44,The sealed envelope was photographing at the party.,No-Attraction Violation,0,1,The sealed envelope was,photographing
45,The broken television had been repairing the technician.,Attraction Violation,1,1,The broken television had been,repairing
45,The broken television had been repaired by the technician.,Passive Control,1,1,The broken television had been,repaired
45,The competent technician had been repairing the television.,Active Control,1,0,The competent technician had been,repairing
45,Larry's note had been repairing the computer's hard drive.,No-Attraction Violation,0,1,Larry's note had been,repairing
46,The alarm clock had been unplugging accidentally.,Attraction Violation,1,1,The alarm clock had been,unplugging
46,The alarm clock had been unplugged late.,Passive Control,1,1,The alarm clock had been,unplugged
46,The frantic woman had been unplugging every electrical device in the house.,Active Control,1,0,The frantic woman had been,unplugging
46,The overgrown shrubs were unplugging accidentally.,No-Attraction Violation,0,1,The overgrown shrubs were,unplugging
47,The car door had been unlocking late at night.,Attraction Violation,1,1,The car door had been,unlocking
47,The car door had been unlocked by the child.,Passive Control,1,1,The car door had been,unlocked
47,The babysitter had been unlocking the back door.,Active Control,1,0,The babysitter had been,unlocking
47,The Queen's 80th birthday was unlocking late at night.,No-Attraction Violation,0,1,The Queen's 80th birthday was,unlocking
48,The portrait of Napoleon had been painting by a Dutch artist.,Attraction Violation,1,1,The portrait of Napoleon had been,painting
48,The portrait of Napoleon had been painted by a Dutch artist.,Passive Control,1,1,The portrait of Napoleon had been,painted
48,The French Impressionist artists had been painting with a focus on light and color.,Active Control,1,0,The French Impressionist artists had been,painting
48,A new medication had been painting on Tuesday.,No-Attraction Violation,0,1,A new medication had been,painting
49,The embarrassing allegations had been denying by the mayor.,Attraction Violation,1,1,The embarrassing allegations had been,denying
49,The embarrassing allegations had been denied by the mayor.,Passive Control,1,1,The embarrassing allegations had been,denied
49,The embarassed mayor had been denying allegations of corruption.,Active Control,1,0,The embarassed mayor had been,denying
49,Tamara's birthday gift had been denying the rumor.,No-Attraction Violation,0,1,Tamara's birthday gift had been,denying
50,The noises in the attic had been hearing nightly.,Attraction Violation,1,1,The noises in the attic had been,hearing
50,The noises in the attic had been heard by the boys.,Passive Control,1,1,The noises in the attic had been,heard
50,The frightened campers had been hearing noises in the woods.,Active Control,1,0,The frightened campers had been,hearing
50,A package had been hearing nightly.,No-Attraction Violation,0,1,A package had been,hearing
51,The appetizers had been serving before the meal.,Attraction Violation,1,1,The appetizers had been,serving
51,The appetizers had been served before the meal.,Passive Control,1,1,The appetizers had been,served
51,The waiters had been serving the meal.,Active Control,1,0,The waiters had been,serving
51,The final exams had been serving before the meal.,No-Attraction Violation,0,1,The final exams had been,serving
52,Billy's unruly hair was combing his mother to one side.,Attraction Violation,1,1,Billy's unruly hair was,combing
52,Billy's unruly hair was combed by his mother to one side.,Passive Control,1,1,Billy's unruly hair was,combed
52,The patient barber was combing the boy's hair to one side.,Active Control,1,0,The patient barber was,combing
52,The girl's disease was combing the area for escaped prisoners.,No-Attraction Violation,0,1,The girl's disease was,combing
53,A drawing of the house had been sketching again.,Attraction Violation,1,1,A drawing of the house had been,sketching
53,A drawing of the house had been sketched again.,Passive Control,1,1,A drawing of the house had been,sketched
53,An artist in the studio had been sketching the house.,Active Control,1,0,An artist in the studio had been,sketching
53,The cheap products had been sketching again.,No-Attraction Violation,0,1,The cheap products had been,sketching
54,The simple coffin was burying the villagers.,Attraction Violation,1,1,The simple coffin was,burying
54,The simple coffin was buried at the church.,Passive Control,1,1,The simple coffin was,buried
54,The tribal people were burying their dead.,Active Control,1,0,The tribal people were,burying
54,The vocabulary list was burying at the church.,No-Attraction Violation,0,1,The vocabulary list was,burying
55,The homicide case had been investigating diligently.,Attraction Violation,1,1,The homicide case had been,investigating
55,The homicide case had been investigated by the FBI.,Passive Control,1,1,The homicide case had been,investigated
55,The FBI agents had been investigating the homicide case for weeks.,Active Control,1,0,The FBI agents had been,investigating
55,Martin's tonsils had been investigating the problem.,No-Attraction Violation,0,1,Martin's tonsils had been,investigating
56,Mark's wrinkly shirts were ironing by his mother.,Attraction Violation,1,1,Mark's wrinkly shirts were,ironing
56,Mark's wrinkly shirts were ironed by his mother.,Passive Control,1,1,Mark's wrinkly shirts were,ironed
56,Mark's doting mother was ironing his shirts while he slept.,Active Control,1,0,Mark's doting mother was,ironing
56,The firewood had been ironing her dress.,No-Attraction Violation,0,1,The firewood had been,ironing
57,An important lesson had been learning in space.,Attraction Violation,1,1,An important lesson had been,learning
57,An important lesson had been learned in space.,Passive Control,1,1,An important lesson had been,learned
57,The children had been learning Spanish.,Active Control,1,0,The children had been,learning
57,The bathroom floor had been learning in space.,No-Attraction Violation,0,1,The bathroom floor had been,learning
58,The height of the bookcase was measuring by a carpenter.,Attraction Violation,1,1,The height of the bookcase was,measuring
58,The height of the bookcase was measured incorrectly.,Passive Control,1,1,The height of the bookcase was,measured
58,The carpenter was measuring the height of the bookcase.,Active Control,1,0,The carpenter was,measuring
58,An urgent message had been measuring her heart rate.,No-Attraction Violation,0,1,An urgent message had been,measuring
59,Several important topics were discussing despite the weather.,Attraction Violation,1,1,Several important topics were,discussing
59,Several important topics were discussed by the board of trustees.,Passive Control,1,1,Several important topics were,discussed
59,The board members were discussing several important topics.,Active Control,1,0,The board members were,discussing
59,"The fresh, warm bread was discussing despite the weather.",No-Attraction Violation,0,1,"The fresh, warm bread was",discussing
60,The dusty tabletops were wiping thoroughly.,Attraction Violation,1,1,The dusty tabletops were,wiping
60,The dusty tabletops were wiped thoroughly.,Passive Control,1,1,The dusty tabletops were,wiped
60,The tired busboy was wiping for hours.,Active Control,1,0,The tired busboy was,wiping
60,The hearty meal was wiping thoroughly.,No-Attraction Violation,0,1,The hearty meal was,wiping
61,A tiny spy camera was concealing by the agent inside a flowerpot.,Attraction Violation,1,1,A tiny spy camera was,concealing
61,A tiny spy camera was concealed by the agent inside a flowerpot.,Passive Control,1,1,A tiny spy camera was,concealed
61,The sneaky lawyer was concealing the truth.,Active Control,1,0,The sneaky lawyer was,concealing
61,A faint light was concealing their identity.,No-Attraction Violation,0,1,A faint light was,concealing
62,"The fresh, warm bread was slicing by the baker into halves.",Attraction Violation,1,1,"The fresh, warm bread was",slicing
62,"The fresh, warm bread was sliced with love.",Passive Control,1,1,"The fresh, warm bread was",sliced
62,The chef's assistants were slicing the mushrooms for a pie.,Active Control,1,0,The chef's assistants were,slicing
62,Several important topics were slicing with love.,No-Attraction Violation,0,1,Several important topics were,slicing
63,The tarnished silverware was polishing by the butler.,Attraction Violation,1,1,The tarnished silverware was,polishing
63,The tarnished silverware was polished by the butler.,Passive Control,1,1,The tarnished silverware was,polished
63,The thorough butler was polishing the doorknobs.,Active Control,1,0,The thorough butler was,polishing
63,The winning lottery numbers had been polishing his shoes.,No-Attraction Violation,0,1,The winning lottery numbers had been,polishing
64,Poisonous fumes had been inhaling the firefighters.,Attraction Violation,1,1,Poisonous fumes had been,inhaling
64,Poisonous fumes had been inhaled by the firefighters.,Passive Control,1,1,Poisonous fumes had been,inhaled
64,The firefighters had been inhaling the smoke.,Active Control,1,0,The firefighters had been,inhaling
64,The man's signature was inhaling during the fire.,No-Attraction Violation,0,1,The man's signature was,inhaling
65,A genetic mutation was discovering the scientists.,Attraction Violation,1,1,A genetic mutation was,discovering
65,A genetic mutation was discovered suddenly.,Passive Control,1,1,A genetic mutation was,discovered
65,The excited explorers were discovering ancient artifacts everywhere they looked.,Active Control,1,0,The excited explorers were,discovering
65,The pizza had been discovering new methods for making dough.,No-Attraction Violation,0,1,The pizza had been,discovering
66,The Queen's 80th birthday was celebrating expensively.,Attraction Violation,1,1,The Queen's 80th birthday was,celebrating
66,The Queen's 80th birthday was celebrated by thousands of people in the streets.,Passive Control,1,1,The Queen's 80th birthday was,celebrated
66,Thousands of excited fans were celebrating the Superbowl victory in the streets.,Active Control,1,0,Thousands of excited fans were,celebrating
66,The car door had been celebrating her promotion.,No-Attraction Violation,0,1,The car door had been,celebrating
67,The diagram on the chalkboard had been erasing Mrs. Larson.,Attraction Violation,1,1,The diagram on the chalkboard had been,erasing
67,The diagram on the chalkboard had been erased by Mrs. Larson.,Passive Control,1,1,The diagram on the chalkboard had been,erased
67,Mrs. Larson had been erasing the chalkboard.,Active Control,1,0,Mrs. Larson had been,erasing
67,Food for the homeless had been erasing over and over.,No-Attraction Violation,0,1,Food for the homeless had been,erasing
68,The movie was directing Steven Spielberg.,Attraction Violation,1,1,The movie was,directing
68,The movie was directed professionally.,Passive Control,1,1,The movie was,directed
68,Steven Spielberg was directing another blockbuster.,Active Control,1,0,Steven Spielberg was,directing
68,The victim's body had been directing the police.,No-Attraction Violation,0,1,The victim's body had been,directing
69,Theresa's birthday gift had been wrapping yesterday.,Attraction Violation,1,1,Theresa's birthday gift had been,wrapping
69,Theresa's birthday gift had been wrapped yesterday.,Passive Control,1,1,Theresa's birthday gift had been,wrapped
69,Theresa's loving grandmother had been wrapping the presents.,Active Control,1,0,Theresa's loving grandmother had been,wrapping
69,The embarrassing allegations had been wrapping yesterday.,No-Attraction Violation,0,1,The embarrassing allegations had been,wrapping
70,The popular amusement park is visiting by millions of tourists eh year.,Attraction Violation,1,1,The popular amusement park is,visiting
70,The popular amusement park is visited daily.,Passive Control,1,1,The popular amusement park is,visited
70,The tourists had been visiting the amusement park in the morning.,Active Control,1,0,The tourists had been,visiting
70,The man's beard had been visiting a friend in the hospital.,No-Attraction Violation,0,1,The man's beard had been,visiting
71,Ten new trees had been planting on dry land.,Attraction Violation,1,1,Ten new trees had been,planting
71,Ten new trees had been planted by the Forestry Service.,Passive Control,1,1,Ten new trees had been,planted
71,The forestry workers had been planting cedar saplings on the hillside.,Active Control,1,0,The forestry workers had been,planting
71,The sin had been planting doubt in her mind.,No-Attraction Violation,0,1,The sin had been,planting
72,Food for the homeless had been donating neighborhood residents.,Attraction Violation,1,1,Food for the homeless had been,donating
72,Food for the homeless had been donated many times.,Passive Control,1,1,Food for the homeless had been,donated
72,The wealthy American philanthropist had been donating money to Romanian orphanages.,Active Control,1,0,The wealthy American philanthropist had been,donating
72,The diagram on the chalkboard had been donating blood.,No-Attraction Violation,0,1,The diagram on the chalkboard had been,donating
73,The rare bird's behavior was observing by the biologists.,Attraction Violation,1,1,The rare bird's behavior was,observing
73,The rare bird's behavior was observed by the biologists.,Passive Control,1,1,The rare bird's behavior was,observed
73,The excited bird watchers were observing the rare eagle.,Active Control,1,0,The excited bird watchers were,observing
73,Wilson's unreasonable proposal was observing the stars.,No-Attraction Violation,0,1,Wilson's unreasonable proposal was,observing
74,Stormy weather had been forecasting by the weatherman.,Attraction Violation,1,1,Stormy weather had been,forecasting
74,Stormy weather had been forecasted by the weatherman.,Passive Control,1,1,Stormy weather had been,forecasted
74,The weather service had been forecasting snow for the mountain areas.,Active Control,1,0,The weather service had been,forecasting
74,Olson's bulging suitcase had been forecasting correctly.,No-Attraction Violation,0,1,Olson's bulging suitcase had been,forecasting
75,The tragic mistake was regretting by Erika for many years.,Attraction Violation,1,1,The tragic mistake was,regretting
75,The tragic mistake was regretted years later.,Passive Control,1,1,The tragic mistake was,regretted
75,Erika was regretting the mistake.,Active Control,1,0,Erika was,regretting
75,The library books had been regretting their behavior.,No-Attraction Violation,0,1,The library books had been,regretting
76,The stolen artwork had been seizing without warning.,Attraction Violation,1,1,The stolen artwork had been,seizing
76,The stolen artwork had been seized by the border police.,Passive Control,1,1,The stolen artwork had been,seized
76,The police had been seizing shipments of drugs at the border.,Active Control,1,0,The police had been,seizing
76,The grimy pots and pans had been seizing without warning.,No-Attraction Violation,0,1,The grimy pots and pans had been,seizing
77,The value of the jewels was estimating the dealer.,Attraction Violation,1,1,The value of the jewels was,estimating
77,The value of the jewels was estimated by the dealer.,Passive Control,1,1,The value of the jewels was,estimated
77,The jewel expert was estimating the value of the diamond.,Active Control,1,0,The jewel expert was,estimating
77,The useful new gadget had been estimating professionally.,No-Attraction Violation,0,1,The useful new gadget had been,estimating
78,Larry's note had been scribbling his wife.,Attraction Violation,1,1,Larry's note had been,scribbling
