,Unnamed: 0,constraint,context,expected,within,between,unexpected,translated_context,translated_expected,translated_within,translated_between,longer_context,translated_unexpected,translated_longer_context
10,10,H,Chris moped around all morning when he discovered there was no cream cheese. He complained that without it he couldn't eat his,bagel,toast,cake,necklace,Chris liep de hele ochtend te mokken toen hij ontdekte dat er geen roomkaas was. Hij klaagde dat hij zonder dat zijn niet kon eten,bagel,toast,taart,"The Saturday had started with the kind of quiet routine Chris depended on. He woke up later than usual, shuffled into the kitchen in sweatpants, and put on a pot of coffee while the apartment still felt half asleep. There was a simple comfort in doing the same small things every weekend: toast the bagel, smear it generously, and eat at the counter while skimming headlines. He hadn’t planned a full grocery run, just enough to get through the morning. With the coffee brewed and the bagel warming, he opened the refrigerator, already imagining the familiar tang on his first bite.",halsketting,"De zaterdag begon met de stille routine waar Chris op vertrouwde. Hij werd later wakker dan normaal, slofte in een joggingbroek naar de keuken en zette koffie terwijl het appartement nog half sliep. Er school een eenvoudig soort troost in elke week dezelfde kleine dingen doen: een bagel roosteren, er royaal iets op smeren en aan het aanrecht eten terwijl hij vluchtig de krantenkoppen bekeek. Hij had geen volledige boodschappenronde gepland, alleen genoeg om de ochtend door te komen. Toen de koffie pruttelde en de bagel warmde, deed hij de koelkast open en stelde hij zich al de bekende, frisse smaak bij de eerste hap voor."
11,11,H,"He wanted to make his wife breakfast, but he burned piece after piece. I couldn't believe he was ruining even the",toast,bagel,cookies,earring,"Hij wilde zijn vrouw ontbijt maken, maar hij verbrandde stuk na stuk. Ik kon niet geloven dat hij zelfs de aan het verpesten was",toast,bagel,koekjes,"The kitchen smelled like yesterday’s coffee and the faint sweetness of orange peels left on the counter. He’d been up before dawn, moving quietly so he wouldn’t wake her, determined to surprise her on their anniversary. I sat at the table with a mug warming my hands, watching him consult a recipe card as if it were an exam. He kept adjusting the burner, frowning, then trying again with the anxious patience of someone who needed this to go right. Each time the pan hissed too loudly or the timer beeped too late, his shoulders tightened, and he reached for another slice.",oorbel,"De keuken rook naar de koffie van gisteren en naar de vage zoetheid van sinaasappelschillen die op het aanrecht waren blijven liggen. Hij was nog voor zonsopgang opgestaan en bewoog zich geruisloos, zodat hij haar niet wakker zou maken, vastbesloten om haar op hun verjaardag te verrassen. Ik zat aan tafel met een mok die mijn handen verwarmde en keek hoe hij een receptkaart raadpleegde alsof het een examen was. Steeds weer stelde hij het vuur bij, fronsend, en probeerde het opnieuw met de nerveuze geduldigheid van iemand voor wie dit móést slagen. Telkens als de pan te hard siste of de timer te laat piepte, spanden zijn schouders zich, en greep hij naar nog een plak."
12,12,H,I guess his girlfriend really encouraged him to get it pierced. But his father sure blew up when he came home wearing that,earring,necklace,lipstick,spoon,Ik denk dat zijn vriendin hem echt heeft aangemoedigd om het te laten piercen. Maar zijn vader ontplofte toen hij thuiskwam met die,oorbel,ketting,lippenstift,"When we were hanging out after practice, Evan kept fiddling with his left ear like it was already different. He’d been scrolling through photos of musicians, talking about how a small stud could make him look older, more confident. I laughed and told him it wasn’t a big deal, but he kept asking if it would suit him. He’d never done anything that bold before, and the idea of showing up to family dinner with a new look made him nervous. Still, he said he was tired of playing it safe and wanted to surprise everyone.",lepel,"Toen we na de training nog wat bleven hangen, zat Evan steeds aan zijn linkeroor te frunniken alsof het al anders was. Hij scrolde door foto’s van muzikanten en vertelde dat een klein knopje hem ouder en zelfverzekerder kon laten lijken. Ik lachte en zei dat het niet zo’n big deal was, maar hij bleef vragen of het hem zou staan. Hij had nooit eerder iets zo gewaagds gedaan, en het idee om met een nieuwe look bij het familiediner te verschijnen maakte hem nerveus. Toch zei hij dat hij klaar was met op veilig spelen en iedereen wilde verrassen."
13,13,L,She keeps twirling it around and around under her collar. Stephanie seems really happy that Dan gave her that,necklace,earring,mascara,knife,Ze blijft het maar onder haar kraag ronddraaien. Stephanie lijkt heel blij dat Dan haar die,ketting,oorbel,mascara,"The cafeteria was unusually loud that day, but Stephanie hardly noticed. She sat at the edge of the table with her tray untouched, shoulders slightly hunched as if she were guarding a secret. Dan had slipped her a small gift before first period, muttering that it wasn’t a big deal, yet his ears had turned bright red. Now she kept glancing down at her chest, smiling to herself, then looking away whenever someone met her eyes. Even when the bell rang and everyone began to gather their things, she stayed seated, fingers drifting to the chain as if to reassure herself it was real.",mes,"De kantine was die dag ongewoon luid, maar Stephanie merkte het nauwelijks. Ze zat aan de rand van de tafel met haar dienblad onaangeroerd, schouders licht gebogen alsof ze een geheim bewaakte. Dan had haar vóór het eerste uur een klein cadeautje toegestopt, mompelend dat het niets voorstelde, maar zijn oren waren vuurrood geworden. Nu keek ze steeds naar haar borst, glimlachte in zichzelf en keek snel weg zodra iemand haar aankeek. Zelfs toen de bel ging en iedereen zijn spullen pakte, bleef ze zitten, haar vingers zoekend naar het kettinkje alsof ze zichzelf wilde verzekeren dat het echt was."
14,14,H,She wanted to make her eyelashes look really black and thick. So she asked to borrow her older friend's,mascara,lipstick,necklace,bowl,Ze wilde dat haar wimpers er heel zwart en dik uitzagen. Daarom vroeg ze of ze de van haar oudere vriendin mocht lenen,mascara,lippenstift,ketting,"Getting ready for the school dance, she lingered in front of the bathroom mirror longer than usual, studying her reflection under the harsh overhead light. Her outfit was finally perfect, but her face still looked plain, and she worried her eyes didn’t stand out the way she wanted. She tried a little eyeliner, then wiped it off, afraid it made her look too dramatic. Digging through her small makeup bag, she found only a clear lip gloss and a dried-up tube she hadn’t used in months. With time running short and her confidence slipping, she remembered her older friend always seemed to have flawless makeup.",kom,"Terwijl ze zich klaarmaakte voor het schoolbal, bleef ze langer dan normaal voor de badkamerspiegel staan en bestudeerde ze haar spiegelbeeld onder het felle plafondlicht. Haar outfit was eindelijk perfect, maar haar gezicht zag er nog steeds wat gewoontjes uit, en ze was bang dat haar ogen niet genoeg opvielen zoals ze wilde. Ze probeerde een beetje eyeliner, maar veegde het weer weg, bang dat het te dramatisch stond. Terwijl ze in haar kleine make-uptasje rommelde, vond ze alleen een doorzichtige lipgloss en een uitgedroogd tubetje dat ze al maanden niet had gebruikt. Met de tijd die begon te dringen en haar zelfvertrouwen dat wegzakte, dacht ze aan haar oudere vriendin met altijd vlekkeloze make-up."
15,15,H,"He complained that after she kissed him, he couldn't get the red color off his face. He finally just asked her to stop wearing that",lipstick,mascara,earring,cup,"Hij klaagde dat hij, nadat ze hem had gekust, de rode kleur niet van zijn gezicht kreeg. Uiteindelijk vroeg hij haar gewoon om te stoppen met het dragen van dat",lippenstift,mascara,oorbel,"They’d been seeing each other for only a few weeks, long enough to learn each other’s routines but not yet the small surprises. Tonight she picked him up after work and they grabbed a late dinner at a quiet café, talking over shared fries and people-watching through the window. He tried to keep the mood light, but he kept wiping at his mouth with a napkin as if something were stuck there. When she leaned across the table to kiss him goodbye, he stiffened, then laughed awkwardly, glancing at his reflection in the dark glass. On the ride home, he kept rubbing his cheek and chin, growing more self-conscious with each stoplight.",kop,"Ze hadden elkaar pas een paar weken, lang genoeg om elkaars routines te leren kennen, maar nog niet de kleine verrassingen. Vanavond haalde ze hem na het werk op en ze aten laat in een rustig café, pratend boven gedeelde friet en mensen kijkend door het raam. Hij probeerde de sfeer luchtig te houden, maar hij bleef met een servet aan zijn mond vegen alsof er iets vastzat. Toen ze over de tafel leunde om hem gedag te kussen, verstijfde hij en lachte toen ongemakkelijk, terwijl hij naar zijn spiegelbeeld in het donkere glas keek. Op weg naar huis bleef hij over zijn wang en kin wrijven, steeds zelfbewuster bij elk stoplicht."
16,16,L,Eleanor offered to her visitor some coffee. Then she realized she didn't have a clean,cup,bowl,spoon,panda,Eleanor bood haar bezoeker wat koffie aan. Toen realiseerde ze zich dat ze geen schone had,kop,kom,lepel,"The late-afternoon light slanted through the kitchen blinds, striping the counter with warm bars of gold. Eleanor had been halfway through sorting unopened mail when the doorbell rang, unexpected and insistent. On the porch stood a stranger in a rain-damp coat, polite but clearly needing a moment out of the weather. She ushered them in, apologizing for the clutter and the half-finished chores, and listened as they introduced themselves and explained they had come with a question about the neighborhood. Wanting to ease the awkwardness, Eleanor led them toward the kitchen, searching for something simple to offer.",panda,"Het late namiddaglicht viel schuin door de jaloezieën van de keuken en trok warme gouden strepen over het aanrecht. Eleanor was halverwege met het sorteren van ongeopende post toen de deurbel ging, onverwacht en aanhoudend. Op de veranda stond een onbekende in een door de regen vochtig geworden jas, beleefd maar duidelijk toe aan een ogenblik uit het weer. Ze liet hen binnen, verontschuldigde zich voor de rommel en de half afgemaakte klusjes, en luisterde terwijl ze zich voorstelden en uitlegden dat ze met een vraag over de buurt kwamen. Om de ongemakkelijkheid te verzachten, leidde Eleanor hen naar de keuken, op zoek naar iets eenvoudigs om aan te bieden."
17,17,L,"My aunt fixed my brother some cereal using her best china. Of course, the first thing he did was drop the",bowl,cup,knife,polar bear,Mijn tante maakte voor mijn broer wat ontbijtgranen klaar in haar mooiste porselein. Natuurlijk was het eerste wat hij deed de laten vallen,kom,kop,mes,"Sunday mornings at my aunt’s house always felt a little too quiet, the kind of quiet that makes you notice every creak in the floorboards. She loved doing things “properly,” even when no one asked her to. The dining room table was set as if guests might arrive at any moment, and she hovered over the kitchen like a careful conductor. My brother and I had been up since dawn, restless and hungry after sleeping on the lumpy pull-out couch. I offered to pour us something quick, but she insisted on handling breakfast herself, smiling as she opened the glass-front cabinet.",ijsbeer,"Zondagochtenden bij mijn tante thuis voelden altijd net iets té stil, zo’n stilte waardoor je elke kraak in de vloerplanken hoort. Ze hield ervan alles “zoals het hoort” te doen, ook als niemand haar erom vroeg. De eettafel stond gedekt alsof er elk moment gasten konden binnenlopen, en ze waakte over de keuken als een zorgvuldige dirigent. Mijn broer en ik waren al sinds zonsopgang wakker, rusteloos en hongerig na een nacht op de hobbelige slaapbank. Ik bood aan snel iets in te schenken, maar ze stond erop het ontbijt zelf te regelen, glimlachend terwijl ze de kast met glazen deur opende."
18,18,H,"At the dinner party, I wondered why my mother wasn't eating her soup. Then I noticed that she didn't have a",spoon,knife,bowl,lion,Tijdens het etentje vroeg ik me af waarom mijn moeder haar soep niet at. Toen merkte ik dat ze geen,lepel,mes,kom,"The dining room glowed with warm candlelight, and the table was crowded with dishes that looked far more elegant than anything we ate at home. My mother sat beside me, smiling politely as relatives and neighbors traded stories across the clink of glasses. I tried to focus on the conversation, but I kept glancing her way. She had been quiet all evening, folding her napkin again and again, as if smoothing out invisible wrinkles. The bowls of soup were served, fragrant and steaming, and everyone leaned in with practiced ease. My mother adjusted her chair and looked down at the place setting.",leeuw,"De eetkamer baadde in warm kaarslicht en de tafel stond vol met schotels die veel eleganter leken dan alles wat we thuis aten. Mijn moeder zat naast me en glimlachte beleefd terwijl familie en buren verhalen uitwisselden tussen het geklink van glazen. Ik probeerde me op het gesprek te concentreren, maar ik keek steeds haar kant op. Ze was de hele avond stil geweest en vouwde haar servet telkens opnieuw, alsof ze onzichtbare kreukels gladstreek. Toen de kommen soep werden opgediend, geurig en dampend, boog iedereen zich voorover met geoefend gemak. Mijn moeder schoof haar stoel bij en keek omlaag naar het bestek."
19,19,L,"In the dorms, cutting your steak can be a huge struggle. They always give you such a poor quality",knife,spoon,cup,tiger,Op de slaapzalen kan het snijden van je biefstuk een enorme worsteling zijn. Ze geven je altijd zo’n slechte kwaliteit,mes,lepel,kop,"Living away from home for the first time comes with a thousand little surprises, and most of them show up at mealtimes. The cafeteria food is passable, but everything else feels improvised—plastic cups, wobbly plates, and utensils that look like they’ve survived a decade of late-night raids. You learn quickly that convenience is the rule: grab a tray, find a seat, and make do with whatever’s on offer. Even when you try to cook in the communal kitchen, the tools are mismatched and dull from overuse. Dinner shouldn’t feel like a test of endurance, but somehow it does.",tijger,"Voor het eerst niet thuis wonen brengt duizend kleine verrassingen met zich mee, en de meeste duiken op tijdens het eten. Het cafetaria-eten is best te doen, maar de rest voelt geïmproviseerd: plastic bekers, wiebelige borden en bestek dat eruitziet alsof het een decennium aan nachtelijke rooftochten heeft overleefd. Je leert snel dat gemak de regel is: pak een dienblad, zoek een plek en red je met wat er wordt aangeboden. Zelfs als je in de gemeenschappelijke keuken probeert te koken, zijn de spullen een ratjetoe en bot van overmatig gebruik. Avondeten zou geen uithoudingsproef moeten zijn, maar toch is het dat."
20,20,H,"He journeyed to the African plains, hoping to get a photograph of the king of the beasts. Unfortunately, the whole time he was there he never saw a",lion,tiger,panda,shorts,"Hij reisde naar de Afrikaanse vlakten, in de hoop een foto te maken van de koning der dieren. Helaas zag hij gedurende de hele tijd dat hij daar was nooit een",leeuw,tijger,panda,"For years, he had admired the untamed beauty of wildlife from the safety of books and documentaries, but the screen no longer felt like enough. He spent months saving money, researching migrations, and poring over maps of remote reserves where big cats were rumored to roam. His camera bag grew heavier with new lenses, spare batteries, and a tripod sturdy enough to handle rough terrain. Friends warned him that nature followed no schedule, yet he pictured a perfect shot waiting somewhere beyond the horizon. At last, with permits secured and expectations high, he boarded a small plane toward the savanna.",,"Jarenlang had hij de ongetemde schoonheid van wilde dieren bewonderd vanuit de veiligheid van boeken en documentaires, maar het scherm voelde niet langer voldoende. Hij spaarde maandenlang geld, onderzocht migraties en bestudeerde kaarten van afgelegen reservaten waar volgens geruchten grote katten rondzwierven. Zijn cameratas werd zwaarder door nieuwe lenzen, extra batterijen en een statief dat stevig genoeg was voor ruig terrein. Vrienden waarschuwden hem dat de natuur geen schema volgt, maar hij zag een perfecte foto ergens voorbij de horizon. Eindelijk, met vergunningen op zak en hoge verwachtingen, stapte hij in een klein vliegtuig richting de savanne."
21,21,L,George was hiking in India when he saw the orange and black striped animal leap out at him. He sustained serious injuries before he managed to kill the,tiger,lion,polar bear,jeans,George was aan het wandelen in India toen hij het oranje- en zwartgestreepte dier hem tegemoet zag springen. Hij liep ernstige verwondingen op voordat het hem lukte de te doden,tijger,leeuw,ijsbeer,"George had come to northern India on a long-delayed sabbatical, hoping to clear his head with days of solitary hiking through forested foothills and remote villages. Locals warned him to stay on the main trails and avoid walking at dawn, but the heat drove him to start early anyway. He carried only a small pack, a battered map, and a cheap knife he’d bought in town, trusting that common sense would be enough. That morning the jungle felt unusually quiet, the birds gone and the undergrowth still. When he rounded a bend near a dry streambed, the brush ahead suddenly trembled.",spijkerbroek,"George was naar Noord-India gekomen voor een lang uitgestelde sabbatical, in de hoop zijn hoofd leeg te maken met dagen van eenzame tochten door beboste uitlopers en afgelegen dorpen. De lokale bevolking waarschuwde hem op de hoofdpaden te blijven en niet bij zonsopgang te lopen, maar door de hitte vertrok hij toch vroeg. Hij droeg alleen een kleine rugzak, een gehavende kaart en een goedkoop mes dat hij in de stad had gekocht, erop vertrouwend dat gezond verstand genoeg zou zijn. Die ochtend voelde de jungle ongewoon stil: geen vogels, geen ritseling. Toen hij een bocht nam bij een droge rivierbedding, trilde het struikgewas voor hem plotseling."
