,ItemNum,Condition,context,target,continuation,semantic_association,implementation,model
30,11,control,Lukas kam zur Geburtstagsfeier. Nach einer Weile überreichte er den,Kuchen,und gratulierte.,0.355784,SE,jinaai/jina-embeddings-v2-base-de
31,11,script-related,Lukas verließ die Geburtstagsfeier. Nach einer Weile überreichte er den,Kuchen,und gratulierte.,0.6425461,SE,jinaai/jina-embeddings-v2-base-de
32,11,script-unrelated,Lukas kam zum Unterricht. Nach einer Weile überreichte er den,Kuchen,und gratulierte.,0.5649199,SE,jinaai/jina-embeddings-v2-base-de
33,12,control,Marie ging zum Friseur. Nach einem kurzen Moment fragte sie die,Stylistin,nach einem neuen Schnitt.,0.57845664,SE,jinaai/jina-embeddings-v2-base-de
34,12,script-related,Marie verließ den Friseur. Nach einem kurzen Moment fragte sie die,Stylistin,nach einem neuen Schnitt.,0.4390114,SE,jinaai/jina-embeddings-v2-base-de
35,12,script-unrelated,Marie ging zur Uni. Nach einem kurzen Moment fragte sie die,Stylistin,nach einem neuen Schnitt.,0.58088946,SE,jinaai/jina-embeddings-v2-base-de
36,13,control,Thorsten begann zu duschen. Als erstes benutzte er das,Shampoo,und dann das Duschgel.,0.5657723,SE,jinaai/jina-embeddings-v2-base-de
37,13,script-related,Thorsten hörte auf zu duschen. Als erstes benutzte er das,Shampoo,und dann das Duschgel.,0.7989583,SE,jinaai/jina-embeddings-v2-base-de
38,13,script-unrelated,Thorsten begann zu grillen. Als erstes benutzte er das,Shampoo,und dann das Duschgel.,0.5318533,SE,jinaai/jina-embeddings-v2-base-de
39,14,control,Claudia betrat den Blumenladen. Schnell fragte sie nach einer,Rose,für eine Freundin.,0.73737717,SE,jinaai/jina-embeddings-v2-base-de
40,14,script-related,Claudia verließ den Blumenladen. Schnell fragte sie nach einer,Rose,für eine Freundin.,0.72288287,SE,jinaai/jina-embeddings-v2-base-de
41,14,script-unrelated,Claudia betrat das Tiergeschäft. Schnell fragte sie nach einer,Rose,für eine Freundin.,0.60462713,SE,jinaai/jina-embeddings-v2-base-de
42,15,control,Jonathan ging zum Friedhof. Nachdenklich betrachtete er den,Grabstein,und sprach ein Gebet.,0.7318215,SE,jinaai/jina-embeddings-v2-base-de
43,15,script-related,Jonathan verließ den Friedhof. Nachdenklich betrachtete er den,Grabstein,und sprach ein Gebet.,0.75527686,SE,jinaai/jina-embeddings-v2-base-de
44,15,script-unrelated,Jonathan ging in die Küche. Nachdenklich betrachtete er den,Grabstein,und sprach ein Gebet.,0.5601567,SE,jinaai/jina-embeddings-v2-base-de
45,16,control,Lara ging in den Garten. Genau prüfte sie die,Erde,und goss dann die Blumen.,0.75211215,SE,jinaai/jina-embeddings-v2-base-de
46,16,script-related,Lara verließ den Garten. Genau prüfte sie die,Erde,und goss dann die Blumen.,0.67293626,SE,jinaai/jina-embeddings-v2-base-de
47,16,script-unrelated,Lara ging zum Herd. Genau prüfte sie die,Erde,und goss dann die Blumen.,0.66068417,SE,jinaai/jina-embeddings-v2-base-de
48,17,control,Roman ging ins Museum. Akribisch betrachtete er die,Skulpturen,und war begeistert.,0.4580916,SE,jinaai/jina-embeddings-v2-base-de
49,17,script-related,Roman verließ das Museum. Akribisch betrachtete er die,Skulpturen,und war begeistert.,0.38912776,SE,jinaai/jina-embeddings-v2-base-de
50,17,script-unrelated,Roman ging in die Buchhandlung. Akribisch betrachtete er die,Skulpturen,und war begeistert.,0.3892373,SE,jinaai/jina-embeddings-v2-base-de
51,18,control,Annika ging zum Konditor. Schnell fragte sie nach einem,Kuchen,und bezahlte sofort.,0.6644673,SE,jinaai/jina-embeddings-v2-base-de
52,18,script-related,Annika verließ den Konditor. Schnell fragte sie nach einem,Kuchen,und bezahlte sofort.,0.2660103,SE,jinaai/jina-embeddings-v2-base-de
53,18,script-unrelated,Annika ging in die Boutique. Schnell fragte sie nach einem,Kuchen,und bezahlte sofort.,0.5378524,SE,jinaai/jina-embeddings-v2-base-de
54,19,control,Emil betrat das Spa. Nach einer Weile bekam er eine,Massage,und genoss sie.,0.5473275,SE,jinaai/jina-embeddings-v2-base-de
55,19,script-related,Emil verließ das Spa. Nach einer Weile bekam er eine,Massage,und genoss sie.,0.49413383,SE,jinaai/jina-embeddings-v2-base-de
56,19,script-unrelated,Emil betrat die Apotheke. Nach einer Weile bekam er eine,Massage,und genoss sie.,0.4069363,SE,jinaai/jina-embeddings-v2-base-de
57,20,control,Susanne betrat die Reitschule. Schnell setzte sie den,Sattel,auf und ritt los.,0.487305,SE,jinaai/jina-embeddings-v2-base-de
58,20,script-related,Susanne verließ die Reitschule. Schnell setzte sie den,Sattel,auf und ritt los.,0.3494446,SE,jinaai/jina-embeddings-v2-base-de
59,20,script-unrelated,Susanne betrat das Bad. Schnell setzte sie den,Sattel,auf und ritt los.,0.64588857,SE,jinaai/jina-embeddings-v2-base-de
60,21,control,Martin kam zur Sicherheitskontrolle. Zügig öffnete er den,Koffer,und wurde durchgewunken.,0.6983934,SE,jinaai/jina-embeddings-v2-base-de
61,21,script-related,Martin verließ die Sicherheitskontrolle. Zügig öffnete er den,Koffer,und wurde durchgewunken.,0.69187635,SE,jinaai/jina-embeddings-v2-base-de
62,21,script-unrelated,Martin kam zur Autowerkstatt. Zügig öffnete er den,Koffer,und wurde durchgewunken.,0.44491133,SE,jinaai/jina-embeddings-v2-base-de
63,22,control,Jutta ging zur Hotelrezeption. Sofort bekam sie ein,Zimmer,und dankte freundlich.,0.5471408,SE,jinaai/jina-embeddings-v2-base-de
64,22,script-related,Jutta verließ die Hotelrezeption. Sofort bekam sie ein,Zimmer,und dankte freundlich.,0.6076649,SE,jinaai/jina-embeddings-v2-base-de
65,22,script-unrelated,Jutta ging zur Post. Sofort bekam sie ein,Zimmer,und dankte freundlich.,0.6937533,SE,jinaai/jina-embeddings-v2-base-de
66,23,control,Jens ging zum Zahnarzt. Ängstlich ging er zum,Röntgen,und ließ sich behandeln.,0.55816776,SE,jinaai/jina-embeddings-v2-base-de
67,23,script-related,Jens verließ den Zahnarzt. Ängstlich ging er zum,Röntgen,und ließ sich behandeln.,0.633277,SE,jinaai/jina-embeddings-v2-base-de
68,23,script-unrelated,Jens ging zur Zollstelle. Ängstlich ging er zum,Röntgen,und ließ sich behandeln.,0.6384534,SE,jinaai/jina-embeddings-v2-base-de
69,24,control,Elena begann Poker zu spielen. Schnell setzte sie ihr,Geld,und gewann.,0.6215293,SE,jinaai/jina-embeddings-v2-base-de
70,24,script-related,Elena hörte auf Poker zu spielen. Schnell setzte sie ihr,Geld,und gewann.,0.5984787,SE,jinaai/jina-embeddings-v2-base-de
71,24,script-unrelated,Elena begann zu zeichnen. Schnell setzte sie ihr,Geld,und gewann.,0.55271584,SE,jinaai/jina-embeddings-v2-base-de
72,25,control,Bruno begann seinen Urlaub. Endlich kam er am,Meer,an und genoss das Wetter.,0.70061284,SE,jinaai/jina-embeddings-v2-base-de
73,25,script-related,Bruno beendete seinen Urlaub. Endlich kam er am,Meer,an und genoss das Wetter.,0.60819584,SE,jinaai/jina-embeddings-v2-base-de
74,25,script-unrelated,Bruno begann seinen Filmabend. Endlich kam er am,Meer,an und genoss das Wetter.,0.86260194,SE,jinaai/jina-embeddings-v2-base-de
75,26,control,Jana betrat das Bürgeramt. Umgehend zeigte sie ihr,Visum,und stellte einen Antrag.,0.7221706,SE,jinaai/jina-embeddings-v2-base-de
76,26,script-related,Jana verließ das Bürgeramt. Umgehend zeigte sie ihr,Visum,und stellte einen Antrag.,0.5798246,SE,jinaai/jina-embeddings-v2-base-de
77,26,script-unrelated,Jana betrat das Gartencenter. Umgehend zeigte sie ihr,Visum,und stellte einen Antrag.,0.6590862,SE,jinaai/jina-embeddings-v2-base-de
78,27,control,Nico fuhr auf die Kirmes. Sofort ging er zum,Auto-Scooter,und fuhr eine Runde.,0.66602,SE,jinaai/jina-embeddings-v2-base-de
79,27,script-related,Nico verließ die Kirmes. Sofort ging er zum,Auto-Scooter,und fuhr eine Runde.,0.5942853,SE,jinaai/jina-embeddings-v2-base-de
80,27,script-unrelated,Nico fuhr zur Pizzeria. Sofort ging er zum,Auto-Scooter,und fuhr eine Runde.,0.5837582,SE,jinaai/jina-embeddings-v2-base-de
81,28,control,Beate ging Wandern. Nach einer Weile sah sie ein,Edelweiß,das sie gleich mitnahm.,0.4494514,SE,jinaai/jina-embeddings-v2-base-de
82,28,script-related,Beate kam zurück vom Wandern. Nach einer Weile sah sie ein,Edelweiß,das sie gleich mitnahm.,0.29925826,SE,jinaai/jina-embeddings-v2-base-de
83,28,script-unrelated,Beate ging schwimmen. Nach einer Weile sah sie ein,Edelweiß,das sie gleich mitnahm.,0.60641086,SE,jinaai/jina-embeddings-v2-base-de
84,29,control,Hubert nahm ein Taxi. Freundlich begrüßte er den,Fahrer,und nannte sein Ziel.,0.45808163,SE,jinaai/jina-embeddings-v2-base-de
85,29,script-related,Hubert verließ das Taxi. Freundlich begrüßte er den,Fahrer,und nannte sein Ziel.,0.5724897,SE,jinaai/jina-embeddings-v2-base-de
86,29,script-unrelated,Hubert nahm ein Flugzeug. Freundlich begrüßte er den,Fahrer,und nannte sein Ziel.,0.39196622,SE,jinaai/jina-embeddings-v2-base-de
87,30,control,Jenni begann zu baden. Sofort verteilte sie den,Schaum,auf ihrem Körper.,0.7698488,SE,jinaai/jina-embeddings-v2-base-de
88,30,script-related,Jenni hörte auf zu baden. Sofort verteilte sie den,Schaum,auf ihrem Körper.,0.794079,SE,jinaai/jina-embeddings-v2-base-de
89,30,script-unrelated,Jenni begann die Vorlesung. Sofort verteilte sie den,Schaum,auf ihrem Körper.,0.6832539,SE,jinaai/jina-embeddings-v2-base-de
90,31,control,Hans betrat die Eishalle. Flott schnürte er seine,Schlittschuhe,und ging auf die Bahn.,0.7668328,SE,jinaai/jina-embeddings-v2-base-de
91,31,script-related,Hans verließ die Eishalle. Flott schnürte er seine,Schlittschuhe,und ging auf die Bahn.,0.367648,SE,jinaai/jina-embeddings-v2-base-de
92,31,script-unrelated,Hans betrat die Kletterhalle. Flott schnürte er seine,Schlittschuhe,und ging auf die Bahn.,0.553334,SE,jinaai/jina-embeddings-v2-base-de
93,32,control,Clara begann zu bowlen. Gekonnt erzielte sie einen,Strike,und gewann das Spiel.,0.49813625,SE,jinaai/jina-embeddings-v2-base-de
94,32,script-related,Clara hörte auf zu bowlen. Gekonnt erzielte sie einen,Strike,und gewann das Spiel.,0.56474364,SE,jinaai/jina-embeddings-v2-base-de
95,32,script-unrelated,Clara ging zum Schießstand. Gekonnt erzielte sie einen,Strike,und gewann das Spiel.,0.7186122,SE,jinaai/jina-embeddings-v2-base-de
96,33,control,Georg nahm teil an einem Feuerwehreinsatz. Sofort benutzte er den,Schlauch,und löschte das Feuer.,0.49046358,SE,jinaai/jina-embeddings-v2-base-de
97,33,script-related,Georg beendete einen Feuerwehreinsatz. Sofort benutzte er den,Schlauch,und löschte das Feuer.,0.46338305,SE,jinaai/jina-embeddings-v2-base-de
98,33,script-unrelated,Georg nahm teil an Yoga. Sofort benutzte er den,Schlauch,und löschte das Feuer.,0.3009948,SE,jinaai/jina-embeddings-v2-base-de
99,34,control,Johanna begann das Fußballspiel. Nach kurzer Zeit machte sie ein,Tor,und jubelte laut.,0.52258235,SE,jinaai/jina-embeddings-v2-base-de
100,34,script-related,Johanna beendete das Fußballspiel. Nach kurzer Zeit machte sie ein,Tor,und jubelte laut.,0.6111384,SE,jinaai/jina-embeddings-v2-base-de
101,34,script-unrelated,Johanna begann die Jagd. Nach kurzer Zeit machte sie ein,Tor,und jubelte laut.,0.49652743,SE,jinaai/jina-embeddings-v2-base-de
102,35,control,Jürgen betrat die Metzgerei. Sofort fragte er nach einem,Steak,und bezahlte.,0.4340555,SE,jinaai/jina-embeddings-v2-base-de
103,35,script-related,Jürgen verließ die Metzgerei. Sofort fragte er nach einem,Steak,und bezahlte.,0.5005889,SE,jinaai/jina-embeddings-v2-base-de
104,35,script-unrelated,Jürgen betrat die Bäckerei. Sofort fragte er nach einem,Steak,und bezahlte.,0.5204805,SE,jinaai/jina-embeddings-v2-base-de
105,36,control,Frauke betrat den Zoo. Wenig später fotografierte sie ein,Zebra,beim Trinken.,0.6668236,SE,jinaai/jina-embeddings-v2-base-de
106,36,script-related,Frauke verließ den Zoo. Wenig später fotografierte sie ein,Zebra,beim Trinken.,0.54457945,SE,jinaai/jina-embeddings-v2-base-de
107,36,script-unrelated,Frauke ging ins Stadion. Wenig später fotografierte sie ein,Zebra,beim Trinken.,0.69000113,SE,jinaai/jina-embeddings-v2-base-de
108,37,control,Bernd betrat den Waschsalon. Schnell wählte er das,Waschprogramm,und lies es laufen.,0.64673704,SE,jinaai/jina-embeddings-v2-base-de
109,37,script-related,Bernd verließ den Waschsalon. Schnell wählte er das,Waschprogramm,und lies es laufen.,0.5456578,SE,jinaai/jina-embeddings-v2-base-de
110,37,script-unrelated,Bernd betrat den Kiosk. Schnell wählte er das,Waschprogramm,und lies es laufen.,0.35801697,SE,jinaai/jina-embeddings-v2-base-de
111,38,control,Nicole ging in den Zirkus. Bald setzte sie sich auf die,Tribüne,und schaute sich das Spektakel an.,0.32768658,SE,jinaai/jina-embeddings-v2-base-de
112,38,script-related,Nicole verließ den Zirkus. Bald setzte sie sich auf die,Tribüne,und schaute sich das Spektakel an.,0.44609782,SE,jinaai/jina-embeddings-v2-base-de
113,38,script-unrelated,Nicole ging ins Büro. Bald setzte sie sich auf die,Tribüne,und schaute sich das Spektakel an.,0.57487947,SE,jinaai/jina-embeddings-v2-base-de
114,39,control,Viktor ging in die Sauna. Nach einer Weile machte er einen,Aufguss,und legte sich hin.,0.26939514,SE,jinaai/jina-embeddings-v2-base-de
115,39,script-related,Viktor verließ die Sauna. Nach einer Weile machte er einen,Aufguss,und legte sich hin.,0.652328,SE,jinaai/jina-embeddings-v2-base-de
116,39,script-unrelated,Viktor ging ins Labor. Nach einer Weile machte er einen,Aufguss,und legte sich hin.,0.62044966,SE,jinaai/jina-embeddings-v2-base-de
117,40,control,Gabi ging zum Tierarzt. Einen Moment später fragte sie die,Arzthelferin,nach Medikamenten.,0.7136916,SE,jinaai/jina-embeddings-v2-base-de
118,40,script-related,Gabi verließ den Tierarzt. Einen Moment später fragte sie die,Arzthelferin,nach Medikamenten.,0.6169537,SE,jinaai/jina-embeddings-v2-base-de
119,40,script-unrelated,Gabi ging in die Umkleide. Einen Moment später fragte sie die,Arzthelferin,nach Medikamenten.,0.61325026,SE,jinaai/jina-embeddings-v2-base-de
120,41,control,Jakob betrat den Tatort. Kurz darauf fotografierte er die,Blutspritzer,und war erstaunt.,0.26567963,SE,jinaai/jina-embeddings-v2-base-de
121,41,script-related,Jakob verließ den Tatort. Kurz darauf fotografierte er die,Blutspritzer,und war erstaunt.,0.33961853,SE,jinaai/jina-embeddings-v2-base-de
122,41,script-unrelated,Jakob betrat die Tankstelle. Kurz darauf fotografierte er die,Blutspritzer,und war erstaunt.,0.24464029,SE,jinaai/jina-embeddings-v2-base-de
123,42,control,Peter begann Bäume zu fällen. Nach einer Weile benutzte sie die,Axt,und traf gezielt den Stamm.,0.65464306,SE,jinaai/jina-embeddings-v2-base-de
124,42,script-related,Peter hörte auf Bäume zu fällen. Nach einer Weile benutzte sie die,Axt,und traf gezielt den Stamm.,0.3532577,SE,jinaai/jina-embeddings-v2-base-de
125,42,script-unrelated,Peter begann die Kutsche zu fahren. Nach einer Weile benutzte sie die,Axt,und traf gezielt den Stamm.,0.5826013,SE,jinaai/jina-embeddings-v2-base-de
126,43,control,Tom begann ein Lagerfeuer. Sofort stapelte er das,Holz,und zündete es an.,0.31230602,SE,jinaai/jina-embeddings-v2-base-de
127,43,script-related,Tom beendete das Lagerfeuer. Sofort stapelte er das,Holz,und zündete es an.,0.41326416,SE,jinaai/jina-embeddings-v2-base-de
128,43,script-unrelated,Tom begann Frühstück zu machen. Sofort stapelte er das,Holz,und zündete es an.,0.5803585,SE,jinaai/jina-embeddings-v2-base-de
129,44,control,Kim ging zum Weihnachtsmarkt. Kurz darauf erreichte er die,Weihnachtskiosks,und stöberte nach Geschenken.,0.4346484,SE,jinaai/jina-embeddings-v2-base-de
130,44,script-related,Kim verließ den Weihnachtsmarkt. Kurz darauf erreichte er die,Weihnachtskiosks,und stöberte nach Geschenken.,0.3462414,SE,jinaai/jina-embeddings-v2-base-de
131,44,script-unrelated,Kim ging ins Krankenhaus. Kurz darauf erreichte er die,Weihnachtskiosks,und stöberte nach Geschenken.,0.402775,SE,jinaai/jina-embeddings-v2-base-de
132,45,control,Michael begann sein Mittagessen zu kochen. Schnell schnitt er das,Gemüse,und warf es in den Topf.,0.46824685,SE,jinaai/jina-embeddings-v2-base-de
133,45,script-related,Michael war fertig sein Mittagessen zu kochen. Schnell schnitt er das,Gemüse,und warf es in den Topf.,0.39981732,SE,jinaai/jina-embeddings-v2-base-de
134,45,script-unrelated,Michael begann einen Kuchen zu backen. Schnell schnitt er das,Gemüse,und warf es in den Topf.,0.48374152,SE,jinaai/jina-embeddings-v2-base-de
135,46,control,Johann betrat die Wohnung. Sofort setzte er sich aufs,Bett,und dachte über den Tag nach.,0.4882695,SE,jinaai/jina-embeddings-v2-base-de
136,46,script-related,Johann verließ die Wohnung. Sofort setzte er sich aufs,Bett,und dachte über den Tag nach.,0.6498339,SE,jinaai/jina-embeddings-v2-base-de
137,46,script-unrelated,Johann betrat das Kino. Sofort setzte er sich aufs,Bett,und dachte über den Tag nach.,0.6597721,SE,jinaai/jina-embeddings-v2-base-de
138,47,control,Sabine betrat die Schule. Schnell ging sie zum,Klassensaal,und grüßte die Schüler.,0.6808269,SE,jinaai/jina-embeddings-v2-base-de
139,47,script-related,Sabine verließ die Schule. Schnell ging sie zum,Klassensaal,und grüßte die Schüler.,0.35726565,SE,jinaai/jina-embeddings-v2-base-de
140,47,script-unrelated,Sabine betrat den Bauernhof. Schnell ging sie zum,Klassensaal,und grüßte die Schüler.,0.40149105,SE,jinaai/jina-embeddings-v2-base-de
141,48,control,Kevin betrat die Kirche. Vorsichtig nahm er eine,Kerze,und zündete sie an.,0.7661543,SE,jinaai/jina-embeddings-v2-base-de
142,48,script-related,Kevin verließ die Kirche. Vorsichtig nahm er eine,Kerze,und zündete sie an.,0.4382327,SE,jinaai/jina-embeddings-v2-base-de
143,48,script-unrelated,Kevin betrat die Arztpraxis. Vorsichtig nahm er eine,Kerze,und zündete sie an.,0.76077926,SE,jinaai/jina-embeddings-v2-base-de
144,49,control,Susi betrat das Gehege. Präzise begutachtete sie das,Kalb,und machte sich Notizen.,0.7336281,SE,jinaai/jina-embeddings-v2-base-de
145,49,script-related,Susi verließ das Gehege. Präzise begutachtete sie das,Kalb,und machte sich Notizen.,0.51042974,SE,jinaai/jina-embeddings-v2-base-de
146,49,script-unrelated,Susi betrat die Bücherei. Präzise begutachtete sie das,Kalb,und machte sich Notizen.,0.56924623,SE,jinaai/jina-embeddings-v2-base-de
147,50,control,Thomas betrat die Kneipe. In Eile rief er den,Kellner,und bestellte ein Bier.,0.50644463,SE,jinaai/jina-embeddings-v2-base-de
148,50,script-related,Thomas verließ die Kneipe. In Eile rief er den,Kellner,und bestellte ein Bier.,0.36744797,SE,jinaai/jina-embeddings-v2-base-de
149,50,script-unrelated,Thomas begann Spaghetti zu kochen. In Eile rief er den,Kellner,und bestellte ein Bier.,0.4613416,SE,jinaai/jina-embeddings-v2-base-de
150,51,control,Lea begann die Wände zu streichen. Schnell wählte sie einen,Pinsel,und fing an zu streichen.,0.41119772,SE,jinaai/jina-embeddings-v2-base-de
151,51,script-related,Lea war fertig die Wände zu streichen. Schnell wählte sie einen,Pinsel,und fing an zu streichen.,0.46716702,SE,jinaai/jina-embeddings-v2-base-de
152,51,script-unrelated,Lea erreichte das Theater. Schnell wählte sie einen,Pinsel,und fing an zu streichen.,0.51824546,SE,jinaai/jina-embeddings-v2-base-de
153,52,control,Peter erreichte den Supermarkt. Schnell kaufte er etwas,Gemüse,zum Kochen am Abend.,0.53602946,SE,jinaai/jina-embeddings-v2-base-de
154,52,script-related,Peter verließ den Supermarkt. Schnell kaufte er etwas,Gemüse,zum Kochen am Abend.,0.5227278,SE,jinaai/jina-embeddings-v2-base-de
155,52,script-unrelated,Peter erreichte den Bahnhof. Schnell kaufte er etwas,Gemüse,zum Kochen am Abend.,0.42352822,SE,jinaai/jina-embeddings-v2-base-de
156,53,control,Lisa betrat das Haus. Kurz danach checkte sie den,Kühlschrank,und suchte etwas zu essen.,0.514065,SE,jinaai/jina-embeddings-v2-base-de
157,53,script-related,Lisa verließ das Haus. Kurz danach checkte sie den,Kühlschrank,und suchte etwas zu essen.,0.49328512,SE,jinaai/jina-embeddings-v2-base-de
158,53,script-unrelated,Lisa begann im Fitnessstudio zu trainieren. Kurz danach checkte sie den,Kühlschrank,und suchte etwas zu essen.,0.5025875,SE,jinaai/jina-embeddings-v2-base-de
159,54,control,Tim begann seine Fahrstunde. Hektisch drückte er aufs,Gaspedal,und fuhr los.,0.6341681,SE,jinaai/jina-embeddings-v2-base-de
160,54,script-related,Tim beendete seine Fahrstunde. Hektisch drückte er aufs,Gaspedal,und fuhr los.,0.5915502,SE,jinaai/jina-embeddings-v2-base-de
161,54,script-unrelated,Tim ging zum Flughafen. Hektisch drückte er aufs,Gaspedal,und fuhr los.,0.7830859,SE,jinaai/jina-embeddings-v2-base-de
162,55,control,Maria erreichte das Einkaufszentrum. Sofort begrüßte sie die,Verkäuferin,und suchte etwas aus.,0.26353118,SE,jinaai/jina-embeddings-v2-base-de
163,55,script-related,Maria verließ das Einkaufszentrum. Sofort begrüßte sie die,Verkäuferin,und suchte etwas aus.,0.21821113,SE,jinaai/jina-embeddings-v2-base-de
164,55,script-unrelated,Maria erreichte die Geburtstagsfeier. Sofort begrüßte sie die,Verkäuferin,und suchte etwas aus.,0.42725778,SE,jinaai/jina-embeddings-v2-base-de
165,56,control,Lukas begann die Vorlesung. Eilig begrüßte er seine,Studenten,und fing an.,0.43246982,SE,jinaai/jina-embeddings-v2-base-de
166,56,script-related,Lukas beendete die Vorlesung. Eilig begrüßte er seine,Studenten,und fing an.,0.38389102,SE,jinaai/jina-embeddings-v2-base-de
167,56,script-unrelated,Lukas ging zum Friseur. Eilig begrüßte er seine,Studenten,und fing an.,0.6276683,SE,jinaai/jina-embeddings-v2-base-de
168,57,control,Marie ging zur Uni. In Eile betrat sie den,Hörsaal,und öffnete ihr Buch.,0.56825364,SE,jinaai/jina-embeddings-v2-base-de
169,57,script-related,Marie verließ die Uni. In Eile betrat sie den,Hörsaal,und öffnete ihr Buch.,0.48644897,SE,jinaai/jina-embeddings-v2-base-de
170,57,script-unrelated,Marie ging duschen. In Eile betrat sie den,Hörsaal,und öffnete ihr Buch.,0.76685715,SE,jinaai/jina-embeddings-v2-base-de
