,item,sentence,condition,e1,e2,context,target,semantic_association,implementation,model
32,9,Wendy's muddy car was washing the boys.,Attraction Violation,1,1,Wendy's muddy car was,washing,0.78647006,SE,intfloat/multilingual-e5-large
33,9,Wendy's muddy car was washed wearily.,Passive Control,1,1,Wendy's muddy car was,washed,0.7951913,SE,intfloat/multilingual-e5-large
34,9,Wendy and Harriet were washing the muddy car.,Active Control,1,0,Wendy and Harriet were,washing,0.7689959,SE,intfloat/multilingual-e5-large
35,9,Frank's loan application had been washing the used pencil.,No-Attraction Violation,0,1,Frank's loan application had been,washing,0.7671959,SE,intfloat/multilingual-e5-large
36,10,The library books had been borrowing the graduate student.,Attraction Violation,1,1,The library books had been,borrowing,0.7904057,SE,intfloat/multilingual-e5-large
37,10,The library books had been borrowed by the graduate student.,Passive Control,1,1,The library books had been,borrowed,0.8143095,SE,intfloat/multilingual-e5-large
38,10,Katie and Lara had been borrowing dozens of books about botany from the library.,Active Control,1,0,Katie and Lara had been,borrowing,0.74914724,SE,intfloat/multilingual-e5-large
39,10,The tragic mistake was borrowing in a hurry.,No-Attraction Violation,0,1,The tragic mistake was,borrowing,0.780642,SE,intfloat/multilingual-e5-large
40,11,"The dark, underwater cave was exploring by the divers.",Attraction Violation,1,1,"The dark, underwater cave was",exploring,0.7959325,SE,intfloat/multilingual-e5-large
41,11,"The dark, underwater cave was explored by the divers.",Passive Control,1,1,"The dark, underwater cave was",explored,0.8070868,SE,intfloat/multilingual-e5-large
42,11,The cautious scuba divers were exploring the underwater cave.,Active Control,1,0,The cautious scuba divers were,exploring,0.79497695,SE,intfloat/multilingual-e5-large
43,11,The phone bill had been exploring at the zoo.,No-Attraction Violation,0,1,The phone bill had been,exploring,0.7688914,SE,intfloat/multilingual-e5-large
44,12,The unpleasant cough syrup was swallowing the boy.,Attraction Violation,1,1,The unpleasant cough syrup was,swallowing,0.8118796,SE,intfloat/multilingual-e5-large
45,12,The unpleasant cough syrup was swallowed by the boy.,Passive Control,1,1,The unpleasant cough syrup was,swallowed,0.8220323,SE,intfloat/multilingual-e5-large
46,12,The huge adult alligator had been swallowing fish by the bucket.,Active Control,1,0,The huge adult alligator had been,swallowing,0.78554404,SE,intfloat/multilingual-e5-large
47,12,The murder had been swallowing with disgust.,No-Attraction Violation,0,1,The murder had been,swallowing,0.792785,SE,intfloat/multilingual-e5-large
48,13,The pizza had been delivering once more.,Attraction Violation,1,1,The pizza had been,delivering,0.8021903,SE,intfloat/multilingual-e5-large
49,13,The pizza had been delivered by Antonio himself.,Passive Control,1,1,The pizza had been,delivered,0.83115983,SE,intfloat/multilingual-e5-large
50,13,The exhausted messenger had been delivering packages all over town.,Active Control,1,0,The exhausted messenger had been,delivering,0.8098895,SE,intfloat/multilingual-e5-large
51,13,A genetic mutation was delivering once more.,No-Attraction Violation,0,1,A genetic mutation was,delivering,0.79970074,SE,intfloat/multilingual-e5-large
52,14,Frank's loan application had been approving by the bank.,Attraction Violation,1,1,Frank's loan application had been,approving,0.7805728,SE,intfloat/multilingual-e5-large
53,14,Frank's loan application had been approved anyways.,Passive Control,1,1,Frank's loan application had been,approved,0.8119521,SE,intfloat/multilingual-e5-large
54,14,The board of directors had been approving too many expensive projects.,Active Control,1,0,The board of directors had been,approving,0.79398936,SE,intfloat/multilingual-e5-large
55,14,Wendy's muddy car was approving the boy's request.,No-Attraction Violation,0,1,Wendy's muddy car was,approving,0.7658811,SE,intfloat/multilingual-e5-large
56,15,The cheap products had been manufacturing a Belgian firm.,Attraction Violation,1,1,The cheap products had been,manufacturing,0.7915167,SE,intfloat/multilingual-e5-large
57,15,The cheap products had been manufactured by a Belgian firm.,Passive Control,1,1,The cheap products had been,manufactured,0.81414545,SE,intfloat/multilingual-e5-large
58,15,The auto company had been manufacturing parts in China.,Active Control,1,0,The auto company had been,manufacturing,0.796207,SE,intfloat/multilingual-e5-large
59,15,A drawing of the house had been manufacturing at a factory.,No-Attraction Violation,0,1,A drawing of the house had been,manufacturing,0.7596074,SE,intfloat/multilingual-e5-large
60,16,Their secret conversation had been overhearing by a surprised neighbor.,Attraction Violation,1,1,Their secret conversation had been,overhearing,0.8095896,SE,intfloat/multilingual-e5-large
61,16,Their secret conversation had been overheard by a surprised neighbor.,Passive Control,1,1,Their secret conversation had been,overheard,0.81747437,SE,intfloat/multilingual-e5-large
62,16,The annoyed resident had been overhearing his neighbor's phone conversations through the wall.,Active Control,1,0,The annoyed resident had been,overhearing,0.8074731,SE,intfloat/multilingual-e5-large
63,16,A wet snowball had been overhearing despite the precautions.,No-Attraction Violation,0,1,A wet snowball had been,overhearing,0.783877,SE,intfloat/multilingual-e5-large
64,17,The rough part of the wood was sanding to perfection.,Attraction Violation,1,1,The rough part of the wood was,sanding,0.8017179,SE,intfloat/multilingual-e5-large
65,17,The rough part of the wood was sanded by the carpenter.,Passive Control,1,1,The rough part of the wood was,sanded,0.8148467,SE,intfloat/multilingual-e5-large
66,17,The skillful carpenter was sanding the rough edge of the wood.,Active Control,1,0,The skillful carpenter was,sanding,0.7941771,SE,intfloat/multilingual-e5-large
67,17,Three more martinis were sanding the chair.,No-Attraction Violation,0,1,Three more martinis were,sanding,0.7645004,SE,intfloat/multilingual-e5-large
68,18,A package had been receiving by the secretary in the office.,Attraction Violation,1,1,A package had been,receiving,0.820016,SE,intfloat/multilingual-e5-large
69,18,A package had been received by the secretary in the office.,Passive Control,1,1,A package had been,received,0.83184415,SE,intfloat/multilingual-e5-large
70,18,The secretary had been receiving flowers all day.,Active Control,1,0,The secretary had been,receiving,0.81024086,SE,intfloat/multilingual-e5-large
71,18,The noises in the attic had been receiving assistance from the government.,No-Attraction Violation,0,1,The noises in the attic had been,receiving,0.7928729,SE,intfloat/multilingual-e5-large
72,19,The club's rules had been violating Richard.,Attraction Violation,1,1,The club's rules had been,violating,0.78720593,SE,intfloat/multilingual-e5-large
73,19,The club's rules had been violated only twice.,Passive Control,1,1,The club's rules had been,violated,0.7824398,SE,intfloat/multilingual-e5-large
74,19,The rebel had been violating the rules.,Active Control,1,0,The rebel had been,violating,0.81616753,SE,intfloat/multilingual-e5-large
75,19,Thirty pounds of potatoes had been violating only twice.,No-Attraction Violation,0,1,Thirty pounds of potatoes had been,violating,0.7684653,SE,intfloat/multilingual-e5-large
76,20,A new medication had been prescribing the physician.,Attraction Violation,1,1,A new medication had been,prescribing,0.8407524,SE,intfloat/multilingual-e5-large
77,20,A new medication had been prescribed by the physician.,Passive Control,1,1,A new medication had been,prescribed,0.8451335,SE,intfloat/multilingual-e5-large
78,20,The new doctor had been prescribing powerful painkillers for Jelena's sore knee.,Active Control,1,0,The new doctor had been,prescribing,0.82494676,SE,intfloat/multilingual-e5-large
79,20,The portrait of Napoleon had been prescribing with caution.,No-Attraction Violation,0,1,The portrait of Napoleon had been,prescribing,0.7705494,SE,intfloat/multilingual-e5-large
80,21,The wheat crops had been harvesting by the local farmers.,Attraction Violation,1,1,The wheat crops had been,harvesting,0.79984653,SE,intfloat/multilingual-e5-large
81,21,The wheat crops had been harvested after the rain.,Passive Control,1,1,The wheat crops had been,harvested,0.8283212,SE,intfloat/multilingual-e5-large
82,21,The local farmers had been harvesting the corn all week.,Active Control,1,0,The local farmers had been,harvesting,0.7871146,SE,intfloat/multilingual-e5-large
83,21,The elevator button had been harvesting after the rain.,No-Attraction Violation,0,1,The elevator button had been,harvesting,0.7654146,SE,intfloat/multilingual-e5-large
84,22,The musical piece was composing by Beethoven in 1799.,Attraction Violation,1,1,The musical piece was,composing,0.82173544,SE,intfloat/multilingual-e5-large
85,22,The musical piece was composed in a dream.,Passive Control,1,1,The musical piece was,composed,0.83318466,SE,intfloat/multilingual-e5-large
86,22,Ludwig von Beethoven was composing symphonies as a teenager.,Active Control,1,0,Ludwig von Beethoven was,composing,0.78612864,SE,intfloat/multilingual-e5-large
87,22,The bank had been composing in a dream.,No-Attraction Violation,0,1,The bank had been,composing,0.77762,SE,intfloat/multilingual-e5-large
88,23,The old lady's purse had been snatching a kid.,Attraction Violation,1,1,The old lady's purse had been,snatching,0.78538215,SE,intfloat/multilingual-e5-large
89,23,The old lady's purse had been snatched with speed.,Passive Control,1,1,The old lady's purse had been,snatched,0.79828966,SE,intfloat/multilingual-e5-large
90,23,The clever dog had been snatching cookies from the table.,Active Control,1,0,The clever dog had been,snatching,0.7819138,SE,intfloat/multilingual-e5-large
91,23,The quality of Karla's work was snatching victory from the jaws of defeat.,No-Attraction Violation,0,1,The quality of Karla's work was,snatching,0.76875514,SE,intfloat/multilingual-e5-large
92,24,Olson's bulging suitcase had been packing his assistant.,Attraction Violation,1,1,Olson's bulging suitcase had been,packing,0.79787856,SE,intfloat/multilingual-e5-large
93,24,Olson's bulging suitcase had been packed for the trip.,Passive Control,1,1,Olson's bulging suitcase had been,packed,0.7905288,SE,intfloat/multilingual-e5-large
94,24,The excited vacationers had been packing their suitcases when the hurricane hit.,Active Control,1,0,The excited vacationers had been,packing,0.7697562,SE,intfloat/multilingual-e5-large
95,24,Stormy weather had been packing for the trip.,No-Attraction Violation,0,1,Stormy weather had been,packing,0.7782737,SE,intfloat/multilingual-e5-large
96,25,Several spelling errors were noticing the careful editor.,Attraction Violation,1,1,Several spelling errors were,noticing,0.8160638,SE,intfloat/multilingual-e5-large
97,25,Several spelling errors were noticed by the careful editor.,Passive Control,1,1,Several spelling errors were,noticed,0.8238681,SE,intfloat/multilingual-e5-large
98,25,Brittany's close friends were noticing changes in her personality.,Active Control,1,0,Brittany's close friends were,noticing,0.78428376,SE,intfloat/multilingual-e5-large
99,25,The final destination had been noticing too late.,No-Attraction Violation,0,1,The final destination had been,noticing,0.7911179,SE,intfloat/multilingual-e5-large
100,26,An illegal weapon had been smuggling only once.,Attraction Violation,1,1,An illegal weapon had been,smuggling,0.7994314,SE,intfloat/multilingual-e5-large
101,26,An illegal weapon had been smuggled only once.,Passive Control,1,1,An illegal weapon had been,smuggled,0.82922196,SE,intfloat/multilingual-e5-large
102,26,The drug dealer had been smuggling heroin into Canada.,Active Control,1,0,The drug dealer had been,smuggling,0.8034153,SE,intfloat/multilingual-e5-large
103,26,Cleopatra's beauty was smuggling only once.,No-Attraction Violation,0,1,Cleopatra's beauty was,smuggling,0.7551446,SE,intfloat/multilingual-e5-large
104,27,The leftover food was discarding wastefully.,Attraction Violation,1,1,The leftover food was,discarding,0.8250311,SE,intfloat/multilingual-e5-large
105,27,The leftover food was discarded wastefully.,Passive Control,1,1,The leftover food was,discarded,0.82851595,SE,intfloat/multilingual-e5-large
106,27,The campers were discarding the leftover food.,Active Control,1,0,The campers were,discarding,0.80530417,SE,intfloat/multilingual-e5-large
107,27,The sleek new building was discarding wastefully.,No-Attraction Violation,0,1,The sleek new building was,discarding,0.7837172,SE,intfloat/multilingual-e5-large
108,28,Thirty pounds of potatoes had been peeling by the cooks.,Attraction Violation,1,1,Thirty pounds of potatoes had been,peeling,0.77074975,SE,intfloat/multilingual-e5-large
109,28,Thirty pounds of potatoes had been peeled carefully.,Passive Control,1,1,Thirty pounds of potatoes had been,peeled,0.7833587,SE,intfloat/multilingual-e5-large
110,28,The bored looking cooks had been peeling potatoes for hours.,Active Control,1,0,The bored looking cooks had been,peeling,0.76906973,SE,intfloat/multilingual-e5-large
111,28,The club's rules had been peeling the sticker off the box.,No-Attraction Violation,0,1,The club's rules had been,peeling,0.7594918,SE,intfloat/multilingual-e5-large
112,29,The grimy pots and pans had been scrubbing the dishwashers.,Attraction Violation,1,1,The grimy pots and pans had been,scrubbing,0.78272766,SE,intfloat/multilingual-e5-large
113,29,The grimy pots and pans had been scrubbed by the dishwashers.,Passive Control,1,1,The grimy pots and pans had been,scrubbed,0.80107963,SE,intfloat/multilingual-e5-large
114,29,The guys in the kitchen had been scrubbing the pots and pans.,Active Control,1,0,The guys in the kitchen had been,scrubbing,0.77542865,SE,intfloat/multilingual-e5-large
115,29,The stolen artwork had been scrubbing with vigor.,No-Attraction Violation,0,1,The stolen artwork had been,scrubbing,0.7713904,SE,intfloat/multilingual-e5-large
116,30,The roast lamb had been carving by a servant.,Attraction Violation,1,1,The roast lamb had been,carving,0.7587035,SE,intfloat/multilingual-e5-large
117,30,The roast lamb had been carved by a servant.,Passive Control,1,1,The roast lamb had been,carved,0.7834511,SE,intfloat/multilingual-e5-large
118,30,The butcher had been carving the meat.,Active Control,1,0,The butcher had been,carving,0.7769598,SE,intfloat/multilingual-e5-large
119,30,Janet's houseplants were carving before dinner.,No-Attraction Violation,0,1,Janet's houseplants were,carving,0.7585687,SE,intfloat/multilingual-e5-large
120,31,Cleopatra's beauty was admiring many people.,Attraction Violation,1,1,Cleopatra's beauty was,admiring,0.81016505,SE,intfloat/multilingual-e5-large
121,31,Cleopatra's beauty was admired always.,Passive Control,1,1,Cleopatra's beauty was,admired,0.8102901,SE,intfloat/multilingual-e5-large
122,31,The men were admiring the beautiful woman from a distance.,Active Control,1,0,The men were,admiring,0.8121289,SE,intfloat/multilingual-e5-large
123,31,An illegal weapon had been admiring always.,No-Attraction Violation,0,1,An illegal weapon had been,admiring,0.77043587,SE,intfloat/multilingual-e5-large
124,32,A wet snowball had been tossing by the girls through the window.,Attraction Violation,1,1,A wet snowball had been,tossing,0.8132069,SE,intfloat/multilingual-e5-large
125,32,A wet snowball had been tossed in anger.,Passive Control,1,1,A wet snowball had been,tossed,0.8190145,SE,intfloat/multilingual-e5-large
126,32,The baseball players had been tossing the ball around the infield.,Active Control,1,0,The baseball players had been,tossing,0.8057799,SE,intfloat/multilingual-e5-large
127,32,Their secret conversation had been tossing a steak on the grill.,No-Attraction Violation,0,1,Their secret conversation had been,tossing,0.7757237,SE,intfloat/multilingual-e5-large
128,33,The sealed envelope was opening the judge.,Attraction Violation,1,1,The sealed envelope was,opening,0.8008821,SE,intfloat/multilingual-e5-large
129,33,The sealed envelope was opened without permission.,Passive Control,1,1,The sealed envelope was,opened,0.81880474,SE,intfloat/multilingual-e5-large
130,33,Tuxedoed waiters were opening bottles of champagne for the toast.,Active Control,1,0,Tuxedoed waiters were,opening,0.7672763,SE,intfloat/multilingual-e5-large
131,33,The men's faces had been opening without permission.,No-Attraction Violation,0,1,The men's faces had been,opening,0.7591825,SE,intfloat/multilingual-e5-large
132,34,The man's beard had been shaving twice a day.,Attraction Violation,1,1,The man's beard had been,shaving,0.7908933,SE,intfloat/multilingual-e5-large
133,34,The man's beard had been shaved twice a day.,Passive Control,1,1,The man's beard had been,shaved,0.81029576,SE,intfloat/multilingual-e5-large
134,34,His uncle Ralph had been shaving his beard off.,Active Control,1,0,His uncle Ralph had been,shaving,0.7747322,SE,intfloat/multilingual-e5-large
135,34,The popular amusement park is shaving twice a day.,No-Attraction Violation,0,1,The popular amusement park is,shaving,0.7630873,SE,intfloat/multilingual-e5-large
136,35,The elevator button had been pressing slowly.,Attraction Violation,1,1,The elevator button had been,pressing,0.8002756,SE,intfloat/multilingual-e5-large
137,35,The elevator button had been pressed by the attendant.,Passive Control,1,1,The elevator button had been,pressed,0.82086426,SE,intfloat/multilingual-e5-large
138,35,The attendant had been pressing the buttons.,Active Control,1,0,The attendant had been,pressing,0.7850136,SE,intfloat/multilingual-e5-large
139,35,The wheat crops had been pressing slowly.,No-Attraction Violation,0,1,The wheat crops had been,pressing,0.76598406,SE,intfloat/multilingual-e5-large
140,36,The winning lottery numbers had been announcing the TV news.,Attraction Violation,1,1,The winning lottery numbers had been,announcing,0.7877407,SE,intfloat/multilingual-e5-large
141,36,The winning lottery numbers had been announced by the TV news.,Passive Control,1,1,The winning lottery numbers had been,announced,0.81723547,SE,intfloat/multilingual-e5-large
142,36,The flight attendant had been announcing the reason for the delay.,Active Control,1,0,The flight attendant had been,announcing,0.80561244,SE,intfloat/multilingual-e5-large
143,36,The tarnished silverware was announcing on the television.,No-Attraction Violation,0,1,The tarnished silverware was,announcing,0.77714896,SE,intfloat/multilingual-e5-large
144,37,The victim's body had been identifying at the morgue.,Attraction Violation,1,1,The victim's body had been,identifying,0.7830038,SE,intfloat/multilingual-e5-large
145,37,The victim's body had been identified by the family members.,Passive Control,1,1,The victim's body had been,identified,0.798571,SE,intfloat/multilingual-e5-large
146,37,The laboratory technicians had been identifying the chemical.,Active Control,1,0,The laboratory technicians had been,identifying,0.7864482,SE,intfloat/multilingual-e5-large
147,37,The movie was identifying rare fish for the divers.,No-Attraction Violation,0,1,The movie was,identifying,0.807174,SE,intfloat/multilingual-e5-large
148,38,The hearty meal was devouring by the kids.,Attraction Violation,1,1,The hearty meal was,devouring,0.84326154,SE,intfloat/multilingual-e5-large
149,38,The hearty meal was devoured with gusto.,Passive Control,1,1,The hearty meal was,devoured,0.83845365,SE,intfloat/multilingual-e5-large
150,38,The hungry boys were devouring the plate of cookies when Jack arrived.,Active Control,1,0,The hungry boys were,devouring,0.83706963,SE,intfloat/multilingual-e5-large
151,38,The dusty tabletops were devouring with gusto.,No-Attraction Violation,0,1,The dusty tabletops were,devouring,0.822153,SE,intfloat/multilingual-e5-large
152,39,The overgrown shrubs were trimming regularly.,Attraction Violation,1,1,The overgrown shrubs were,trimming,0.79419833,SE,intfloat/multilingual-e5-large
153,39,The overgrown shrubs were trimmed by a gardener.,Passive Control,1,1,The overgrown shrubs were,trimmed,0.80094886,SE,intfloat/multilingual-e5-large
154,39,A gardener was trimming the overgrown shrubbery.,Active Control,1,0,A gardener was,trimming,0.8169144,SE,intfloat/multilingual-e5-large
155,39,The alarm clock had been trimming regularly.,No-Attraction Violation,0,1,The alarm clock had been,trimming,0.7769389,SE,intfloat/multilingual-e5-large
156,40,Wilson's unreasonable proposal was rejecting by the boss.,Attraction Violation,1,1,Wilson's unreasonable proposal was,rejecting,0.81253415,SE,intfloat/multilingual-e5-large
157,40,Wilson's unreasonable proposal was rejected at the hospital.,Passive Control,1,1,Wilson's unreasonable proposal was,rejected,0.80993736,SE,intfloat/multilingual-e5-large
158,40,The admissions committee was rejecting nearly every application.,Active Control,1,0,The admissions committee was,rejecting,0.81926745,SE,intfloat/multilingual-e5-large
159,40,The rare bird's behavior was rejecting all offers.,No-Attraction Violation,0,1,The rare bird's behavior was,rejecting,0.8034505,SE,intfloat/multilingual-e5-large
160,41,Hathaway's gigantic fortune had been inheriting by his daughters.,Attraction Violation,1,1,Hathaway's gigantic fortune had been,inheriting,0.779095,SE,intfloat/multilingual-e5-large
161,41,Hathaway's gigantic fortune had been inherited by his daughters.,Passive Control,1,1,Hathaway's gigantic fortune had been,inherited,0.7791539,SE,intfloat/multilingual-e5-large
162,41,Generations of aristocratic Englishmen have been inheriting their fortunes.,Active Control,1,0,Generations of aristocratic Englishmen have been,inheriting,0.8099544,SE,intfloat/multilingual-e5-large
163,41,The strange mystery had been inheriting the estate from her grandmother.,No-Attraction Violation,0,1,The strange mystery had been,inheriting,0.78768337,SE,intfloat/multilingual-e5-large
164,42,All of her money had been spending before the wedding.,Attraction Violation,1,1,All of her money had been,spending,0.7900502,SE,intfloat/multilingual-e5-large
165,42,All of her money had been spent before the wedding.,Passive Control,1,1,All of her money had been,spent,0.82272834,SE,intfloat/multilingual-e5-large
166,42,The shopping fanatic had been spending all her money in Bloomingdales.,Active Control,1,0,The shopping fanatic had been,spending,0.79818845,SE,intfloat/multilingual-e5-large
167,42,Patty's overgrown lawn was spending its time on the beach.,No-Attraction Violation,0,1,Patty's overgrown lawn was,spending,0.7590051,SE,intfloat/multilingual-e5-large
168,43,An appointment was scheduling by the secretary.,Attraction Violation,1,1,An appointment was,scheduling,0.8484918,SE,intfloat/multilingual-e5-large
169,43,An appointment was scheduled by the secretary.,Passive Control,1,1,An appointment was,scheduled,0.86502856,SE,intfloat/multilingual-e5-large
170,43,The secretary was scheduling new appointments for the afternoon.,Active Control,1,0,The secretary was,scheduling,0.7877351,SE,intfloat/multilingual-e5-large
171,43,The legal contract had been scheduling for next week.,No-Attraction Violation,0,1,The legal contract had been,scheduling,0.78147274,SE,intfloat/multilingual-e5-large
172,44,The men's faces had been photographing by a security camera.,Attraction Violation,1,1,The men's faces had been,photographing,0.7598538,SE,intfloat/multilingual-e5-large
173,44,The men's faces had been photographed by a security camera.,Passive Control,1,1,The men's faces had been,photographed,0.7864954,SE,intfloat/multilingual-e5-large
174,44,The intrusive reporter had been photographing the celebrities at the party.,Active Control,1,0,The intrusive reporter had been,photographing,0.79976505,SE,intfloat/multilingual-e5-large
175,44,The sealed envelope was photographing at the party.,No-Attraction Violation,0,1,The sealed envelope was,photographing,0.78212833,SE,intfloat/multilingual-e5-large
176,45,The broken television had been repairing the technician.,Attraction Violation,1,1,The broken television had been,repairing,0.7989232,SE,intfloat/multilingual-e5-large
177,45,The broken television had been repaired by the technician.,Passive Control,1,1,The broken television had been,repaired,0.81438726,SE,intfloat/multilingual-e5-large
178,45,The competent technician had been repairing the television.,Active Control,1,0,The competent technician had been,repairing,0.80768126,SE,intfloat/multilingual-e5-large
179,45,Larry's note had been repairing the computer's hard drive.,No-Attraction Violation,0,1,Larry's note had been,repairing,0.7518955,SE,intfloat/multilingual-e5-large
180,46,The alarm clock had been unplugging accidentally.,Attraction Violation,1,1,The alarm clock had been,unplugging,0.8030324,SE,intfloat/multilingual-e5-large
181,46,The alarm clock had been unplugged late.,Passive Control,1,1,The alarm clock had been,unplugged,0.79702806,SE,intfloat/multilingual-e5-large
182,46,The frantic woman had been unplugging every electrical device in the house.,Active Control,1,0,The frantic woman had been,unplugging,0.77374864,SE,intfloat/multilingual-e5-large
183,46,The overgrown shrubs were unplugging accidentally.,No-Attraction Violation,0,1,The overgrown shrubs were,unplugging,0.78561956,SE,intfloat/multilingual-e5-large
184,47,The car door had been unlocking late at night.,Attraction Violation,1,1,The car door had been,unlocking,0.79097396,SE,intfloat/multilingual-e5-large
185,47,The car door had been unlocked by the child.,Passive Control,1,1,The car door had been,unlocked,0.80861145,SE,intfloat/multilingual-e5-large
186,47,The babysitter had been unlocking the back door.,Active Control,1,0,The babysitter had been,unlocking,0.78492683,SE,intfloat/multilingual-e5-large
187,47,The Queen's 80th birthday was unlocking late at night.,No-Attraction Violation,0,1,The Queen's 80th birthday was,unlocking,0.75770175,SE,intfloat/multilingual-e5-large
188,48,The portrait of Napoleon had been painting by a Dutch artist.,Attraction Violation,1,1,The portrait of Napoleon had been,painting,0.7878973,SE,intfloat/multilingual-e5-large
189,48,The portrait of Napoleon had been painted by a Dutch artist.,Passive Control,1,1,The portrait of Napoleon had been,painted,0.8049068,SE,intfloat/multilingual-e5-large
190,48,The French Impressionist artists had been painting with a focus on light and color.,Active Control,1,0,The French Impressionist artists had been,painting,0.7867624,SE,intfloat/multilingual-e5-large
191,48,A new medication had been painting on Tuesday.,No-Attraction Violation,0,1,A new medication had been,painting,0.76387143,SE,intfloat/multilingual-e5-large
192,49,The embarrassing allegations had been denying by the mayor.,Attraction Violation,1,1,The embarrassing allegations had been,denying,0.82117,SE,intfloat/multilingual-e5-large
193,49,The embarrassing allegations had been denied by the mayor.,Passive Control,1,1,The embarrassing allegations had been,denied,0.7950522,SE,intfloat/multilingual-e5-large
194,49,The embarassed mayor had been denying allegations of corruption.,Active Control,1,0,The embarassed mayor had been,denying,0.79000926,SE,intfloat/multilingual-e5-large
