"","Tar","Item","Condition","Completion","Part","Cloze","Cloze_Balanced","Association_Noun","Association_Verb","Association_MainVerb","article","target","context","lp_benjamin_gerpt2","s_lp"
"47","Bier",12,"C","das zuvor gebraut wurde.",0,0,1,3.9,1.2,1.1,"das","Bier","Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das",-7.39117908477783,-0.490111973630064
"48","Bier",12,"D","das zuvor gebraut wurde.",0,0,1,1.8,2.3,1.1,"das","Bier","Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte, das",-7.28056240081787,-0.447559564291257
"49","Rasen",13,"A","hinter der Villa.",0,0.92,1,7,5.6,6.8,"den","Rasen","Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den",-3.49740695953369,1.00775778176233
"50","Rasen",13,"B","hinter der Villa.",0,0.92,1,2.2,1.9,6.8,"den","Rasen","Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den",-2.91079783439636,1.23341661297226
"51","Rasen",13,"C","hinter der Villa.",0,0,1,7,5.6,1.4,"den","Rasen","Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den",-3.86616158485413,0.865903974538336
"52","Rasen",13,"D","hinter der Villa.",0,0,1,2.2,1.9,1.4,"den","Rasen","Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den",-3.00568318367004,1.19691578797907
"53","Straße",14,"A","und den Bürgersteig.",1,0.42,1,6.5,5.1,6.8,"die","Straße","Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging, die",-5.88753890991211,0.0883135398514355
"54","Straße",14,"B","und den Bürgersteig.",1,0.42,1,5.7,2,6.8,"die","Straße","Achtsam pflasterte der Bauarbeiter, der die Steine schleppte, die",-5.977370262146,0.0537569039546436
"55","Straße",14,"C","und den Bürgersteig.",1,0.08,1,6.5,5.1,2,"die","Straße","Achtsam salzte der Bauarbeiter, der die Absperrungen umging, die",-6.20119285583496,-0.032343947065024
"56","Straße",14,"D","und den Bürgersteig.",1,0,1,5.7,2,2,"die","Straße","Achtsam salzte der Bauarbeiter, der die Steine schleppte, die",-6.39156532287598,-0.105577087441027
"57","Glocken",15,"A","und freute sich.",0,1,1,6.7,1.1,7,"die","Glocken","Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte, die",-2.01768755912781,1.5769813688248
"58","Glocken",15,"B","und freute sich.",0,0.92,1,2.2,1.1,7,"die","Glocken","Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die",-4.33513498306274,0.685497662441621
"59","Glocken",15,"C","und freute sich.",0,0,1,6.7,1.1,1,"die","Glocken","Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte, die",-4.73850917816162,0.530326279137707
"60","Glocken",15,"D","und freute sich.",0,0,1,2.2,1.1,1,"die","Glocken","Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die",-6.97042083740234,-0.328253232850225
"61","Wunde",16,"A","mit fünf Stichen.",0,0.92,1,6.7,3.3,5.8,"die","Wunde","Rasch näht der Notarzt, der den Verletzten betreut, die",-7.4599552154541,-0.516569013929113
"62","Wunde",16,"B","mit fünf Stichen.",0,0.92,1,3.2,1.8,5.8,"die","Wunde","Rasch näht der Notarzt, der den Ohrring trägt, die",-6.81211376190186,-0.267355118417827
"63","Wunde",16,"C","mit fünf Stichen.",0,0,1,6.7,3.3,2,"die","Wunde","Rasch versteckt der Notarzt, der den Verletzten betreut, die",-7.58400630950928,-0.564289418701628
"64","Wunde",16,"D","mit fünf Stichen.",0,0,1,3.2,1.8,2,"die","Wunde","Rasch versteckt der Notarzt, der den Ohrring trägt, die",-7.12000846862793,-0.385797121240855
"65","Hemd",17,"A","und die Hose.",0,0.75,1,6.4,1.5,6.9,"das","Hemd","Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das",-4.25464630126953,0.716460327495344
"66","Hemd",17,"B","und die Hose.",0,0.67,1,1.4,1.2,6.9,"das","Hemd","Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das",-6.22742891311646,-0.0424365245037277
"67","Hemd",17,"C","und die Hose.",0,0,1,6.4,1.5,1,"das","Hemd","Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das",-4.47829627990723,0.630425878631813
"68","Hemd",17,"D","und die Hose.",0,0,1,1.4,1.2,1,"das","Hemd","Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das",-6.6466760635376,-0.203713971270313
"69","Auto",18,"A","und übergibt es an den Kunden.",1,0.58,0,7,3.5,6.3,"das","Auto","Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das",-2.18603515625,1.51222083173854
"70","Auto",18,"B","und übergibt es an den Kunden.",1,0.75,0,5,3.1,6.3,"das","Auto","Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat, das",-1.70161843299866,1.69856793563306
"71","Auto",18,"C","und übergibt es an den Kunden.",1,0,0,7,3.5,1.1,"das","Auto","Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das",-2.14171314239502,1.52927077763061
"72","Auto",18,"D","und übergibt es an den Kunden.",1,0,0,5,3.1,1.1,"das","Auto","Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat, das",-1.75767135620117,1.67700530287856
"73","Teig",19,"A","für das Brot.",2,1,1,6.9,6.9,6.6,"den","Teig","Am Morgen knetet die Bäckerin, die den Kuchen backt, den",-4.14665174484253,0.758004047727529
"74","Teig",19,"B","für das Brot.",2,1,1,1.5,1,6.6,"den","Teig","Am Morgen knetet die Bäckerin, die den Stammgast begrüßt, den",-6.52748489379883,-0.157863099026383
"75","Teig",19,"C","für das Brot.",2,0,1,6.9,6.9,1.2,"den","Teig","Am Morgen hört die Bäckerin, die den Kuchen backt, den",-4.1135082244873,0.770753811999934
"76","Teig",19,"D","für das Brot.",2,0,1,1.5,1,1.2,"den","Teig","Am Morgen hört die Bäckerin, die den Stammgast begrüßt, den",-6.51838445663452,-0.15436231131955
"77","Steak",20,"A","und die Beilagen.",0,0.67,0,4.7,2.4,6.5,"das","Steak","Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet, das",-6.77107667922974,-0.251568831237436
"78","Steak",20,"B","und die Beilagen.",0,0.83,0,1.4,1.1,6.5,"das","Steak","Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht, das",-7.9244327545166,-0.695245843348653
"79","Steak",20,"C","und die Beilagen.",0,0,0,4.7,2.4,1.4,"das","Steak","Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet, das",-6.78953695297241,-0.258670193316678
"80","Steak",20,"D","und die Beilagen.",0,0,0,1.4,1.1,1.4,"das","Steak","Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht, das",-7.86399030685425,-0.671994633112602
"81","Feuer",21,"A","und rennt weg.",0,0.58,0,6.6,1.5,6.8,"das","Feuer","Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat, das",-2.16011309623718,1.52219261961974
"82","Feuer",21,"B","und rennt weg.",0,1,0,3.3,3,6.8,"das","Feuer","Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist, das",-3.90015196800232,0.852828436151845
"83","Feuer",21,"C","und rennt weg.",0,0,0,6.6,1.5,1.6,"das","Feuer","Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat, das",-2.87183785438538,1.24840387310256
"84","Feuer",21,"D","und rennt weg.",0,0,0,3.3,3,1.6,"das","Feuer","Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist, das",-4.21920585632324,0.730093680679659
"85","Haare",22,"A","und holt den Föhn.",0,0.92,1,6.5,3.9,6.8,"die","Haare","Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat, die",-1.50946402549744,1.77248655904079
"86","Haare",22,"B","und holt den Föhn.",0,1,1,1,1,6.8,"die","Haare","Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat, die",-3.58950591087341,0.972328837982912
"87","Haare",22,"C","und holt den Föhn.",0,0.17,1,6.5,3.9,1.2,"die","Haare","Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat, die",-0.944065690040588,1.98998595016834
"88","Haare",22,"D","und holt den Föhn.",0,0,1,1,1,1.2,"die","Haare","Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat, die",-2.73534440994263,1.30091064434236
"89","Bleistift",23,"A","und machte sich wieder an die Arbeit.",0,1,1,6,3.3,6.7,"den","Bleistift","Flink spitzte der Zeichner, der die Karikatur entwarf, den",-5.14353370666504,0.374520039860339
"90","Bleistift",23,"B","und machte sich wieder an die Arbeit.",0,1,1,2.3,1.6,6.7,"den","Bleistift","Flink spitzte der Zeichner, der den Atlas öffnete, den",-6.19355630874634,-0.0294062936657612
"91","Bleistift",23,"C","und machte sich wieder an die Arbeit.",0,0,1,6,3.3,1.3,"den","Bleistift","Flink knotete der Zeichner, der die Karikatur entwarf, den",-5.24729919433594,0.334603172453509
"92","Bleistift",23,"D","und machte sich wieder an die Arbeit.",0,0,1,2.3,1.6,1.3,"den","Bleistift","Flink knotete der Zeichner, der den Atlas öffnete, den",-6.30907535552979,-0.0738445609251312
"93","Patienten",24,"A","gegen Tetanus.",0,0.25,0,6.7,2,6.5,"den","Patienten","Heute impft der Arzt, nachdem er die Spritze befüllt hat, den",-4.16597080230713,0.750572325749937
"94","Patienten",24,"B","gegen Tetanus.",0,0.42,0,2.1,1.3,6.5,"den","Patienten","Heute impft der Arzt, nachdem er die Schublade geschlossen hat, den",-5.61445426940918,0.193364685762008
"95","Patienten",24,"C","gegen Tetanus.",0,0,0,6.7,2,1.5,"den","Patienten","Heute feuert der Arzt, nachdem er die Spritze befüllt hat, den",-2.42969083786011,1.41849051972383
"96","Patienten",24,"D","gegen Tetanus.",0,0,0,2.1,1.3,1.5,"den","Patienten","Heute feuert der Arzt, nachdem er die Schublade geschlossen hat, den",-3.63453793525696,0.955005762780104
"97","Leiche",25,"A","in der Leichenhalle.",0,0.75,1,6.6,1.5,7,"die","Leiche","Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat, die",-7.24860954284668,-0.435267828151101
"98","Leiche",25,"B","in der Leichenhalle.",0,0.75,1,2.6,1.2,7,"die","Leiche","Unverzüglich obduziert der Pathologe, nachdem er das Dokument unterschrieben hat, die",-8.75252342224121,-1.01379863123929
"99","Leiche",25,"C","in der Leichenhalle.",0,0,1,6.6,1.5,1.2,"die","Leiche","Unverzüglich pfeffert der Pathologe, nachdem er die Mordakte gelesen hat, die",-7.34208011627197,-0.471224412267885
"100","Leiche",25,"D","in der Leichenhalle.",0,0,1,2.6,1.2,1.2,"die","Leiche","Unverzüglich pfeffert der Pathologe, nachdem er das Dokument unterschrieben hat, die",-9.0710973739624,-1.13634876303703
"101","Buch",26,"A","für den Fan.",1,1,1,6.7,3.3,6.7,"das","Buch","Am Nachmittag signiert der Autor, der die Geschichte erfunden hat, das",-2.90585875511169,1.23531659510835
"102","Buch",26,"B","für den Fan.",1,0.92,1,1.8,1.5,6.7,"das","Buch","Am Nachmittag signiert der Autor, der den Vorhang zugezogen hat, das",-3.62798833847046,0.957525284370211
"103","Buch",26,"C","für den Fan.",1,0,1,6.7,3.3,1.3,"das","Buch","Am Nachmittag schluckt der Autor, der die Geschichte erfunden hat, das",-2.59430694580078,1.35516542482777
"104","Buch",26,"D","für den Fan.",1,0,1,1.8,1.5,1.3,"das","Buch","Am Nachmittag schluckt der Autor, der den Vorhang zugezogen hat, das",-3.03824067115784,1.18439146086106
"105","Gäste",27,"A","und überreichte ihnen die Schlüssel.",2,1,1,4.7,1.4,6.5,"die","Gäste","Sofort begrüßte der Hotelier, der die Koffer stapelte, die",-5.35715007781982,0.292345353895796
"106","Gäste",27,"B","und überreichte ihnen die Schlüssel.",2,0.92,1,1.4,1.6,6.5,"die","Gäste","Sofort begrüßte der Hotelier, der die Fische räucherte, die",-6.16905117034912,-0.0199795721021324
"107","Gäste",27,"C","und überreichte ihnen die Schlüssel.",2,0,1,4.7,1.4,1.9,"die","Gäste","Sofort feuerte der Hotelier, der die Koffer stapelte, die",-5.84943008422852,0.102973374985315
"108","Gäste",27,"D","und überreichte ihnen die Schlüssel.",2,0,1,1.4,1.6,1.9,"die","Gäste","Sofort feuerte der Hotelier, der die Fische räucherte, die",-6.81231784820557,-0.267433627044419
"109","Baum",28,"A","neben der Schule.",0,0.92,1,5.9,1.3,7,"den","Baum","Vorsichtig fällt der Holzarbeiter, der die Säge gestartet hat, den",-3.36418032646179,1.05900786468253
"110","Baum",28,"B","neben der Schule.",0,0.83,1,2.8,1.9,7,"den","Baum","Vorsichtig fällt der Holzarbeiter, der den Transporter geparkt hat, den",-5.93834972381592,0.0687674598690036
"111","Baum",28,"C","neben der Schule.",0,0,1,5.9,1.3,1.3,"den","Baum","Vorsichtig durchwühlt der Holzarbeiter, der die Säge gestartet hat, den",-3.62994909286499,0.956771014574534
"112","Baum",28,"D","neben der Schule.",0,0,1,2.8,1.9,1.3,"den","Baum","Vorsichtig durchwühlt der Holzarbeiter, der den Transporter geparkt hat, den",-5.81885290145874,0.114735911621452
"113","Zigarre",29,"A","und schlenderte über den Marktplatz.",2,1,1,6.2,3.2,6.9,"die","Zigarre","Langsam paffte der Kubaner, der den Rauchring blies, die",-5.41202510334551,0.271235838901731
"114","Zigarre",29,"B","und schlenderte über den Marktplatz.",2,1,1,2,1.3,6.9,"die","Zigarre","Langsam paffte der Kubaner, der die Straßenbahn verpasste, die",-9.42525817081332,-1.272588565749
"115","Zigarre",29,"C","und schlenderte über den Marktplatz.",2,0.08,1,6.2,3.2,1.5,"die","Zigarre","Langsam öffnete der Kubaner, der den Rauchring blies, die",-6.49811090156436,-0.146563409895144
"116","Zigarre",29,"D","und schlenderte über den Marktplatz.",2,0.08,1,2,1.3,1.5,"die","Zigarre","Langsam öffnete der Kubaner, der die Straßenbahn verpasste, die",-9.69847829453647,-1.37769182981426
"117","Schnitzel",30,"A","für das Gericht.",0,0.58,0,6,1.2,6.5,"das","Schnitzel","Fröhlich paniert der Koch, nachdem er die Bratkartoffeln geschält hat, das",-7.35685062408447,-0.476906382401857
"118","Schnitzel",30,"B","für das Gericht.",0,0.83,0,1.3,1.5,6.5,"das","Schnitzel","Fröhlich paniert der Koch, nachdem er die Ärmel hochgekrempelt hat, das",-10.0092935562134,-1.49725732183725
"119","Schnitzel",30,"C","für das Gericht.",0,0,0,6,1.2,1,"das","Schnitzel","Fröhlich baut der Koch, nachdem er die Bratkartoffeln geschält hat, das",-6.78836297988892,-0.258218585282398
"120","Schnitzel",30,"D","für das Gericht.",0,0,0,1.3,1.5,1,"das","Schnitzel","Fröhlich baut der Koch, nachdem er die Ärmel hochgekrempelt hat, das",-9.6711311340332,-1.36717182933757
"121","Kuchen",31,"A","für die Geburtstagsfeier.",1,0.92,0,6.9,5.3,5.9,"den","Kuchen","Umsichtig glasiert der Konditor, der die Backform eingefettet hat, den",-2.31099820137024,1.46414961446986
"122","Kuchen",31,"B","für die Geburtstagsfeier.",1,0.42,0,5.4,1.6,5.9,"den","Kuchen","Umsichtig glasiert der Konditor, der den Tisch abgewischt hat, den",-2.95487666130066,1.21646021707916
"123","Kuchen",31,"C","für die Geburtstagsfeier.",1,0,0,6.9,5.3,1.2,"den","Kuchen","Umsichtig durchsucht der Konditor, der die Backform eingefettet hat, den",-2.09450340270996,1.54743158390269
"124","Kuchen",31,"D","für die Geburtstagsfeier.",1,0,0,5.4,1.6,1.2,"den","Kuchen","Umsichtig durchsucht der Konditor, der den Tisch abgewischt hat, den",-2.7832407951355,1.2824856968967
"125","Kette",32,"A","und die Bremsen.",0,0.83,0,4.9,2,6.8,"die","Kette","Gestern ölte der Fahrradfahrer, bevor er die Bremse einstellte, die",-6.33335971832275,-0.0831863537641982
"126","Kette",32,"B","und die Bremsen.",0,0.58,0,1.2,1.1,6.8,"die","Kette","Gestern ölte der Fahrradfahrer, bevor er die Limonade trank, die",-7.91649913787842,-0.692193912205541
"127","Kette",32,"C","und die Bremsen.",0,0,0,4.9,2,1.4,"die","Kette","Gestern beheizte der Fahrradfahrer, bevor er die Bremse einstellte, die",-6.68650054931641,-0.21903379247541
"128","Kette",32,"D","und die Bremsen.",0,0,0,1.2,1.1,1.4,"die","Kette","Gestern beheizte der Fahrradfahrer, bevor die Limonade trank, die",-8.02395534515381,-0.733530538420382
"129","Brief",33,"A","an die Agentur.",0,0.92,1,6.8,1.3,6.6,"den","Brief","Hastig frankiert der Postbeamte, der das Postamt aufgeschlossen hat, den",-3.35335159301758,1.0631734993919
"130","Brief",33,"B","an die Agentur.",0,1,1,1.5,3.7,6.6,"den","Brief","Hastig frankiert der Postbeamte, der das Mittagessen bestellt hat, den",-4.34406614303589,0.682061992871331
"131","Brief",33,"C","an die Agentur.",0,0,1,6.8,1.3,2.2,"den","Brief","Hastig umgeht der Postbeamte, der das Postamt aufgeschlossen hat, den",-3.668377161026,0.941988372138075
"132","Brief",33,"D","an die Agentur.",0,0,1,1.5,3.7,2.2,"den","Brief","Hastig umgeht der Postbeamte, der das Mittagessen bestellt hat, den",-4.57839488983154,0.591919598464467
"133","Berg",34,"A","und stellt sein Zelt auf.",1,0.75,0,6.4,3.2,6.8,"den","Berg","Fröhlich erklimmt der Wanderer, nachdem er das Tal durchquert hat, den",-2.2240104675293,1.49761235738841
"134","Berg",34,"B","und stellt sein Zelt auf.",1,0.92,0,1.4,1.5,6.8,"den","Berg","Fröhlich erklimmt der Wanderer, nachdem er die Stoppuhr gestartet hat, den",-3.09833383560181,1.16127461410393
"135","Berg",34,"C","und stellt sein Zelt auf.",1,0,0,6.4,3.2,1.5,"den","Berg","Fröhlich kauft der Wanderer, nachdem er das Tal durchquert hat, den",-2.77878594398499,1.284199404476
"136","Berg",34,"D","und stellt sein Zelt auf.",1,0,0,1.4,1.5,1.5,"den","Berg","Fröhlich kauft der Wanderer, nachdem er die Stoppuhr gestartet hat, den",-4.13906383514404,0.760922991126996
"137","Befehl",35,"A","zum Abmarsch.",0,0.92,0,6,7,6.6,"den","Befehl","Bedächtig erteilt der General, der die Rekruten kommandiert, den",-3.82541847229004,0.881577176278786
