"","ItemNum","Condition","context","target","continuation","lp_GroNLP_gpt2_small_dutch","s_lp"
"111",37,"script-unrelated","Bernd betrad de kiosk. Snel koos hij het","wasprogramma","en zette de machine aan.",-19.0422973632812,-2.24261208642374
"112",38,"control","Nicole ging naar het circus. Al snel ging ze op de","tribune","zitten en bekeek het spektakel.",-6.40169239044189,0.43935046287403
"113",38,"script-related","Nicole verliet het circus. Al snel ging ze op de","tribune","zitten en bekeek het spektakel.",-7.08976078033447,0.293362699075333
"114",38,"script-unrelated","Nicole ging naar het kantoor. Al snel ging ze op de","tribune","zitten en bekeek het spektakel.",-9.42643451690674,-0.202410364388007
"115",39,"control","Viktor ging naar de sauna. Na een tijdje maakte hij een","opgieting","en ging liggen.",-29.6538195610046,-4.49406327776205
"116",39,"script-related","Viktor verliet de sauna. Na een tijdje maakte hij een","opgieting","en ging liggen.",-29.454306602478,-4.45173252824351
"117",39,"script-unrelated","Viktor ging naar het lab. Na een tijdje maakte hij een","opgieting","en ging liggen.",-29.6166834831238,-4.48618410027661
"118",40,"control","Gabi ging naar de dierenarts. Een moment later vroeg ze de","assistente","om medicijnen.",-5.13127422332764,0.708895627323752
"119",40,"script-related","Gabi verliet de dierenarts. Een moment later vroeg ze de","assistente","om medicijnen.",-5.49588441848755,0.6315361266818
"120",40,"script-unrelated","Gabi ging naar de kleedkamer. Een moment later vroeg ze de","assistente","om medicijnen.",-7.59631299972534,0.185887298602881
"121",41,"control","Jakob betrad de plaats delict. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd.",-16.1167659759521,-1.6219008440053
"122",41,"script-related","Jakob verliet de plaats delict. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd.",-16.9203107357025,-1.79238927845646
"123",41,"script-unrelated","Jakob betrad het tankstation. Kort daarna fotografeerde hij de","bloedspatten","en was verbaasd.",-16.8163661956787,-1.77033532105911
"124",42,"control","Peter begon bomen te kappen. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam.",-6.04304027557373,0.515445835078894
"125",42,"script-related","Peter stopte met bomen kappen. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam.",-6.54263591766357,0.409446414579927
"126",42,"script-unrelated","Peter begon de koets te rijden. Na een tijdje gebruikte hij de","bijl","en raakte gericht de stam.",-8.11076164245605,0.0767365106219698
"127",43,"control","Tom begon een kampvuur. Meteen stapelde hij het","hout","en stak het aan.",-3.40038371086121,1.07613940571445
"128",43,"script-related","Tom beëindigde het kampvuur. Meteen stapelde hij het","hout","en stak het aan.",-4.03994655609131,0.940443084018215
"129",43,"script-unrelated","Tom begon ontbijt te maken. Meteen stapelde hij het","hout","en stak het aan.",-6.18921089172363,0.484432753097125
"130",44,"control","Kim ging naar de kerstmarkt. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus.",-15.0421881973743,-1.39390721833266
"131",44,"script-related","Kim verliet de kerstmarkt. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus.",-16.6574095487595,-1.73660942147476
"132",44,"script-unrelated","Kim ging naar het ziekenhuis. Kort daarna bereikte hij de","kerstkraampjes","en snuffelde naar cadeaus.",-22.2203830480576,-2.91690788186579
"133",45,"control","Michael begon zijn lunch te koken. Snel sneed hij de","groenten","en gooide het in de pot.",-4.86041879653931,0.766363138766537
"134",45,"script-related","Michael was klaar met zijn lunch koken. Snel sneed hij de","groenten","en gooide het in de pot.",-5.22375154495239,0.68927467454579
"135",45,"script-unrelated","Michael begon een taart te bakken. Snel sneed hij de","groenten","en gooide het in de pot.",-6.76894569396973,0.361430172802163
"136",46,"control","Johan betrad het appartement. Meteen ging hij op het","bed","zitten en dacht na over de dag.",-1.19800567626953,1.54341889280091
"137",46,"script-related","Johan verliet het appartement. Meteen ging hij op het","bed","zitten en dacht na over de dag.",-1.38290464878082,1.50418879892926
"138",46,"script-unrelated","Johan betrad de bioscoop. Meteen ging hij op het","bed","zitten en dacht na over de dag.",-3.56209373474121,1.04182932096581
"139",47,"control","Sabine betrad de school. Snel liep ze naar het","klaslokaal","en groette de leerlingen.",-6.08268704265356,0.507033963595107
"140",47,"script-related","Sabine verliet de school. Snel liep ze naar het","klaslokaal","en groette de leerlingen.",-6.79369421303272,0.356179268955381
"141",47,"script-unrelated","Sabine betrad de boerderij. Snel liep ze naar het","klaslokaal","en groette de leerlingen.",-10.8666095519438,-0.50797291591955
"142",48,"control","Kevin betrad de kerk. Voorzichtig pakte hij een","kaars","en stak hem aan.",-4.20727396011353,0.904941157328546
"143",48,"script-related","Kevin verliet de kerk. Voorzichtig pakte hij een","kaars","en stak hem aan.",-4.91567230224609,0.75463997889077
"144",48,"script-unrelated","Kevin betrad de huisartsenpraktijk. Voorzichtig pakte hij een","kaars","en stak hem aan.",-6.59618854522705,0.398084130745384
"145",49,"control","Susi betrad het verblijf. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen.",-9.93019580841064,-0.309293612500132
"146",49,"script-related","Susi verliet het verblijf. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen.",-10.1654214859009,-0.359201544835455
"147",49,"script-unrelated","Susi betrad de bibliotheek. Nauwkeurig beoordeelde ze het","kalf","en maakte aantekeningen.",-11.5589208602905,-0.654860901536594
"148",50,"control","Thomas betrad de kroeg. Haastig riep hij de","ober","en bestelde een biertje.",-2.92543506622314,1.17690946225019
"149",50,"script-related","Thomas verliet de kroeg. Haastig riep hij de","ober","en bestelde een biertje.",-3.4542543888092,1.06470964099415
"150",50,"script-unrelated","Thomas begon spaghetti te koken. Haastig riep hij de","ober","en bestelde een biertje.",-1.33194088935852,1.51500180150593
"151",51,"control","Lea begon de muren te verven. Ze koos snel een","kwast","uit en begon te verven.",-6.22008323669434,0.477882554495212
"152",51,"script-related","Lea was klaar met de muren verven. Ze koos snel een","kwast","uit en begon te verven.",-6.02614593505859,0.519030314512753
"153",51,"script-unrelated","Lea bereikte het theater. Ze koos snel een","kwast","uit en begon te verven.",-12.0049095153809,-0.749486504736286
"154",52,"control","Peter bereikte de supermarkt. Snel kocht hij wat","groenten","om 's avonds te koken.",-5.11657905578613,0.712013507289676
"155",52,"script-related","Peter verliet de supermarkt. Snel kocht hij wat","groenten","om 's avonds te koken.",-5.29367780685425,0.674438389729032
"156",52,"script-unrelated","Peter bereikte het station. Snel kocht hij wat","groenten","om 's avonds te koken.",-6.59284019470215,0.398794551704587
"157",53,"control","Lisa betrad het huis. Kort daarna checkte ze de","koelkast","en zocht iets te eten.",-6.21584033966064,0.478782771768779
"158",53,"script-related","Lisa verliet het huis. Kort daarna checkte ze de","koelkast","en zocht iets te eten.",-7.16361999511719,0.277691957968131
"159",53,"script-unrelated","Lisa begon in de sportschool te trainen. Kort daarna checkte ze de","koelkast","en zocht iets te eten.",-8.96180725097656,-0.103830199175595
"160",54,"control","Tim begon zijn rijles. Gejaagd drukte hij op het","gaspedaal","en reed weg.",-2.70362234115601,1.22397156274823
"161",54,"script-related","Tim beëindigde zijn rijles. Gejaagd drukte hij op het","gaspedaal","en reed weg.",-2.48939538002014,1.26942418847705
"162",54,"script-unrelated","Tim ging naar het vliegveld. Gejaagd drukte hij op het","gaspedaal","en reed weg.",-2.69710826873779,1.22535365627197
"163",55,"control","Maria bereikte het winkelcentrum. Meteen begroette ze de","verkoopster","en koos iets uit.",-4.71497917175293,0.797221125998881
"164",55,"script-related","Maria verliet het winkelcentrum. Meteen begroette ze de","verkoopster","en koos iets uit.",-5.31581592559814,0.669741335631494
"165",55,"script-unrelated","Maria bereikte het verjaardagsfeest. Meteen begroette ze de","verkoopster","en koos iets uit.",-8.11020851135254,0.0768538686841566
"166",56,"control","Lukas begon het college. Haastig begroette hij zijn","studenten","en begon.",-3.8996365070343,0.970212726979892
"167",56,"script-related","Lukas beëindigde het college. Haastig begroette hij zijn","studenten","en begon.",-4.05903148651123,0.936393826189799
"168",56,"script-unrelated","Lukas ging naar de kapper. Haastig begroette hij zijn","studenten","en begon.",-9.49901962280273,-0.217810777269207
"169",57,"control","Marie ging naar de uni. Haastig betrad ze de","collegezaal","en opende haar boek.",-8.39014720916748,0.0174591557529277
"170",57,"script-related","Marie verliet de uni. Haastig betrad ze de","collegezaal","en opende haar boek.",-8.70213168859482,-0.0487347243330452
"171",57,"script-unrelated","Marie ging douchen. Haastig betrad ze de","collegezaal","en opende haar boek.",-10.7963560037315,-0.493067190626682
"172",58,"control","Thorsten begon te barbecueën. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang.",-12.4619795084,-0.846463240131386
"173",58,"script-related","Thorsten stopte met barbecueën. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang.",-12.8522549271584,-0.929268142212461
"174",58,"script-unrelated","Thorsten betrad de bloemenwinkel. Voorzichtig plaatste hij de","aanmaakblokjes","en zocht de tang.",-12.3001792430878,-0.812134008819582
"175",59,"control","Claudia betrad de dierenwinkel. Een tijdje stond ze bij de","kooi","en dacht na over de koop.",-9.7963171005249,-0.280888509938235
"176",59,"script-related","Claudia verliet de dierenwinkel. Een tijdje stond ze bij de","kooi","en dacht na over de koop.",-8.86841773986816,-0.0840157067657671
"177",59,"script-unrelated","Claudia betrad de begraafplaats. Een tijdje stond ze bij de","kooi","en dacht na over de koop.",-10.7710742950439,-0.487703159709812
"178",60,"control","Jonathan ging naar de keuken. Eerst reinigde hij de","oven","en daarna de koelkast.",-3.00042247772217,1.16099935116443
"179",60,"script-related","Jonathan verliet de keuken. Eerst reinigde hij de","oven","en daarna de koelkast.",-3.49917197227478,1.05517945814938
"180",60,"script-unrelated","Jonathan ging de tuin in. Eerst reinigde hij de","oven","en daarna de koelkast.",-5.01749658584595,0.733035877203338
"181",61,"control","Lara liep naar het fornuis. Snel reinigde ze de","kookplaat","en daarna de afzuigkap.",-5.97542607784271,0.529791568254248
"182",61,"script-related","Lara liep weg van het fornuis. Snel reinigde ze de","kookplaat","en daarna de afzuigkap.",-6.54279696941376,0.409412244161389
"183",61,"script-unrelated","Lara ging naar het museum. Snel reinigde ze de","kookplaat","en daarna de afzuigkap.",-8.94367051124573,-0.0999821193701599
"184",62,"control","Roman ging naar de boekhandel. Snel zocht hij een","roman","voor zijn vrouw.",-8.4636869430542,0.00185619904371238
"185",62,"script-related","Roman verliet de boekhandel. Snel zocht hij een","roman","voor zijn vrouw.",-8.17745685577393,0.0625857587615724
"186",62,"script-unrelated","Roman ging naar de banketbakker. Snel zocht hij een","roman","voor zijn vrouw.",-13.1092834472656,-0.983801992966464
"187",63,"control","Annika ging naar de boetiek. Ze zocht een tijdje naar","laarzen","en kocht ze toen.",-10.1123504638672,-0.347941443451609
"188",63,"script-related","Annika verliet de boetiek. Ze zocht een tijdje naar","laarzen","en kocht ze toen.",-11.492226600647,-0.640710352017683
"189",63,"script-unrelated","Annika ging naar de spa. Ze zocht een tijdje naar","laarzen","en kocht ze toen.",-9.77905082702637,-0.277225117324629
"190",64,"control","Emil betrad de apotheek. Snel kocht hij het","medicijn","en ging toen naar huis.",-3.05799746513367,1.14878364152508
"191",64,"script-related","Emil verliet de apotheek. Snel kocht hij het","medicijn","en ging toen naar huis.",-3.52644324302673,1.0493933010006
"192",64,"script-unrelated","Emil betrad de manege. Snel kocht hij het","medicijn","en ging toen naar huis.",-7.44595289230347,0.217789266734971
"193",65,"control","Susanne betrad de badkamer. Direct verwijderde ze haar","make-up","en poetste haar tanden.",-2.19657496269792,1.3315520213312
"194",65,"script-related","Susanne verliet de badkamer. Direct verwijderde ze haar","make-up","en poetste haar tanden.",-2.07841120800003,1.35662287557157
"195",65,"script-unrelated","Susanne ging naar de veiligheidscontrole. Direct verwijderde ze haar","make-up","en poetste haar tanden.",-4.24500554427505,0.896935631021514
"196",66,"control","Martin kwam bij de garage. Meteen vroeg hij naar","banden","voor de winter.",-14.1090774536133,-1.19592871378388
"197",66,"script-related","Martin verliet de garage. Meteen vroeg hij naar","banden","voor de winter.",-13.8834552764893,-1.14805836021791
"198",66,"script-unrelated","Martin kwam bij de hotelreceptie. Meteen vroeg hij naar","banden","voor de winter.",-14.9193782806396,-1.36785058591099
"199",67,"control","Jutta ging naar het postkantoor. Meteen kreeg ze het","pakket","waarop ze had gewacht.",-6.07175779342651,0.509352827065793
"200",67,"script-related","Jutta verliet het postkantoor. Meteen kreeg ze het","pakket","waarop ze had gewacht.",-6.39909696578979,0.439901135229619
"201",67,"script-unrelated","Jutta ging naar de tandarts. Meteen kreeg ze het","pakket","waarop ze had gewacht.",-7.20632314682007,0.268631612055084
"202",68,"control","Jens ging naar de douane. Snel toonde hij zijn","formulier","en keek de beambte aan.",-8.65183067321777,-0.0380623364431654
