,Unnamed: 0,Tar,Item,Condition,Completion,Part,Cloze,Cloze_Balanced,Association_Noun,Association_Verb,Association_MainVerb,article,target,context,semantic_association,implementation,model
25,26,Sieg,7,B,mit einer Party.,0,0.75,0,1.8,2.0,6.2,den,Sieg,"Am Abend feiert der Gewinner, der das Eis isst, den",0.42065817,SE,jinaai/jina-embeddings-v2-base-de
26,27,Sieg,7,C,mit einer Party.,0,0.0,0,6.8,4.4,1.8,den,Sieg,"Am Abend knabbert der Gewinner, der den Pokal erhält, den",0.5717013,SE,jinaai/jina-embeddings-v2-base-de
27,28,Sieg,7,D,mit einer Party.,0,0.0,0,1.8,2.0,1.8,den,Sieg,"Am Abend knabbert der Gewinner, der das Eis isst, den",0.41915402,SE,jinaai/jina-embeddings-v2-base-de
28,29,Fisch,8,A,für das Abendessen.,1,0.83,1,7.0,4.9,6.9,den,Fisch,"Endlich fängt der Angler, der den Köder auswarf, den",0.711872,SE,jinaai/jina-embeddings-v2-base-de
29,30,Fisch,8,B,für das Abendessen.,1,0.83,1,2.0,1.2,6.9,den,Fisch,"Endlich fängt der Angler, der die Zeitung las, den",0.62882155,SE,jinaai/jina-embeddings-v2-base-de
30,31,Fisch,8,C,für das Abendessen.,1,0.0,1,7.0,4.9,1.3,den,Fisch,"Endlich baut der Angler, der den Köder auswarf, den",0.4654617,SE,jinaai/jina-embeddings-v2-base-de
31,32,Fisch,8,D,für das Abendessen.,1,0.0,1,2.0,1.2,1.3,den,Fisch,"Endlich baut der Angler, der die Zeitung las, den",0.46073744,SE,jinaai/jina-embeddings-v2-base-de
32,33,Unkraut,9,A,und leerte den Kompost.,0,0.83,0,6.7,3.3,6.9,das,Unkraut,"Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte, das",0.4812946,SE,jinaai/jina-embeddings-v2-base-de
33,34,Unkraut,9,B,und leerte den Kompost.,0,0.67,0,3.3,1.4,6.9,das,Unkraut,"Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss, das",0.517738,SE,jinaai/jina-embeddings-v2-base-de
34,35,Unkraut,9,C,und leerte den Kompost.,0,0.0,0,6.7,3.3,1.2,das,Unkraut,"Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte, das",0.5633206,SE,jinaai/jina-embeddings-v2-base-de
35,36,Unkraut,9,D,und leerte den Kompost.,0,0.0,0,3.3,1.4,1.2,das,Unkraut,"Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss, das",0.47571662,SE,jinaai/jina-embeddings-v2-base-de
36,37,Klassenzimmer,10,A,und nimmt ein Stück Kreide.,1,0.75,1,6.8,3.7,5.5,das,Klassenzimmer,"Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt, das",0.23056293,SE,jinaai/jina-embeddings-v2-base-de
37,38,Klassenzimmer,10,B,und nimmt ein Stück Kreide.,1,0.75,1,1.9,2.6,5.5,das,Klassenzimmer,"Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt, das",0.543791,SE,jinaai/jina-embeddings-v2-base-de
38,39,Klassenzimmer,10,C,und nimmt ein Stück Kreide.,1,0.0,1,6.8,3.7,4.7,das,Klassenzimmer,"Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt, das",0.552581,SE,jinaai/jina-embeddings-v2-base-de
39,40,Klassenzimmer,10,D,und nimmt ein Stück Kreide.,1,0.0,1,1.9,2.6,4.7,das,Klassenzimmer,"Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt, das",0.6835581,SE,jinaai/jina-embeddings-v2-base-de
40,41,Käse,11,A,und gibt Öl in die Pfanne.,0,0.5,1,5.2,4.6,6.4,den,Käse,"Schnell reibt der Chefkoch, während er die Nudeln kocht, den",0.6574233,SE,jinaai/jina-embeddings-v2-base-de
41,42,Käse,11,B,und gibt Öl in die Pfanne.,0,0.58,1,1.7,1.2,6.4,den,Käse,"Schnell reibt der Chefkoch, während er die Nachrichten hört, den",0.7351444,SE,jinaai/jina-embeddings-v2-base-de
42,43,Käse,11,C,und gibt Öl in die Pfanne.,0,0.0,1,5.2,4.6,1.1,den,Käse,"Schnell flickt der Chefkoch, während er die Nudeln kocht, den",0.71349216,SE,jinaai/jina-embeddings-v2-base-de
43,44,Käse,11,D,und gibt Öl in die Pfanne.,0,0.0,1,1.7,1.2,1.1,den,Käse,"Schnell flickt der Chefkoch, während er die Nachrichten hört, den",0.44935447,SE,jinaai/jina-embeddings-v2-base-de
44,45,Bier,12,A,das zuvor gebraut wurde.,0,0.67,1,3.9,1.2,5.0,das,Bier,"Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das",0.38785455,SE,jinaai/jina-embeddings-v2-base-de
45,46,Bier,12,B,das zuvor gebraut wurde.,0,0.58,1,1.8,2.3,5.0,das,Bier,"Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte, das",0.41922742,SE,jinaai/jina-embeddings-v2-base-de
46,47,Bier,12,C,das zuvor gebraut wurde.,0,0.0,1,3.9,1.2,1.1,das,Bier,"Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte, das",0.297698,SE,jinaai/jina-embeddings-v2-base-de
47,48,Bier,12,D,das zuvor gebraut wurde.,0,0.0,1,1.8,2.3,1.1,das,Bier,"Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte, das",0.4945846,SE,jinaai/jina-embeddings-v2-base-de
48,49,Rasen,13,A,hinter der Villa.,0,0.92,1,7.0,5.6,6.8,den,Rasen,"Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den",0.39504677,SE,jinaai/jina-embeddings-v2-base-de
49,50,Rasen,13,B,hinter der Villa.,0,0.92,1,2.2,1.9,6.8,den,Rasen,"Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den",0.35801607,SE,jinaai/jina-embeddings-v2-base-de
50,51,Rasen,13,C,hinter der Villa.,0,0.0,1,7.0,5.6,1.4,den,Rasen,"Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte, den",0.39104906,SE,jinaai/jina-embeddings-v2-base-de
51,52,Rasen,13,D,hinter der Villa.,0,0.0,1,2.2,1.9,1.4,den,Rasen,"Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte, den",0.52047694,SE,jinaai/jina-embeddings-v2-base-de
52,53,Straße,14,A,und den Bürgersteig.,1,0.42,1,6.5,5.1,6.8,die,Straße,"Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging, die",0.72314,SE,jinaai/jina-embeddings-v2-base-de
53,54,Straße,14,B,und den Bürgersteig.,1,0.42,1,5.7,2.0,6.8,die,Straße,"Achtsam pflasterte der Bauarbeiter, der die Steine schleppte, die",0.30964702,SE,jinaai/jina-embeddings-v2-base-de
54,55,Straße,14,C,und den Bürgersteig.,1,0.08,1,6.5,5.1,2.0,die,Straße,"Achtsam salzte der Bauarbeiter, der die Absperrungen umging, die",0.72486293,SE,jinaai/jina-embeddings-v2-base-de
55,56,Straße,14,D,und den Bürgersteig.,1,0.0,1,5.7,2.0,2.0,die,Straße,"Achtsam salzte der Bauarbeiter, der die Steine schleppte, die",0.74965245,SE,jinaai/jina-embeddings-v2-base-de
56,57,Glocken,15,A,und freute sich.,0,1.0,1,6.7,1.1,7.0,die,Glocken,"Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte, die",0.5123792,SE,jinaai/jina-embeddings-v2-base-de
57,58,Glocken,15,B,und freute sich.,0,0.92,1,2.2,1.1,7.0,die,Glocken,"Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die",0.45760977,SE,jinaai/jina-embeddings-v2-base-de
58,59,Glocken,15,C,und freute sich.,0,0.0,1,6.7,1.1,1.0,die,Glocken,"Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte, die",0.49810955,SE,jinaai/jina-embeddings-v2-base-de
59,60,Glocken,15,D,und freute sich.,0,0.0,1,2.2,1.1,1.0,die,Glocken,"Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte, die",0.59092003,SE,jinaai/jina-embeddings-v2-base-de
60,61,Wunde,16,A,mit fünf Stichen.,0,0.92,1,6.7,3.3,5.8,die,Wunde,"Rasch näht der Notarzt, der den Verletzten betreut, die",0.36716133,SE,jinaai/jina-embeddings-v2-base-de
61,62,Wunde,16,B,mit fünf Stichen.,0,0.92,1,3.2,1.8,5.8,die,Wunde,"Rasch näht der Notarzt, der den Ohrring trägt, die",0.47609758,SE,jinaai/jina-embeddings-v2-base-de
62,63,Wunde,16,C,mit fünf Stichen.,0,0.0,1,6.7,3.3,2.0,die,Wunde,"Rasch versteckt der Notarzt, der den Verletzten betreut, die",0.34677294,SE,jinaai/jina-embeddings-v2-base-de
63,64,Wunde,16,D,mit fünf Stichen.,0,0.0,1,3.2,1.8,2.0,die,Wunde,"Rasch versteckt der Notarzt, der den Ohrring trägt, die",0.67151326,SE,jinaai/jina-embeddings-v2-base-de
64,65,Hemd,17,A,und die Hose.,0,0.75,1,6.4,1.5,6.9,das,Hemd,"Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das",0.5052968,SE,jinaai/jina-embeddings-v2-base-de
65,66,Hemd,17,B,und die Hose.,0,0.67,1,1.4,1.2,6.9,das,Hemd,"Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das",0.3007272,SE,jinaai/jina-embeddings-v2-base-de
66,67,Hemd,17,C,und die Hose.,0,0.0,1,6.4,1.5,1.0,das,Hemd,"Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat, das",0.36926007,SE,jinaai/jina-embeddings-v2-base-de
67,68,Hemd,17,D,und die Hose.,0,0.0,1,1.4,1.2,1.0,das,Hemd,"Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat, das",0.76561654,SE,jinaai/jina-embeddings-v2-base-de
68,69,Auto,18,A,und übergibt es an den Kunden.,1,0.58,0,7.0,3.5,6.3,das,Auto,"Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das",0.5764765,SE,jinaai/jina-embeddings-v2-base-de
69,70,Auto,18,B,und übergibt es an den Kunden.,1,0.75,0,5.0,3.1,6.3,das,Auto,"Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat, das",0.45997635,SE,jinaai/jina-embeddings-v2-base-de
70,71,Auto,18,C,und übergibt es an den Kunden.,1,0.0,0,7.0,3.5,1.1,das,Auto,"Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat, das",0.36049896,SE,jinaai/jina-embeddings-v2-base-de
71,72,Auto,18,D,und übergibt es an den Kunden.,1,0.0,0,5.0,3.1,1.1,das,Auto,"Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat, das",0.37807798,SE,jinaai/jina-embeddings-v2-base-de
72,73,Teig,19,A,für das Brot.,2,1.0,1,6.9,6.9,6.6,den,Teig,"Am Morgen knetet die Bäckerin, die den Kuchen backt, den",0.75995135,SE,jinaai/jina-embeddings-v2-base-de
73,74,Teig,19,B,für das Brot.,2,1.0,1,1.5,1.0,6.6,den,Teig,"Am Morgen knetet die Bäckerin, die den Stammgast begrüßt, den",0.33361167,SE,jinaai/jina-embeddings-v2-base-de
74,75,Teig,19,C,für das Brot.,2,0.0,1,6.9,6.9,1.2,den,Teig,"Am Morgen hört die Bäckerin, die den Kuchen backt, den",0.6044961,SE,jinaai/jina-embeddings-v2-base-de
75,76,Teig,19,D,für das Brot.,2,0.0,1,1.5,1.0,1.2,den,Teig,"Am Morgen hört die Bäckerin, die den Stammgast begrüßt, den",0.29351923,SE,jinaai/jina-embeddings-v2-base-de
76,77,Steak,20,A,und die Beilagen.,0,0.67,0,4.7,2.4,6.5,das,Steak,"Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet, das",0.33717847,SE,jinaai/jina-embeddings-v2-base-de
77,78,Steak,20,B,und die Beilagen.,0,0.83,0,1.4,1.1,6.5,das,Steak,"Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht, das",0.5147664,SE,jinaai/jina-embeddings-v2-base-de
78,79,Steak,20,C,und die Beilagen.,0,0.0,0,4.7,2.4,1.4,das,Steak,"Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet, das",0.42375705,SE,jinaai/jina-embeddings-v2-base-de
79,80,Steak,20,D,und die Beilagen.,0,0.0,0,1.4,1.1,1.4,das,Steak,"Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht, das",0.5333882,SE,jinaai/jina-embeddings-v2-base-de
80,81,Feuer,21,A,und rennt weg.,0,0.58,0,6.6,1.5,6.8,das,Feuer,"Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat, das",0.6218598,SE,jinaai/jina-embeddings-v2-base-de
81,82,Feuer,21,B,und rennt weg.,0,1.0,0,3.3,3.0,6.8,das,Feuer,"Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist, das",0.48072803,SE,jinaai/jina-embeddings-v2-base-de
82,83,Feuer,21,C,und rennt weg.,0,0.0,0,6.6,1.5,1.6,das,Feuer,"Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat, das",0.7186172,SE,jinaai/jina-embeddings-v2-base-de
83,84,Feuer,21,D,und rennt weg.,0,0.0,0,3.3,3.0,1.6,das,Feuer,"Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist, das",0.33942717,SE,jinaai/jina-embeddings-v2-base-de
84,85,Haare,22,A,und holt den Föhn.,0,0.92,1,6.5,3.9,6.8,die,Haare,"Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat, die",0.61991286,SE,jinaai/jina-embeddings-v2-base-de
85,86,Haare,22,B,und holt den Föhn.,0,1.0,1,1.0,1.0,6.8,die,Haare,"Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat, die",0.697751,SE,jinaai/jina-embeddings-v2-base-de
86,87,Haare,22,C,und holt den Föhn.,0,0.17,1,6.5,3.9,1.2,die,Haare,"Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat, die",0.432897,SE,jinaai/jina-embeddings-v2-base-de
87,88,Haare,22,D,und holt den Föhn.,0,0.0,1,1.0,1.0,1.2,die,Haare,"Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat, die",0.43913227,SE,jinaai/jina-embeddings-v2-base-de
88,89,Bleistift,23,A,und machte sich wieder an die Arbeit.,0,1.0,1,6.0,3.3,6.7,den,Bleistift,"Flink spitzte der Zeichner, der die Karikatur entwarf, den",0.40627337,SE,jinaai/jina-embeddings-v2-base-de
89,90,Bleistift,23,B,und machte sich wieder an die Arbeit.,0,1.0,1,2.3,1.6,6.7,den,Bleistift,"Flink spitzte der Zeichner, der den Atlas öffnete, den",0.36617458,SE,jinaai/jina-embeddings-v2-base-de
90,91,Bleistift,23,C,und machte sich wieder an die Arbeit.,0,0.0,1,6.0,3.3,1.3,den,Bleistift,"Flink knotete der Zeichner, der die Karikatur entwarf, den",0.51697683,SE,jinaai/jina-embeddings-v2-base-de
91,92,Bleistift,23,D,und machte sich wieder an die Arbeit.,0,0.0,1,2.3,1.6,1.3,den,Bleistift,"Flink knotete der Zeichner, der den Atlas öffnete, den",0.76799464,SE,jinaai/jina-embeddings-v2-base-de
92,93,Patienten,24,A,gegen Tetanus.,0,0.25,0,6.7,2.0,6.5,den,Patienten,"Heute impft der Arzt, nachdem er die Spritze befüllt hat, den",0.43953833,SE,jinaai/jina-embeddings-v2-base-de
93,94,Patienten,24,B,gegen Tetanus.,0,0.42,0,2.1,1.3,6.5,den,Patienten,"Heute impft der Arzt, nachdem er die Schublade geschlossen hat, den",0.5779977,SE,jinaai/jina-embeddings-v2-base-de
94,95,Patienten,24,C,gegen Tetanus.,0,0.0,0,6.7,2.0,1.5,den,Patienten,"Heute feuert der Arzt, nachdem er die Spritze befüllt hat, den",0.44843683,SE,jinaai/jina-embeddings-v2-base-de
95,96,Patienten,24,D,gegen Tetanus.,0,0.0,0,2.1,1.3,1.5,den,Patienten,"Heute feuert der Arzt, nachdem er die Schublade geschlossen hat, den",0.60037076,SE,jinaai/jina-embeddings-v2-base-de
96,97,Leiche,25,A,in der Leichenhalle.,0,0.75,1,6.6,1.5,7.0,die,Leiche,"Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat, die",0.46053782,SE,jinaai/jina-embeddings-v2-base-de
97,98,Leiche,25,B,in der Leichenhalle.,0,0.75,1,2.6,1.2,7.0,die,Leiche,"Unverzüglich obduziert der Pathologe, nachdem er das Dokument unterschrieben hat, die",0.47732627,SE,jinaai/jina-embeddings-v2-base-de
98,99,Leiche,25,C,in der Leichenhalle.,0,0.0,1,6.6,1.5,1.2,die,Leiche,"Unverzüglich pfeffert der Pathologe, nachdem er die Mordakte gelesen hat, die",0.5272149,SE,jinaai/jina-embeddings-v2-base-de
99,100,Leiche,25,D,in der Leichenhalle.,0,0.0,1,2.6,1.2,1.2,die,Leiche,"Unverzüglich pfeffert der Pathologe, nachdem er das Dokument unterschrieben hat, die",0.46681604,SE,jinaai/jina-embeddings-v2-base-de
100,101,Buch,26,A,für den Fan.,1,1.0,1,6.7,3.3,6.7,das,Buch,"Am Nachmittag signiert der Autor, der die Geschichte erfunden hat, das",0.5430825,SE,jinaai/jina-embeddings-v2-base-de
101,102,Buch,26,B,für den Fan.,1,0.92,1,1.8,1.5,6.7,das,Buch,"Am Nachmittag signiert der Autor, der den Vorhang zugezogen hat, das",0.68733305,SE,jinaai/jina-embeddings-v2-base-de
102,103,Buch,26,C,für den Fan.,1,0.0,1,6.7,3.3,1.3,das,Buch,"Am Nachmittag schluckt der Autor, der die Geschichte erfunden hat, das",0.863083,SE,jinaai/jina-embeddings-v2-base-de
103,104,Buch,26,D,für den Fan.,1,0.0,1,1.8,1.5,1.3,das,Buch,"Am Nachmittag schluckt der Autor, der den Vorhang zugezogen hat, das",0.77227825,SE,jinaai/jina-embeddings-v2-base-de
104,105,Gäste,27,A,und überreichte ihnen die Schlüssel.,2,1.0,1,4.7,1.4,6.5,die,Gäste,"Sofort begrüßte der Hotelier, der die Koffer stapelte, die",0.7895045,SE,jinaai/jina-embeddings-v2-base-de
105,106,Gäste,27,B,und überreichte ihnen die Schlüssel.,2,0.92,1,1.4,1.6,6.5,die,Gäste,"Sofort begrüßte der Hotelier, der die Fische räucherte, die",0.4667296,SE,jinaai/jina-embeddings-v2-base-de
106,107,Gäste,27,C,und überreichte ihnen die Schlüssel.,2,0.0,1,4.7,1.4,1.9,die,Gäste,"Sofort feuerte der Hotelier, der die Koffer stapelte, die",0.5442559,SE,jinaai/jina-embeddings-v2-base-de
107,108,Gäste,27,D,und überreichte ihnen die Schlüssel.,2,0.0,1,1.4,1.6,1.9,die,Gäste,"Sofort feuerte der Hotelier, der die Fische räucherte, die",0.3837397,SE,jinaai/jina-embeddings-v2-base-de
108,109,Baum,28,A,neben der Schule.,0,0.92,1,5.9,1.3,7.0,den,Baum,"Vorsichtig fällt der Holzarbeiter, der die Säge gestartet hat, den",0.6383222,SE,jinaai/jina-embeddings-v2-base-de
109,110,Baum,28,B,neben der Schule.,0,0.83,1,2.8,1.9,7.0,den,Baum,"Vorsichtig fällt der Holzarbeiter, der den Transporter geparkt hat, den",0.59571904,SE,jinaai/jina-embeddings-v2-base-de
110,111,Baum,28,C,neben der Schule.,0,0.0,1,5.9,1.3,1.3,den,Baum,"Vorsichtig durchwühlt der Holzarbeiter, der die Säge gestartet hat, den",0.75848675,SE,jinaai/jina-embeddings-v2-base-de
111,112,Baum,28,D,neben der Schule.,0,0.0,1,2.8,1.9,1.3,den,Baum,"Vorsichtig durchwühlt der Holzarbeiter, der den Transporter geparkt hat, den",0.57859355,SE,jinaai/jina-embeddings-v2-base-de
112,113,Zigarre,29,A,und schlenderte über den Marktplatz.,2,1.0,1,6.2,3.2,6.9,die,Zigarre,"Langsam paffte der Kubaner, der den Rauchring blies, die",0.496346,SE,jinaai/jina-embeddings-v2-base-de
113,114,Zigarre,29,B,und schlenderte über den Marktplatz.,2,1.0,1,2.0,1.3,6.9,die,Zigarre,"Langsam paffte der Kubaner, der die Straßenbahn verpasste, die",0.7535374,SE,jinaai/jina-embeddings-v2-base-de
114,115,Zigarre,29,C,und schlenderte über den Marktplatz.,2,0.08,1,6.2,3.2,1.5,die,Zigarre,"Langsam öffnete der Kubaner, der den Rauchring blies, die",0.51304287,SE,jinaai/jina-embeddings-v2-base-de
115,116,Zigarre,29,D,und schlenderte über den Marktplatz.,2,0.08,1,2.0,1.3,1.5,die,Zigarre,"Langsam öffnete der Kubaner, der die Straßenbahn verpasste, die",0.7338056,SE,jinaai/jina-embeddings-v2-base-de
116,117,Schnitzel,30,A,für das Gericht.,0,0.58,0,6.0,1.2,6.5,das,Schnitzel,"Fröhlich paniert der Koch, nachdem er die Bratkartoffeln geschält hat, das",0.83926666,SE,jinaai/jina-embeddings-v2-base-de
117,118,Schnitzel,30,B,für das Gericht.,0,0.83,0,1.3,1.5,6.5,das,Schnitzel,"Fröhlich paniert der Koch, nachdem er die Ärmel hochgekrempelt hat, das",0.77474123,SE,jinaai/jina-embeddings-v2-base-de
118,119,Schnitzel,30,C,für das Gericht.,0,0.0,0,6.0,1.2,1.0,das,Schnitzel,"Fröhlich baut der Koch, nachdem er die Bratkartoffeln geschält hat, das",0.7921271,SE,jinaai/jina-embeddings-v2-base-de
119,120,Schnitzel,30,D,für das Gericht.,0,0.0,0,1.3,1.5,1.0,das,Schnitzel,"Fröhlich baut der Koch, nachdem er die Ärmel hochgekrempelt hat, das",0.70219225,SE,jinaai/jina-embeddings-v2-base-de
