"","target","Condition","ContextCode","PlausibilityJudgement","Cloze","Sentence","context","lp_pythia","s_lp"
"12","rare","BC",38,1.28,0.15625,"The gem cutter examined the ruby very closely before cutting because he knew that one this large was very rare","The gem cutter examined the ruby very closely before cutting because he knew that one this large was very",-4.10947895050049,1.08918840862445
"13","temple","BC",39,1.22,0.290322580645161,"They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's temple","They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's",-4.2267541885376,1.05598743536961
"14","police","BC",40,1.39,0.241379310344828,"He took a job training dogs for the police","He took a job training dogs for the",-6.54353666305542,0.400099336047002
"15","orchestra","BC",41,1.11,0.266666666666667,"The conductor gave detailed instructions to the orchestra","The conductor gave detailed instructions to the",-6.91206312179565,0.295768385156359
"16","cards","BC",45,1.03,0.125,"Down in the basement, Steve and Robert were playing cards","Down in the basement, Steve and Robert were playing",-5.51939392089844,0.690037232235631
"17","company","BC",47,1.13,0.413793103448276,"After the most recent price increase, the small business owner decided to order his office supplies from another company","After the most recent price increase, the small business owner decided to order his office supplies from another",-0.944643378257751,1.98516289521447
"18","dog","BC",48,1.07,0.21875,"Sharon was sad that she had lost her dog","Sharon was sad that she had lost her",-7.81712341308594,0.0395430896200167
"19","combat","BC",50,2.21,0.448275862068966,"All of armed services will admit women, but females are barred from combat","All of armed services will admit women, but females are barred from",-7.88142395019531,0.0213394138179249
"20","cheap","BC",51,1.44,0.172413793103448,"After the divorce, she had to move out of the expensive house to an apartment that was cheap","After the divorce, she had to move out of the expensive house to an apartment that was",-7.80862522125244,0.041948953334309
"21","morals","BC",52,1.13,0.413793103448276,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his morals","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",-9.53829187899828,-0.44772488919884
"22","hilarious","BC",53,1.32,0.357142857142857,"Some of his jokes were crummy, but those one-liners were hilarious","Some of his jokes were crummy, but those one-liners were",-5.79567241668701,0.611821957612497
"23","restaurant","BC",60,1.74,0.482758620689655,"The inspector from the health department found a roach in a very expensive restaurant","The inspector from the health department found a roach in a very expensive",-4.80675983428955,0.891786089419852
"24","felon","BC",61,1.03,0.142857142857143,"The conductor had no idea that the train had been boarded by a known felon","The conductor had no idea that the train had been boarded by a known",-10.6357383728027,-0.758415298353229
"25","medicine","BC",64,1.22,0.28125,"The nurse brought him a glass of juice and his medicine","The nurse brought him a glass of juice and his",-8.30312919616699,-0.0980466119729951
"26","school","BC",65,1.21,0.285714285714286,"The teacher was not looking forward to another year of school","The teacher was not looking forward to another year of",-3.13910603523254,1.36390390480486
"27","year","BC",67,1.31,0.285714285714286,"Steve skipped his annual checkup for another year","Steve skipped his annual checkup for another",-3.48515868186951,1.26593535783736
"28","vague","BC",72,1.33,0.310344827586207,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately vague","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",-4.15277910232544,1.07693000517345
"29","plants","BC",74,1.29,0.178571428571428,"She poured water on the plants","She poured water on the",-8.4745044708252,-0.146563468606181
"30","modern","BC",81,1.3,0.5,"Mark liked the older houses, but Susan wanted to buy one that was new and modern","Mark liked the older houses, but Susan wanted to buy one that was new and",-4.53719043731689,0.968101997952756
"31","doctor","BC",82,1.06,0.142857142857143,"In an old sitcom, he was the wise family doctor","In an old sitcom, he was the wise family",-4.3368034362793,1.0248321617403
"32","censored","BC",83,1.56,0.1875,"The government controlled the news media, so most of the reports from the war zone were censored","The government controlled the news media, so most of the reports from the war zone were",-5.72141124866903,0.632845518037577
"33","medal","BC",84,1.18,0.28125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold medal","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",-2.26482820510864,1.61141459283318
"34","pool","BC",85,1.18,0.25,"During the summer, the children hung out at the pool","During the summer, the children hung out at the",-4.95906639099121,0.848667644296853
"35","heroic","BC",86,1.7,0.0625,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be heroic","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",-10.9500370025635,-0.847394187463816
"36","diary","BC",88,1.33,0.551724137931034,"The little girl kept a lock on her diary","The little girl kept a lock on her",-8.84400844573975,-0.251171157271165
"37","plane","BC",89,2,0.2,"Flying low above her, Bernice could hear the plane","Flying low above her, Bernice could hear the",-10.1858615875244,-0.631053824899848
"38","car","BC",97,1.54,0.3,"Perry heard a grinding noise coming from his car","Perry heard a grinding noise coming from his",-3.82525849342346,1.16965207641858
"39","complain","BC",98,1.7,0.53125,"If Jim's manager is incompetent, he has a legitimate right to complain","If Jim's manager is incompetent, he has a legitimate right to",-4.30250644683838,1.0345417427926
"40","villain","BC",101,1.82,0.633333333333333,"In the best part of the movie, the hero has to impersonate the villain","In the best part of the movie, the hero has to impersonate the",-2.40824842453003,1.57081189656999
"41","crown","BC",103,1.38,0.46875,"The princess wore a crown","The princess wore a",-6.3670768737793,0.450055634088868
"42","drum","BC",106,1.34,0.25,"Jason was disappointed when the other scouts scared off the elk by loudly beating the drum","Jason was disappointed when the other scouts scared off the elk by loudly beating the",-8.5273609161377,-0.161527287537943
"43","ruined","BC",107,1.17,0.09375,"After the flood, the house smelled of mildew and everything in it was ruined","After the flood, the house smelled of mildew and everything in it was",-5.9179859161377,0.577194637370487
"44","accident","BC",109,1.2,0.241379310344828,"Everyone on the scene gathered around to look at the accident","Everyone on the scene gathered around to look at the",-10.1341934204102,-0.616426411106454
"45","tied","BC",115,1.78,0.535714285714286,"The final score of the game was tied","The final score of the game was",-6.52350282669067,0.405770975486587
"46","exhausted","BC",117,1.48,0.333333333333333,"After swimming the English Channel, Bonita was cold and completely exhausted","After swimming the English Channel, Bonita was cold and completely",-3.64634156227112,1.22030399872931
"47","confidence","BC",120,1.48,0.46875,"She had the data to back up everything she said, so the hostile questions did not shake her confidence","She had the data to back up everything she said, so the hostile questions did not shake her",-4.67711305618286,0.928489482945562
"48","fabric","BC",125,1.64,0.285714285714286,"The new dress was very pretty, but it was cut from an unusual fabric","The new dress was very pretty, but it was cut from an unusual",-5.37842464447021,0.729946059152423
"49","run","BC",128,1.24,0.275862068965517,"When the little girl saw the big dog lumbering towards her, she began to run","When the little girl saw the big dog lumbering towards her, she began to",-3.90410399436951,1.14733067752833
"50","stadium","BC",132,1.3,0.448275862068966,"From her house a half mile away, Diana could still hear the loud cheers coming from the stadium","From her house a half mile away, Diana could still hear the loud cheers coming from the",-10.282509803772,-0.658415226133998
"51","storm","BC",133,1.36,0.433333333333333,"Five ships did not survive the storm","Five ships did not survive the",-4.95227479934692,0.850590364355358
"52","accident","BC",135,1.09,0.464285714285714,"The paramedics on the scene helped the passengers after the big car accident","The paramedics on the scene helped the passengers after the big car",-4.49231338500977,0.980806826681681
"53","crash","BC",136,1.42,0.233333333333333,"The pilot spoke to an air traffic controller just before the crash","The pilot spoke to an air traffic controller just before the",-4.0189962387085,1.11480433696971
"54","lunch","BC",140,1.38,0.285714285714286,"The boy scouts started a long hike through the forest after having a big lunch","The boy scouts started a long hike through the forest after having a big",-5.28050708770752,0.757666814511108
"55","roads","BC",143,1.41,0.178571428571428,"When traveling, Roger prefers to stick to major roads","When traveling, Roger prefers to stick to major",-3.77136301994324,1.18491004735536
"56","needle","BC",147,1.52,0.678571428571429,"While hemming a pair of pants, Bridget accidentally dropped her needle","While hemming a pair of pants, Bridget accidentally dropped her",-10.2535610198975,-0.650219738192427
"57","bear","BC",148,1.25,0.413793103448276,"The rangers say that somewhere in the state park is a bear","The rangers say that somewhere in the state park is a",-7.22147655487061,0.208172509947294
"58","stress","BC",153,1.09,0.464285714285714,"The doctor told him his headaches were due to stress","The doctor told him his headaches were due to",-5.89827251434326,0.582775560817702
"59","hands","BC",156,1.09,0.533333333333333,"The groups in the parade walked by slowly, each waving their hands","The groups in the parade walked by slowly, each waving their",-1.68205857276917,1.77639843171413
"60","cure","BC",158,1.63,0.5,"The little girl was very sick, but unfortunately there was no cure","The little girl was very sick, but unfortunately there was no",-4.0049467086792,1.11878180125419
"61","view","BC",161,1.18,0.566666666666667,"The meteor shower should have been spectacular, but the city lights blocked the view","The meteor shower should have been spectacular, but the city lights blocked the",-3.63914227485657,1.22234213868882
"62","end","BC",162,1.21,0.620689655172414,"She was unsure how the book would end","She was unsure how the book would",-2.83700370788574,1.44942998395291
"63","sales","BC",166,1.59,0.533333333333333,"He was desperate for a job, so finally took something doing door to door sales","He was desperate for a job, so finally took something doing door to door",-10.1725559234619,-0.627286951311944
"64","terms","BC",168,1.89,0.678571428571429,"The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical terms","The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical",-5.61271619796753,0.66361741440442
"65","young","BC",169,1.7,0.827586206896552,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",-3.76286315917969,1.18731638354878
"66","business","BC",172,1.25,0.625,"In the window, they posted the hours they were open for business","In the window, they posted the hours they were open for",-4.87711954116821,0.871867044398957
"67","contagious","BC",173,1.61,0.551724137931034,"They sent the kids with measles home from school because they were contagious","They sent the kids with measles home from school because they were",-8.53683477453887,-0.164209365397365
"68","water","BC",174,1.5,0.689655172413793,"Outside, Cora could hear the running water","Outside, Cora could hear the running",-4.45213222503662,0.99218223414148
"69","walk","BC",177,1.64,0.464285714285714,"At night they often took a short walk","At night they often took a short",-1.84591972827911,1.7300088448529
"70","published","BC",182,1.36,0.548387096774194,"The wealthy author always points out that she wrote four novels before one was published","The wealthy author always points out that she wrote four novels before one was",-0.507060766220093,2.10904385117937
"71","mouse","BC",185,1.48,0.928571428571429,"The kitten waited patiently because behind the refrigerator was a mouse","The kitten waited patiently because behind the refrigerator was a",-8.65120410919189,-0.196587668648287
"72","cold","BC",187,1.33,0.793103448275862,"Norton hates getting up on winter mornings because it is always cold","Norton hates getting up on winter mornings because it is always",-3.87861347198486,1.1545471212219
"73","soil","BC",190,1.09,0.862068965517241,"The fertilizer enriched the soil","The fertilizer enriched the",-3.47329020500183,1.26929535939996
"74","note","BC",193,1.09,0.633333333333333,"The young girl passed her friend a note","The young girl passed her friend a",-5.47754383087158,0.701885118822354
"75","perfect","BC",196,1.3,0.482758620689655,"He tinkered with the engine every weekend until it was absolutely perfect","He tinkered with the engine every weekend until it was absolutely",-3.13044357299805,1.36635627396464
"76","shore","BC",197,1.36,0.5625,"When Diane heard the shark warning, she swam as fast as she could for shore","When Diane heard the shark warning, she swam as fast as she could for",-9.72875881195068,-0.501646651820926
"77","church","BC",198,1.42,0.724137931034483,"Michael could hear the bells ringing in the tower of the church","Michael could hear the bells ringing in the tower of the",-4.79280567169189,0.895736554897074
"78","dirty","BC",200,1.12,0.875,"When he got home from work on the construction site, his clothes were always dirty","When he got home from work on the construction site, his clothes were always",-2.80191397666931,1.4593639925905
"79","sun","BC",201,1.68,0.766666666666667,"Kevin propped his head up with a pillow as he basked in the hot sun","Kevin propped his head up with a pillow as he basked in the hot",-0.837090373039246,2.01561147506394
"80","price","BC",203,1.38,0.535714285714286,"He bought it without even asking the price","He bought it without even asking the",-4.38405084609985,1.01145627765711
"81","ready","BC",204,1.3,0.620689655172414,"Barry has considered proposing to his girlfriend, but he wants to wait until he is ready","Barry has considered proposing to his girlfriend, but he wants to wait until he is",-3.18393063545227,1.35121392541992
"82","car","BC",205,1.26,0.71875,"John was disappointed to discover a scratch on his new car","John was disappointed to discover a scratch on his new",-3.73767232894897,1.19444798349056
"83","brain","BC",206,1.31,0.666666666666667,"He was afraid that doing drugs would damage his brain","He was afraid that doing drugs would damage his",-3.45506620407104,1.27445462897491
"84","married","BC",207,1.53,0.344827586206897,"They've been living together for a long time, but don't think they're actually married","They've been living together for a long time, but don't think they're actually",-4.24443340301514,1.05098239648109
"85","trouble","BC",208,1.32,0.65625,"Dennis the Menance was known for making trouble","Dennis the Menance was known for making",-7.60423898696899,0.0998113121039965
"86","cover","BC",211,1.03,0.65625,"When the shooting started they ran for cover","When the shooting started they ran for",-4.08968448638916,1.09479228105783
"87","real","BC",212,1.59,0.448275862068966,"The federal agents examined the hundred dollar bill with a microscope to see if it was real","The federal agents examined the hundred dollar bill with a microscope to see if it was",-4.17676067352295,1.07014075010764
"88","simmer","BC",213,1.33,0.655172413793103,"Eva turned down the heat and left the sauce on the stove to simmer","Eva turned down the heat and left the sauce on the stove to",-3.76836180686951,1.1857596998196
"89","shadow","BC",215,1.31,0.821428571428571,"Alone in the canyon, he was so spooked he was scared by his own shadow","Alone in the canyon, he was so spooked he was scared by his own",-7.22491836547852,0.207198122993542
"90","lie","BC",220,2.03,0.857142857142857,"Betsy could never tell a lie","Betsy could never tell a",-5.1444296836853,0.796190737609871
"91","room","BC",221,1.27,0.84375,"The bad boy was sent to his room","The bad boy was sent to his",-3.2333550453186,1.33722172606417
"92","scars","BC",223,1.39,0.724137931034483,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his scars","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",-3.8639190196991,1.15870716494042
"93","fear","BC",226,1.33,0.65625,"Trying to evade their captors, the escaped prisoners of war lived in constant fear","Trying to evade their captors, the escaped prisoners of war lived in constant",-0.989932119846344,1.97234151600949
"94","sharp","BC",228,1.11,0.655172413793103,"The tip of the knife was sharp","The tip of the knife was",-6.00264453887939,0.553227526184151
"95","stretch","BC",230,1.25,0.5,"The little girl pulled on the rubber band to see how far it would stretch","The little girl pulled on the rubber band to see how far it would",-7.15375709533691,0.227344092989397
"96","enemy","BC",232,1.24,0.34375,"The soldiers had special night vision goggles so they could see the enemy","The soldiers had special night vision goggles so they could see the",-5.33675146102905,0.741743862951692
"97","poor","BC",233,1.09,0.9,"George was born into a wealthy family and has no idea what it's like to be poor","George was born into a wealthy family and has no idea what it's like to be",-5.87820816040039,0.588455839875607
"98","cave","BC",237,1.71,0.758620689655172,"Looking for bats, Karen descended into the depths of the cave","Looking for bats, Karen descended into the depths of the",-4.5242714881897,0.971759391377249
"99","antenna","BC",239,1.44,0.607142857142857,"We finally got a decent picture on the TV after an hour of adjusting the antenna","We finally got a decent picture on the TV after an hour of adjusting the",-6.56339836120605,0.394476429454509
"100","stock","BC",240,1.12,0.724137931034483,"It took a week to get his car fixed because the parts were out of stock","It took a week to get his car fixed because the parts were out of",-3.35628366470337,1.30242026351538
"101","party","BC",242,1.16,0.875,"The dispute was settled by a third party","The dispute was settled by a third",-0.135507166385651,2.21423179483498
"102","soon","BC",244,1.24,0.833333333333333,"Our guests should be arriving soon","Our guests should be arriving",-4.34411191940308,1.02276310814649
"103","oven","BC",245,1.3,0.896551724137931,"The dough was put in the hot oven","The dough was put in the hot",-2.72358274459839,1.48153980041264
"104","short","BC",250,1.03,0.5625,"Andrew was glad that the meeting was very short","Andrew was glad that the meeting was very",-4.45109844207764,0.9924749012121
"105","bus","BC",252,2.07,0.9,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour bus","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",-1.54157650470734,1.81616932847437
"106","shore","BC",254,1.78,0.9,"Most shark attacks occur very close to shore","Most shark attacks occur very close to",-5.16741800308228,0.789682675121597
"107","deal","BC",255,1.3,0.862068965517241,"He didn't have to spend much money on the car because he found an incredible deal","He didn't have to spend much money on the car because he found an incredible",-2.81027960777283,1.45699565721829
"108","school","BC",256,1,0.875,"The wealthy child went to a private school","The wealthy child went to a private",-1.4618821144104,1.83873105049768
"109","lights","BC",260,1,0.65625,"When you go to bed, turn off the lights","When you go to bed, turn off the",-1.92138350009918,1.70864482366784
"110","leash","BC",261,1.18,0.90625,"George must keep his pet on a leash","George must keep his pet on a",-7.17440736293793,0.221497940009432
"111","piles","BC",263,1.36,0.724137931034483,"He didn't have time to file everything on his desk, so he organized it into two piles","He didn't have time to file everything on his desk, so he organized it into two",-4.98927974700928,0.840114152171111
"112","speak","BC",265,1.25,0.857142857142857,"The whole town came to hear their mayor speak","The whole town came to hear their mayor",-3.8847770690918,1.15280218830916
"113","arm","BC",273,1.16,0.964285714285714,"Josie found she could not bend the elbow of her broken arm","Josie found she could not bend the elbow of her broken",-1.32443237304688,1.87764348643281
"114","wrong","BC",275,1.18,0.642857142857143,"It's hard to admit when one is wrong","It's hard to admit when one is",-4.75841093063354,0.905473809726813
"115","said","BC",276,1.36,0.866666666666667,"Vic asked her to repeat what she had said","Vic asked her to repeat what she had",-1.31810832023621,1.87943384483875
"116","palace","BC",281,1.39,0.827586206896552,"When they were in London they visited Buckingham palace","When they were in London they visited Buckingham",-8.71517944335938,-0.214699278517647
"117","mission","BC",282,1.54,0.862068965517241,"The agent was sent to South America on a secret mission","The agent was sent to South America on a secret",-1.78706860542297,1.74666977506006
"118","air","BC",283,1.55,0.931034482758621,"Sam knew that rain was coming because he could smell it in the air","Sam knew that rain was coming because he could smell it in the",-2.04689168930054,1.67311307713137
"119","raise","BC",286,1.03,0.933333333333333,"His boss refused to give him a raise","His boss refused to give him a",-5.08978462219238,0.811660919171659
"120","sleep","BC",287,1.07,0.964285714285714,"She flew in late last night and really didn't get much sleep","She flew in late last night and really didn't get much",-2.54866003990173,1.53106094517861
"121","search","BC",288,1.41,0.862068965517241,"After a week, they gave up on the missing hikers and called off the search","After a week, they gave up on the missing hikers and called off the",-5.02292060852051,0.830590322912704
"122","bonus","Rel",1,2.78,0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major bonus","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",-6.7389349937439,0.34478147986685
"123","sofa","Rel",8,1.25,0.03125,"The cigar burned a hole in the sofa","The cigar burned a hole in the",-11.2377338409424,-0.928842029279321
"124","effort","Rel",11,1.39,0,"His first film was a failure, but he learned some techniques in that first effort","His first film was a failure, but he learned some techniques in that first",-6.44260215759277,0.428674198673128
"125","image","Rel",17,1.71,0,"He was hired for the job because of his fresh new image","He was hired for the job because of his fresh new",-8.47993755340576,-0.14810159065537
"126","press","Rel",18,2.04,0.0344827586206896,"The journal issue that has the new article about diseases of the eye is still in press","The journal issue that has the new article about diseases of the eye is still in",-6.67726612091064,0.362240123582802
"127","dance","Rel",22,1,0,"Every spring they held the annual dance","Every spring they held the annual",-9.25572395324707,-0.36772905800236
"128","tires","Rel",23,1.96,0.0625,"Penelope started to assemble her new bicycle, but was missing the tires","Penelope started to assemble her new bicycle, but was missing the",-8.77574348449707,-0.231845141051576
"129","ownership","Rel",24,1.15,0,"The restaurant will reopen with new ownership","The restaurant will reopen with new",-9.28875160217285,-0.377079284930131
"130","insects","Rel",28,1.39,0,"Jennifer disliked walking under the trees at the edge of the park because they were always full of insects","Jennifer disliked walking under the trees at the edge of the park because they were always full of",-5.97585678100586,0.560811221153375
"131","attractive","Rel",36,1.48,0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or attractive","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",-6.78173971176147,0.332663335219527
"132","ink","Rel",37,1.79,0.0344827586206896,"I don't know why people like to see their initials in ink","I don't know why people like to see their initials in",-9.55105876922607,-0.451339234290738
"133","unique","Rel",38,1.63,0,"The gem cutter examined the ruby very closely before cutting because he knew that one this large was very unique","The gem cutter examined the ruby very closely before cutting because he knew that one this large was very",-6.97773218154907,0.27717727647019
"134","shrine","Rel",39,1.79,0,"They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's shrine","They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's",-7.0764331817627,0.249234725909923
"135","military","Rel",40,1.52,0,"He took a job training dogs for the military","He took a job training dogs for the",-5.51057767868042,0.692533136972111
"136","choir","Rel",41,1.32,0,"The conductor gave detailed instructions to the choir","The conductor gave detailed instructions to the",-8.93904113769531,-0.278075198710454
"137","poker","Rel",45,1.3,0.09375,"Down in the basement, Steve and Robert were playing poker","Down in the basement, Steve and Robert were playing",-7.25975036621094,0.197337078632549
"138","business","Rel",47,1.15,0,"After the most recent price increase, the small business owner decided to order his office supplies from another business","After the most recent price increase, the small business owner decided to order his office supplies from another",-5.53942823410034,0.68436545780201
"139","puppy","Rel",48,1.06,0.09375,"Sharon was sad that she had lost her puppy","Sharon was sad that she had lost her",-9.77635192871094,-0.515120406580409
"140","fighting","Rel",50,2.81,0.0689655172413793,"All of armed services will admit women, but females are barred from fighting","All of armed services will admit women, but females are barred from",-6.11994934082031,0.520018183299055
"141","affordable","Rel",51,1.19,0.103448275862069,"After the divorce, she had to move out of the expensive house to an apartment that was affordable","After the divorce, she had to move out of the expensive house to an apartment that was",-7.59805393218994,0.101562319748373
"142","values","Rel",52,1.75,0.0689655172413793,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his values","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",-6.11437177658081,0.521597208541232
"143","humorous","Rel",53,1.25,0,"Some of his jokes were crummy, but those one-liners were humorous","Some of his jokes were crummy, but those one-liners were",-8.73904746770859,-0.221456388128574
"144","cafe","Rel",60,1.47,0,"The inspector from the health department found a roach in a very expensive cafe","The inspector from the health department found a roach in a very expensive",-8.80260944366455,-0.239450975042748
"145","convict","Rel",61,1.3,0.0357142857142857,"The conductor had no idea that the train had been boarded by a known convict","The conductor had no idea that the train had been boarded by a known",-10.4077110290527,-0.693860070259622
"146","pills","Rel",64,1.52,0.0625,"The nurse brought him a glass of juice and his pills","The nurse brought him a glass of juice and his",-7.39541435241699,0.158930195363227
"147","classes","Rel",65,1.5,0,"The teacher was not looking forward to another year of classes","The teacher was not looking forward to another year of",-6.46271419525146,0.422980420211596
"148","month","Rel",67,2.46,0,"Steve skipped his annual checkup for another month","Steve skipped his annual checkup for another",-4.17937278747559,1.06940125277699
"149","ambiguous","Rel",72,1.3,0.0689655172413793,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately ambiguous","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",-6.83014726638794,0.318959010646105
"150","roses","Rel",74,1.24,0,"She poured water on the roses","She poured water on the",-9.2879810333252,-0.376861134567529
"151","contemporary","Rel",81,1.06,0.0333333333333333,"Mark liked the older houses, but Susan wanted to buy one that was new and contemporary","Mark liked the older houses, but Susan wanted to buy one that was new and",-7.66768360137939,0.0818499505969981
"152","physician","Rel",82,1.64,0,"In an old sitcom, he was the wise family physician","In an old sitcom, he was the wise family",-4.6798210144043,0.927722851813621
"153","screened","Rel",83,1.43,0,"The government controlled the news media, so most of the reports from the war zone were screened","The government controlled the news media, so most of the reports from the war zone were",-9.07913303375244,-0.317735636600521
"154","trophy","Rel",84,1.35,0.03125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold trophy","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",-7.00436067581177,0.269638669509078
"155","lake","Rel",85,1.15,0,"During the summer, the children hung out at the lake","During the summer, the children hung out at the",-4.33247947692871,1.02605628766114
"156","courageous","Rel",86,1.93,0,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be courageous","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",-9.96989824622869,-0.569913952251558
"157","journal","Rel",88,1.5,0,"The little girl kept a lock on her journal","The little girl kept a lock on her",-9.89723110198975,-0.549341664761338
"158","jet","Rel",89,2.41,0.0333333333333333,"Flying low above her, Bernice could hear the jet","Flying low above her, Bernice could hear the",-8.14289283752441,-0.0526832160269304
"159","engine","Rel",97,1.23,0.1,"Perry heard a grinding noise coming from his engine","Perry heard a grinding noise coming from his",-4.84344673156738,0.881399918257793
"160","argue","Rel",98,2.58,0,"If Jim's manager is incompetent, he has a legitimate right to argue","If Jim's manager is incompetent, he has a legitimate right to",-6.22120761871338,0.491351659722306
"161","criminal","Rel",101,1.67,0.0666666666666666,"In the best part of the movie, the hero has to impersonate the criminal","In the best part of the movie, the hero has to impersonate the",-6.85453748703003,0.312054065691215
"162","hat","Rel",103,1.5,0,"The princess wore a hat","The princess wore a",-5.0986442565918,0.809152729977878
"163","pans","Rel",106,1.55,0,"Jason was disappointed when the other scouts scared off the elk by loudly beating the pans","Jason was disappointed when the other scouts scared off the elk by loudly beating the",-10.7790699005127,-0.798992885725672
"164","destroyed","Rel",107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was destroyed","After the flood, the house smelled of mildew and everything in it was",-5.4128589630127,0.720197599817674
"165","crash","Rel",109,1.18,0,"Everyone on the scene gathered around to look at the crash","Everyone on the scene gathered around to look at the",-8.94913482666016,-0.280932752470085
"166","even","Rel",115,2.22,0,"The final score of the game was even","The final score of the game was",-8.51422500610352,-0.15780847182695
"167","beat","Rel",117,1.08,0,"After swimming the English Channel, Bonita was cold and completely beat","After swimming the English Channel, Bonita was cold and completely",-9.88559913635254,-0.54604862024072
"168","composure","Rel",120,1.13,0,"She had the data to back up everything she said, so the hostile questions did not shake her composure","She had the data to back up everything she said, so the hostile questions did not shake her",-9.90017159224954,-0.550174126413988
"169","material","Rel",125,1.44,0.107142857142857,"The new dress was very pretty, but it was cut from an unusual material","The new dress was very pretty, but it was cut from an unusual",-6.35449886322021,0.453616506777433
"170","flee","Rel",128,1.3,0,"When the little girl saw the big dog lumbering towards her, she began to flee","When the little girl saw the big dog lumbering towards her, she began to",-6.91728782653809,0.294289255501017
"171","stands","Rel",132,1.39,0.0344827586206896,"From her house a half mile away, Diana could still hear the loud cheers coming from the stands","From her house a half mile away, Diana could still hear the loud cheers coming from the",-8.50760746002197,-0.155935024591682
"172","tsunami","Rel",133,1.3,0.0666666666666666,"Five ships did not survive the tsunami","Five ships did not survive the",-8.89966773986816,-0.266928471148085
"173","wreck","Rel",135,1.09,0.0357142857142857,"The paramedics on the scene helped the passengers after the big car wreck","The paramedics on the scene helped the passengers after the big car",-5.67392063140869,0.646290254879788
