,Unnamed: 0,ItemNum,Condition,context,target,continuation,semantic_association,implementation,model
27,28,10,control,Maria bereikte het vliegveld. Ze liep meteen naar de,check-in,om de koffer af te geven.,0.5192502,SE,clips/e5-large-trm-nl
28,29,10,script-related,Maria verliet het vliegveld. Ze liep meteen naar de,check-in,om de koffer af te geven.,0.50547075,SE,clips/e5-large-trm-nl
29,30,10,script-unrelated,Maria bereikte het winkelcentrum. Ze liep meteen naar de,check-in,om de koffer af te geven.,0.4993825,SE,clips/e5-large-trm-nl
30,31,11,control,Lukas kwam naar het verjaardagsfeest. Na een tijdje overhandigde hij de,taart,en feliciteerde hij de jarige.,0.51814604,SE,clips/e5-large-trm-nl
31,32,11,script-related,Lukas verliet het verjaardagsfeest. Na een tijdje overhandigde hij de,taart,en feliciteerde hij de jarige.,0.5163996,SE,clips/e5-large-trm-nl
32,33,11,script-unrelated,Lukas kwam naar de les. Na een tijdje overhandigde hij de,taart,en feliciteerde hij de jarige.,0.5040799,SE,clips/e5-large-trm-nl
33,34,12,control,Marie ging naar de kapper. Even later vroeg ze de,styliste,om een nieuwe coupe.,0.51820475,SE,clips/e5-large-trm-nl
34,35,12,script-related,Marie verliet de kapper. Even later vroeg ze de,styliste,om een nieuwe coupe.,0.51633596,SE,clips/e5-large-trm-nl
35,36,12,script-unrelated,Marie ging naar de uni. Even later vroeg ze de,styliste,om een nieuwe coupe.,0.47482598,SE,clips/e5-large-trm-nl
36,37,13,control,Thorsten begon te douchen. Als eerste gebruikte hij de,shampoo,en daarna de douchegel.,0.5840073,SE,clips/e5-large-trm-nl
37,38,13,script-related,Thorsten stopte met douchen. Als eerste gebruikte hij de,shampoo,en daarna de douchegel.,0.5836816,SE,clips/e5-large-trm-nl
38,39,13,script-unrelated,Thorsten begon te barbecueën. Als eerste gebruikte hij de,shampoo,en daarna de douchegel.,0.5063941,SE,clips/e5-large-trm-nl
39,40,14,control,Claudia betrad de bloemenwinkel. Snel vroeg ze om een,roos,voor een vriendin.,0.43778765,SE,clips/e5-large-trm-nl
40,41,14,script-related,Claudia verliet de bloemenwinkel. Snel vroeg ze om een,roos,voor een vriendin.,0.42345467,SE,clips/e5-large-trm-nl
41,42,14,script-unrelated,Claudia betrad de dierenwinkel. Snel vroeg ze om een,roos,voor een vriendin.,0.49602488,SE,clips/e5-large-trm-nl
42,43,15,control,Jonathan ging naar de begraafplaats. Peinzend bekeek hij de,grafsteen,en sprak een gebed uit.,0.59134257,SE,clips/e5-large-trm-nl
43,44,15,script-related,Jonathan verliet de begraafplaats. Peinzend bekeek hij de,grafsteen,en sprak een gebed uit.,0.5931554,SE,clips/e5-large-trm-nl
44,45,15,script-unrelated,Jonathan ging naar de keuken. Peinzend bekeek hij de,grafsteen,en sprak een gebed uit.,0.47542322,SE,clips/e5-large-trm-nl
45,46,16,control,Lara ging de tuin in. Aandachtig onderzocht ze de,aarde,en gaf toen de bloemen water.,0.5006524,SE,clips/e5-large-trm-nl
46,47,16,script-related,Lara verliet de tuin. Aandachtig onderzocht ze de,aarde,en gaf toen de bloemen water.,0.50433844,SE,clips/e5-large-trm-nl
47,48,16,script-unrelated,Lara ging naar het fornuis. Aandachtig onderzocht ze de,aarde,en gaf toen de bloemen water.,0.4601345,SE,clips/e5-large-trm-nl
48,49,17,control,Roman ging naar het museum. Nauwkeurig bekeek hij de,sculpturen,en was enthousiast.,0.583314,SE,clips/e5-large-trm-nl
49,50,17,script-related,Roman verliet het museum.  Nauwkeurig bekeek hij de,sculpturen,en was enthousiast.,0.5626675,SE,clips/e5-large-trm-nl
50,51,17,script-unrelated,Roman ging naar de boekhandel. Nauwkeurig bekeek hij de,sculpturen,en was enthousiast.,0.50979215,SE,clips/e5-large-trm-nl
51,52,18,control,Annika ging naar de banketbakker. Snel vroeg ze om een,taart,en betaalde meteen.,0.56538135,SE,clips/e5-large-trm-nl
52,53,18,script-related,Annika verliet de banketbakker. Snel vroeg ze om een,taart,en betaalde meteen.,0.5473347,SE,clips/e5-large-trm-nl
53,54,18,script-unrelated,Annika ging naar de boetiek. Snel vroeg ze om een,taart,en betaalde meteen.,0.49673897,SE,clips/e5-large-trm-nl
54,55,19,control,Emil betrad de spa. Na een tijdje kreeg hij een,massage,en genoot ervan.,0.5433154,SE,clips/e5-large-trm-nl
55,56,19,script-related,Emil verliet de spa. Na een tijdje kreeg hij een,massage,en genoot ervan.,0.5011676,SE,clips/e5-large-trm-nl
56,57,19,script-unrelated,Emil betrad de apotheek. Na een tijdje kreeg hij een,massage,en genoot ervan.,0.5005046,SE,clips/e5-large-trm-nl
57,58,20,control,Susanne betrad de manege. Snel legde ze het,zadel,op en reed weg.,0.5435035,SE,clips/e5-large-trm-nl
58,59,20,script-related,Susanne verliet de manege. Snel legde ze het,zadel,op en reed weg.,0.51554096,SE,clips/e5-large-trm-nl
59,60,20,script-unrelated,Susanne betrad de badkamer. Snel legde ze het,zadel,op en reed weg.,0.48748744,SE,clips/e5-large-trm-nl
60,61,21,control,Martin kwam bij de veiligheidscontrole. Vlot opende hij de,koffer,en werd doorgelaten.,0.5430747,SE,clips/e5-large-trm-nl
61,62,21,script-related,Martin verliet de veiligheidscontrole. Vlot opende hij de,koffer,en werd doorgelaten.,0.54235303,SE,clips/e5-large-trm-nl
62,63,21,script-unrelated,Martin kwam bij de garage. Vlot opende hij de,koffer,en werd doorgelaten.,0.5393083,SE,clips/e5-large-trm-nl
63,64,22,control,Jutta ging naar de hotelreceptie. Direct kreeg ze een,kamer,en bedankte vriendelijk.,0.52118176,SE,clips/e5-large-trm-nl
64,65,22,script-related,Jutta verliet de hotelreceptie. Direct kreeg ze een,kamer,en bedankte vriendelijk.,0.5184559,SE,clips/e5-large-trm-nl
65,66,22,script-unrelated,Jutta ging naar het postkantoor. Direct kreeg ze een,kamer,en bedankte vriendelijk.,0.49382275,SE,clips/e5-large-trm-nl
66,67,23,control,Jens ging naar de tandarts. Angstig liep hij naar de,röntgen,en liet zich behandelen.,0.5768732,SE,clips/e5-large-trm-nl
67,68,23,script-related,Jens verliet de tandarts. Angstig liep hij naar de,röntgen,en liet zich behandelen.,0.5544189,SE,clips/e5-large-trm-nl
68,69,23,script-unrelated,Jens ging naar de douane. Angstig liep hij naar de,röntgen,en liet zich behandelen.,0.4962763,SE,clips/e5-large-trm-nl
69,70,24,control,Elena begon te pokeren. Snel zette ze haar,geld,in en won.,0.48653203,SE,clips/e5-large-trm-nl
70,71,24,script-related,Elena stopte met pokeren. Snel zette ze haar,geld,in en won.,0.50289613,SE,clips/e5-large-trm-nl
71,72,24,script-unrelated,Elena begon te tekenen. Snel zette ze haar,geld,in en won.,0.46506646,SE,clips/e5-large-trm-nl
72,73,25,control,Bruno begon zijn vakantie. Eindelijk kwam hij bij de,zee,aan en genoot van het weer.,0.4935529,SE,clips/e5-large-trm-nl
73,74,25,script-related,Bruno beëindigde zijn vakantie. Eindelijk kwam hij bij de,zee,aan en genoot van het weer.,0.47621363,SE,clips/e5-large-trm-nl
74,75,25,script-unrelated,Bruno begon zijn filmavond. Eindelijk kwam hij bij de,zee,aan en genoot van het weer.,0.4485159,SE,clips/e5-large-trm-nl
75,76,26,control,Jana betrad het gemeentehuis. Meteen toonde ze haar,visum,en diende een aanvraag in.,0.49604753,SE,clips/e5-large-trm-nl
76,77,26,script-related,Jana verliet het gemeentehuis. Meteen toonde ze haar,visum,en diende een aanvraag in.,0.48244134,SE,clips/e5-large-trm-nl
77,78,26,script-unrelated,Jana betrad het tuincentrum. Meteen toonde ze haar,visum,en diende een aanvraag in.,0.43743253,SE,clips/e5-large-trm-nl
78,79,27,control,Nico ging naar de kermis. Direct liep hij naar de,botsauto's,en reed een rondje.,0.46417916,SE,clips/e5-large-trm-nl
79,80,27,script-related,Nico verliet de kermis. Direct liep hij naar de,botsauto's,en reed een rondje.,0.46980378,SE,clips/e5-large-trm-nl
80,81,27,script-unrelated,Nico ging naar de pizzeria. Direct liep hij naar de,botsauto's,en reed een rondje.,0.49017215,SE,clips/e5-large-trm-nl
81,82,28,control,Beate ging wandelen. Na een tijdje zag ze een,edelweiss,die ze meteen meenam.,0.517489,SE,clips/e5-large-trm-nl
82,83,28,script-related,Beate kwam terug van het wandelen. Na een tijdje zag ze een,edelweiss,die ze meteen meenam.,0.49756193,SE,clips/e5-large-trm-nl
83,84,28,script-unrelated,Beate ging zwemmen. Na een tijdje zag ze een,edelweiss,die ze meteen meenam.,0.49169844,SE,clips/e5-large-trm-nl
84,85,29,control,Hubert nam een taxi. Vriendelijk begroette hij de,chauffeur,en noemde zijn bestemming.,0.6087126,SE,clips/e5-large-trm-nl
85,86,29,script-related,Hubert verliet de taxi. Vriendelijk begroette hij de,chauffeur,en noemde zijn bestemming.,0.5855012,SE,clips/e5-large-trm-nl
86,87,29,script-unrelated,Hubert nam een vliegtuig. Vriendelijk begroette hij de,chauffeur,en noemde zijn bestemming.,0.5265021,SE,clips/e5-large-trm-nl
87,88,30,control,Jenni begon te baden. Ze verdeelde meteen het,schuim,over haar lichaam.,0.500894,SE,clips/e5-large-trm-nl
88,89,30,script-related,Jenni stopte met baden. Ze verdeelde meteen het,schuim,over haar lichaam.,0.49539202,SE,clips/e5-large-trm-nl
89,90,30,script-unrelated,Jenni begon de hoorcollege. Ze verdeelde meteen het,schuim,over haar lichaam.,0.4445563,SE,clips/e5-large-trm-nl
90,91,31,control,Hans betrad de ijshal. Hij trok vlot zijn,schaatsen,aan en ging de baan op.,0.5907488,SE,clips/e5-large-trm-nl
91,92,31,script-related,Hans verliet de ijshal. Hij trok vlot zijn,schaatsen,aan en ging de baan op.,0.57284874,SE,clips/e5-large-trm-nl
92,93,31,script-unrelated,Hans betrad de klimhal. Hij trok vlot zijn,schaatsen,aan en ging de baan op.,0.5451746,SE,clips/e5-large-trm-nl
93,94,32,control,Clara begon te bowlen. Vakkundig behaalde ze een,strike,en won het spel.,0.43659014,SE,clips/e5-large-trm-nl
94,95,32,script-related,Clara stopte met bowlen. Vakkundig behaalde ze een,strike,en won het spel.,0.43386614,SE,clips/e5-large-trm-nl
95,96,32,script-unrelated,Clara ging naar de schietbaan. Vakkundig behaalde ze een,strike,en won het spel.,0.47471753,SE,clips/e5-large-trm-nl
96,97,33,control,Georg nam deel aan een brandweerinzet. Hij gebruikte meteen de,slang,en bluste het vuur.,0.44850633,SE,clips/e5-large-trm-nl
97,98,33,script-related,Georg beëindigde een brandweerinzet. Hij gebruikte meteen de,slang,en bluste het vuur.,0.44608703,SE,clips/e5-large-trm-nl
98,99,33,script-unrelated,Georg nam deel aan yoga. Hij gebruikte meteen de,slang,en bluste het vuur.,0.44100404,SE,clips/e5-large-trm-nl
99,100,34,control,Johanna begon de voetbalwedstrijd. Na korte tijd maakte ze een,doelpunt,en juichte luid.,0.54676354,SE,clips/e5-large-trm-nl
100,101,34,script-related,Johanna beëindigde de voetbalwedstrijd. Na korte tijd maakte ze een,doelpunt,en juichte luid.,0.54820836,SE,clips/e5-large-trm-nl
101,102,34,script-unrelated,Johanna begon de jacht. Na korte tijd maakte ze een,doelpunt,en juichte luid.,0.5166933,SE,clips/e5-large-trm-nl
102,103,35,control,Jürgen betrad de slagerij. Hij vroeg meteen om een,steak,en betaalde.,0.5147742,SE,clips/e5-large-trm-nl
103,104,35,script-related,Jürgen verliet de slagerij. Hij vroeg meteen om een,steak,en betaalde.,0.4822867,SE,clips/e5-large-trm-nl
104,105,35,script-unrelated,Jürgen betrad de bakkerij. Hij vroeg meteen om een,steak,en betaalde.,0.5011937,SE,clips/e5-large-trm-nl
105,106,36,control,Frauke betrad de dierentuin. Even later fotografeerde ze een,zebra,die aan het drinken was.,0.50697386,SE,clips/e5-large-trm-nl
106,107,36,script-related,Frauke verliet de dierentuin. Even later fotografeerde ze een,zebra,die aan het drinken was.,0.49617758,SE,clips/e5-large-trm-nl
107,108,36,script-unrelated,Frauke ging naar het stadion. Even later fotografeerde ze een,zebra,die aan het drinken was.,0.4811363,SE,clips/e5-large-trm-nl
108,109,37,control,Bernd betrad de wasserette. Snel koos hij het,wasprogramma,en zette de machine aan.,0.6071606,SE,clips/e5-large-trm-nl
109,110,37,script-related,Bernd verliet de wasserette. Snel koos hij het,wasprogramma,en zette de machine aan.,0.59375775,SE,clips/e5-large-trm-nl
110,111,37,script-unrelated,Bernd betrad de kiosk. Snel koos hij het,wasprogramma,en zette de machine aan.,0.5064292,SE,clips/e5-large-trm-nl
111,112,38,control,Nicole ging naar het circus. Al snel ging ze op de,tribune,zitten en bekeek het spektakel.,0.49735644,SE,clips/e5-large-trm-nl
112,113,38,script-related,Nicole verliet het circus. Al snel ging ze op de,tribune,zitten en bekeek het spektakel.,0.4870889,SE,clips/e5-large-trm-nl
113,114,38,script-unrelated,Nicole ging naar het kantoor. Al snel ging ze op de,tribune,zitten en bekeek het spektakel.,0.5000278,SE,clips/e5-large-trm-nl
114,115,39,control,Viktor ging naar de sauna. Na een tijdje maakte hij een,opgieting,en ging liggen.,0.442011,SE,clips/e5-large-trm-nl
115,116,39,script-related,Viktor verliet de sauna. Na een tijdje maakte hij een,opgieting,en ging liggen.,0.4507984,SE,clips/e5-large-trm-nl
116,117,39,script-unrelated,Viktor ging naar het lab. Na een tijdje maakte hij een,opgieting,en ging liggen.,0.4396034,SE,clips/e5-large-trm-nl
117,118,40,control,Gabi ging naar de dierenarts. Een moment later vroeg ze de,assistente,om medicijnen.,0.4633889,SE,clips/e5-large-trm-nl
118,119,40,script-related,Gabi verliet de dierenarts. Een moment later vroeg ze de,assistente,om medicijnen.,0.4703959,SE,clips/e5-large-trm-nl
119,120,40,script-unrelated,Gabi ging naar de kleedkamer. Een moment later vroeg ze de,assistente,om medicijnen.,0.48022354,SE,clips/e5-large-trm-nl
120,121,41,control,Jakob betrad de plaats delict. Kort daarna fotografeerde hij de,bloedspatten,en was verbaasd.,0.51034075,SE,clips/e5-large-trm-nl
121,122,41,script-related,Jakob verliet de plaats delict. Kort daarna fotografeerde hij de,bloedspatten,en was verbaasd.,0.497593,SE,clips/e5-large-trm-nl
122,123,41,script-unrelated,Jakob betrad het tankstation. Kort daarna fotografeerde hij de,bloedspatten,en was verbaasd.,0.4868317,SE,clips/e5-large-trm-nl
123,124,42,control,Peter begon bomen te kappen. Na een tijdje gebruikte hij de,bijl,en raakte gericht de stam.,0.460206,SE,clips/e5-large-trm-nl
124,125,42,script-related,Peter stopte met bomen kappen. Na een tijdje gebruikte hij de,bijl,en raakte gericht de stam.,0.45096305,SE,clips/e5-large-trm-nl
125,126,42,script-unrelated,Peter begon de koets te rijden. Na een tijdje gebruikte hij de,bijl,en raakte gericht de stam.,0.41297224,SE,clips/e5-large-trm-nl
126,127,43,control,Tom begon een kampvuur. Meteen stapelde hij het,hout,en stak het aan.,0.5371917,SE,clips/e5-large-trm-nl
127,128,43,script-related,Tom beëindigde het kampvuur. Meteen stapelde hij het,hout,en stak het aan.,0.48654667,SE,clips/e5-large-trm-nl
128,129,43,script-unrelated,Tom begon ontbijt te maken. Meteen stapelde hij het,hout,en stak het aan.,0.46586257,SE,clips/e5-large-trm-nl
129,130,44,control,Kim ging naar de kerstmarkt. Kort daarna bereikte hij de,kerstkraampjes,en snuffelde naar cadeaus.,0.6665917,SE,clips/e5-large-trm-nl
130,131,44,script-related,Kim verliet de kerstmarkt. Kort daarna bereikte hij de,kerstkraampjes,en snuffelde naar cadeaus.,0.62321395,SE,clips/e5-large-trm-nl
131,132,44,script-unrelated,Kim ging naar het ziekenhuis. Kort daarna bereikte hij de,kerstkraampjes,en snuffelde naar cadeaus.,0.43899316,SE,clips/e5-large-trm-nl
132,133,45,control,Michael begon zijn lunch te koken. Snel sneed hij de,groenten,en gooide het in de pot.,0.54399914,SE,clips/e5-large-trm-nl
133,134,45,script-related,Michael was klaar met zijn lunch koken. Snel sneed hij de,groenten,en gooide het in de pot.,0.54859316,SE,clips/e5-large-trm-nl
134,135,45,script-unrelated,Michael begon een taart te bakken. Snel sneed hij de,groenten,en gooide het in de pot.,0.4937976,SE,clips/e5-large-trm-nl
135,136,46,control,Johan betrad het appartement. Meteen ging hij op het,bed,zitten en dacht na over de dag.,0.5295957,SE,clips/e5-large-trm-nl
136,137,46,script-related,Johan verliet het appartement. Meteen ging hij op het,bed,zitten en dacht na over de dag.,0.5160044,SE,clips/e5-large-trm-nl
137,138,46,script-unrelated,Johan betrad de bioscoop. Meteen ging hij op het,bed,zitten en dacht na over de dag.,0.47889346,SE,clips/e5-large-trm-nl
138,139,47,control,Sabine betrad de school. Snel liep ze naar het,klaslokaal,en groette de leerlingen.,0.58967453,SE,clips/e5-large-trm-nl
139,140,47,script-related,Sabine verliet de school. Snel liep ze naar het,klaslokaal,en groette de leerlingen.,0.5539424,SE,clips/e5-large-trm-nl
140,141,47,script-unrelated,Sabine betrad de boerderij. Snel liep ze naar het,klaslokaal,en groette de leerlingen.,0.46850422,SE,clips/e5-large-trm-nl
141,142,48,control,Kevin betrad de kerk. Voorzichtig pakte hij een,kaars,en stak hem aan.,0.47064734,SE,clips/e5-large-trm-nl
142,143,48,script-related,Kevin verliet de kerk. Voorzichtig pakte hij een,kaars,en stak hem aan.,0.46232074,SE,clips/e5-large-trm-nl
143,144,48,script-unrelated,Kevin betrad de huisartsenpraktijk. Voorzichtig pakte hij een,kaars,en stak hem aan.,0.46895945,SE,clips/e5-large-trm-nl
144,145,49,control,Susi betrad het verblijf. Nauwkeurig beoordeelde ze het,kalf,en maakte aantekeningen.,0.45623648,SE,clips/e5-large-trm-nl
145,146,49,script-related,Susi verliet het verblijf. Nauwkeurig beoordeelde ze het,kalf,en maakte aantekeningen.,0.44211605,SE,clips/e5-large-trm-nl
146,147,49,script-unrelated,Susi betrad de bibliotheek. Nauwkeurig beoordeelde ze het,kalf,en maakte aantekeningen.,0.45599633,SE,clips/e5-large-trm-nl
147,148,50,control,Thomas betrad de kroeg. Haastig riep hij de,ober,en bestelde een biertje.,0.51281977,SE,clips/e5-large-trm-nl
148,149,50,script-related,Thomas verliet de kroeg. Haastig riep hij de,ober,en bestelde een biertje.,0.49776456,SE,clips/e5-large-trm-nl
149,150,50,script-unrelated,Thomas begon spaghetti te koken. Haastig riep hij de,ober,en bestelde een biertje.,0.49188736,SE,clips/e5-large-trm-nl
150,151,51,control,Lea begon de muren te verven. Ze koos snel een,kwast,uit en begon te verven.,0.4940635,SE,clips/e5-large-trm-nl
151,152,51,script-related,Lea was klaar met de muren verven. Ze koos snel een,kwast,uit en begon te verven.,0.5024946,SE,clips/e5-large-trm-nl
152,153,51,script-unrelated,Lea bereikte het theater. Ze koos snel een,kwast,uit en begon te verven.,0.46397725,SE,clips/e5-large-trm-nl
153,154,52,control,Peter bereikte de supermarkt. Snel kocht hij wat,groenten,om 's avonds te koken.,0.57089704,SE,clips/e5-large-trm-nl
154,155,52,script-related,Peter verliet de supermarkt. Snel kocht hij wat,groenten,om 's avonds te koken.,0.56079364,SE,clips/e5-large-trm-nl
155,156,52,script-unrelated,Peter bereikte het station. Snel kocht hij wat,groenten,om 's avonds te koken.,0.4980818,SE,clips/e5-large-trm-nl
156,157,53,control,Lisa betrad het huis. Kort daarna checkte ze de,koelkast,en zocht iets te eten.,0.55858755,SE,clips/e5-large-trm-nl
157,158,53,script-related,Lisa verliet het huis. Kort daarna checkte ze de,koelkast,en zocht iets te eten.,0.5318471,SE,clips/e5-large-trm-nl
158,159,53,script-unrelated,Lisa begon in de sportschool te trainen. Kort daarna checkte ze de,koelkast,en zocht iets te eten.,0.4892552,SE,clips/e5-large-trm-nl
159,160,54,control,Tim begon zijn rijles. Gejaagd drukte hij op het,gaspedaal,en reed weg.,0.56440514,SE,clips/e5-large-trm-nl
160,161,54,script-related,Tim beëindigde zijn rijles. Gejaagd drukte hij op het,gaspedaal,en reed weg.,0.5341162,SE,clips/e5-large-trm-nl
161,162,54,script-unrelated,Tim ging naar het vliegveld. Gejaagd drukte hij op het,gaspedaal,en reed weg.,0.5208723,SE,clips/e5-large-trm-nl
162,163,55,control,Maria bereikte het winkelcentrum. Meteen begroette ze de,verkoopster,en koos iets uit.,0.5990523,SE,clips/e5-large-trm-nl
163,164,55,script-related,Maria verliet het winkelcentrum. Meteen begroette ze de,verkoopster,en koos iets uit.,0.5976925,SE,clips/e5-large-trm-nl
164,165,55,script-unrelated,Maria bereikte het verjaardagsfeest. Meteen begroette ze de,verkoopster,en koos iets uit.,0.48622975,SE,clips/e5-large-trm-nl
165,166,56,control,Lukas begon het college. Haastig begroette hij zijn,studenten,en begon.,0.58734435,SE,clips/e5-large-trm-nl
166,167,56,script-related,Lukas beëindigde het college. Haastig begroette hij zijn,studenten,en begon.,0.55485857,SE,clips/e5-large-trm-nl
167,168,56,script-unrelated,Lukas ging naar de kapper. Haastig begroette hij zijn,studenten,en begon.,0.51638216,SE,clips/e5-large-trm-nl
168,169,57,control,Marie ging naar de uni. Haastig betrad ze de,collegezaal,en opende haar boek.,0.5939227,SE,clips/e5-large-trm-nl
169,170,57,script-related,Marie verliet de uni. Haastig betrad ze de,collegezaal,en opende haar boek.,0.59223,SE,clips/e5-large-trm-nl
170,171,57,script-unrelated,Marie ging douchen. Haastig betrad ze de,collegezaal,en opende haar boek.,0.51116097,SE,clips/e5-large-trm-nl
171,172,58,control,Thorsten begon te barbecueën. Voorzichtig plaatste hij de,aanmaakblokjes,en zocht de tang.,0.50318927,SE,clips/e5-large-trm-nl
172,173,58,script-related,Thorsten stopte met barbecueën. Voorzichtig plaatste hij de,aanmaakblokjes,en zocht de tang.,0.49136773,SE,clips/e5-large-trm-nl
173,174,58,script-unrelated,Thorsten betrad de bloemenwinkel. Voorzichtig plaatste hij de,aanmaakblokjes,en zocht de tang.,0.49645236,SE,clips/e5-large-trm-nl
174,175,59,control,Claudia betrad de dierenwinkel. Een tijdje stond ze bij de,kooi,en dacht na over de koop.,0.4799528,SE,clips/e5-large-trm-nl
175,176,59,script-related,Claudia verliet de dierenwinkel. Een tijdje stond ze bij de,kooi,en dacht na over de koop.,0.45037425,SE,clips/e5-large-trm-nl
176,177,59,script-unrelated,Claudia betrad de begraafplaats. Een tijdje stond ze bij de,kooi,en dacht na over de koop.,0.43161675,SE,clips/e5-large-trm-nl
177,178,60,control,Jonathan ging naar de keuken. Eerst reinigde hij de,oven,en daarna de koelkast.,0.5461485,SE,clips/e5-large-trm-nl
178,179,60,script-related,Jonathan verliet de keuken. Eerst reinigde hij de,oven,en daarna de koelkast.,0.48954362,SE,clips/e5-large-trm-nl
179,180,60,script-unrelated,Jonathan ging de tuin in. Eerst reinigde hij de,oven,en daarna de koelkast.,0.4686508,SE,clips/e5-large-trm-nl
180,181,61,control,Lara liep naar het fornuis. Snel reinigde ze de,kookplaat,en daarna de afzuigkap.,0.58785385,SE,clips/e5-large-trm-nl
181,182,61,script-related,Lara liep weg van het fornuis. Snel reinigde ze de,kookplaat,en daarna de afzuigkap.,0.53878677,SE,clips/e5-large-trm-nl
182,183,61,script-unrelated,Lara ging naar het museum. Snel reinigde ze de,kookplaat,en daarna de afzuigkap.,0.4602993,SE,clips/e5-large-trm-nl
183,184,62,control,Roman ging naar de boekhandel. Snel zocht hij een,roman,voor zijn vrouw.,0.5895303,SE,clips/e5-large-trm-nl
184,185,62,script-related,Roman verliet de boekhandel. Snel zocht hij een,roman,voor zijn vrouw.,0.6130157,SE,clips/e5-large-trm-nl
185,186,62,script-unrelated,Roman ging naar de banketbakker. Snel zocht hij een,roman,voor zijn vrouw.,0.54570854,SE,clips/e5-large-trm-nl
186,187,63,control,Annika ging naar de boetiek. Ze zocht een tijdje naar,laarzen,en kocht ze toen.,0.49163058,SE,clips/e5-large-trm-nl
